2021 super output area - lower layer,Geog_Code,Total: All usual residents,%,"Asian, Asian British or Asian Welsh",% ,"Asian, Asian British or Asian Welsh: Bangladeshi",%,"Asian, Asian British or Asian Welsh: Chinese",%,"Asian, Asian British or Asian Welsh: Indian",%,"Asian, Asian British or Asian Welsh: Pakistani",%,"Asian, Asian British or Asian Welsh: Other Asian",%,"Black, Black British, Black Welsh, Caribbean or African",%,"Black, Black British, Black Welsh, Caribbean or African: African",%,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",%,"Black, Black British, Black Welsh, Caribbean or African: Other Black",%,Mixed or Multiple ethnic groups,%,Mixed or Multiple ethnic groups: White and Asian,%,Mixed or Multiple ethnic groups: White and Black African,%,Mixed or Multiple ethnic groups: White and Black Caribbean,%,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,%,White,%,"White: English, Welsh, Scottish, Northern Irish or British","% White: English, Welsh, Scottish, Northern Irish or British",White: Irish,%,White: Gypsy or Irish Traveller,%,White: Roma,%,White: Other White,%,Other ethnic group,%,Other ethnic group: Arab,%,Other ethnic group: Any other ethnic group,%
Birmingham 053E,E01009346,1734,100,1028,59.3,86,5,6,0.3,174,10,659,38,103,5.9,294,17,155,8.9,118,6.8,21,1.2,33,1.9,10,0.6,2,0.1,10,0.6,11,0.6,184,10.6,95,5.5,10,0.6,5,0.3,3,0.2,71,4.1,195,11.2,48,2.8,147,8.5
Birmingham 054A,E01009092,1760,100,537,30.5,78,4.4,5,0.3,16,0.9,367,20.9,71,4,197,11.2,71,4,81,4.6,45,2.6,117,6.6,26,1.5,1,0.1,68,3.9,22,1.2,854,48.5,774,44,11,0.6,0,0,6,0.3,63,3.6,55,3.1,11,0.6,44,2.5
Birmingham 054B,E01009093,1729,100,483,27.9,36,2.1,2,0.1,20,1.2,382,22.1,43,2.5,132,7.6,62,3.6,43,2.5,27,1.6,120,6.9,25,1.4,10,0.6,46,2.7,39,2.3,958,55.4,862,49.9,20,1.2,6,0.3,5,0.3,65,3.8,36,2.1,14,0.8,22,1.3
Birmingham 054C,E01009094,1614,100,625,38.7,79,4.9,7,0.4,17,1.1,442,27.4,80,5,163,10.1,102,6.3,41,2.5,20,1.2,90,5.6,29,1.8,2,0.1,40,2.5,19,1.2,672,41.6,591,36.6,16,1,0,0,3,0.2,62,3.8,64,4,15,0.9,49,3
Birmingham 054D,E01009298,1631,100,341,20.9,23,1.4,1,0.1,10,0.6,247,15.1,60,3.7,185,11.3,84,5.2,73,4.5,28,1.7,113,6.9,32,2,4,0.2,52,3.2,25,1.5,932,57.1,856,52.5,12,0.7,1,0.1,0,0,63,3.9,60,3.7,29,1.8,31,1.9
Birmingham 054E,E01009311,1617,100,483,29.9,26,1.6,1,0.1,19,1.2,355,22,82,5.1,118,7.3,45,2.8,49,3,24,1.5,114,7.1,24,1.5,8,0.5,58,3.6,24,1.5,854,52.8,789,48.8,8,0.5,5,0.3,0,0,52,3.2,48,3,15,0.9,33,2
Birmingham 054F,E01009511,1684,100,661,39.3,30,1.8,3,0.2,28,1.7,529,31.4,71,4.2,229,13.6,152,9,66,3.9,11,0.7,62,3.7,15,0.9,7,0.4,30,1.8,10,0.6,655,38.9,602,35.7,12,0.7,1,0.1,1,0.1,39,2.3,77,4.6,27,1.6,50,3
Birmingham 055A,E01009475,2321,100,1627,70.1,173,7.5,0,0,30,1.3,1309,56.4,115,5,199,8.6,127,5.5,50,2.2,22,0.9,74,3.2,30,1.3,2,0.1,24,1,18,0.8,285,12.3,217,9.3,14,0.6,12,0.5,10,0.4,32,1.4,136,5.9,38,1.6,98,4.2
Birmingham 055B,E01009476,2102,100,1371,65.2,149,7.1,5,0.2,22,1,1077,51.2,118,5.6,224,10.7,167,7.9,41,2,16,0.8,39,1.9,12,0.6,3,0.1,17,0.8,7,0.3,247,11.8,221,10.5,6,0.3,1,0,6,0.3,13,0.6,221,10.5,62,2.9,159,7.6
Birmingham 055C,E01009477,1884,100,1169,62,123,6.5,2,0.1,28,1.5,908,48.2,108,5.7,98,5.2,49,2.6,33,1.8,16,0.8,96,5.1,42,2.2,6,0.3,23,1.2,25,1.3,418,22.2,343,18.2,24,1.3,1,0.1,4,0.2,46,2.4,103,5.5,29,1.5,74,3.9
