2021 super output area - lower layer,Geog_Code,Total: All usual residents,%,"Asian, Asian British or Asian Welsh",% ,"Asian, Asian British or Asian Welsh: Bangladeshi",%,"Asian, Asian British or Asian Welsh: Chinese",%,"Asian, Asian British or Asian Welsh: Indian",%,"Asian, Asian British or Asian Welsh: Pakistani",%,"Asian, Asian British or Asian Welsh: Other Asian",%,"Black, Black British, Black Welsh, Caribbean or African",%,"Black, Black British, Black Welsh, Caribbean or African: African",%,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",%,"Black, Black British, Black Welsh, Caribbean or African: Other Black",%,Mixed or Multiple ethnic groups,%,Mixed or Multiple ethnic groups: White and Asian,%,Mixed or Multiple ethnic groups: White and Black African,%,Mixed or Multiple ethnic groups: White and Black Caribbean,%,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,%,White,%,"White: English, Welsh, Scottish, Northern Irish or British","% White: English, Welsh, Scottish, Northern Irish or British",White: Irish,%,White: Gypsy or Irish Traveller,%,White: Roma,%,White: Other White,%,Other ethnic group,%,Other ethnic group: Arab,%,Other ethnic group: Any other ethnic group,%
Birmingham 060E,E01009147,1910,100,676,35.4,20,1,16,0.8,328,17.2,247,12.9,65,3.4,215,11.3,129,6.8,73,3.8,13,0.7,97,5.1,21,1.1,21,1.1,30,1.6,25,1.3,794,41.6,600,31.4,23,1.2,1,0.1,8,0.4,162,8.5,128,6.7,25,1.3,103,5.4
Birmingham 062A,E01009512,2017,100,410,20.3,28,1.4,1,0,46,2.3,252,12.5,83,4.1,202,10,131,6.5,42,2.1,29,1.4,111,5.5,42,2.1,4,0.2,45,2.2,20,1,1249,61.9,1141,56.6,32,1.6,0,0,2,0.1,74,3.7,45,2.2,14,0.7,31,1.5
Birmingham 062B,E01009514,1733,100,499,28.8,31,1.8,0,0,36,2.1,334,19.3,98,5.7,165,9.5,107,6.2,54,3.1,4,0.2,82,4.7,30,1.7,8,0.5,32,1.8,12,0.7,958,55.3,870,50.2,39,2.3,0,0,8,0.5,41,2.4,29,1.7,0,0,29,1.7
Birmingham 062C,E01009516,1438,100,445,30.9,45,3.1,3,0.2,73,5.1,280,19.5,44,3.1,60,4.2,20,1.4,33,2.3,7,0.5,70,4.9,19,1.3,6,0.4,37,2.6,8,0.6,811,56.4,744,51.7,23,1.6,1,0.1,0,0,43,3,52,3.6,10,0.7,42,2.9
Birmingham 062D,E01009517,1993,100,518,26,100,5,6,0.3,46,2.3,317,15.9,49,2.5,128,6.4,65,3.3,50,2.5,13,0.7,92,4.6,20,1,2,0.1,56,2.8,14,0.7,1175,59,1076,54,21,1.1,2,0.1,2,0.1,74,3.7,80,4,53,2.7,27,1.4
Birmingham 063A,E01009325,1996,100,1314,65.8,339,17,9,0.5,30,1.5,885,44.3,51,2.6,224,11.2,177,8.9,30,1.5,17,0.9,100,5,14,0.7,27,1.4,30,1.5,29,1.5,247,12.4,197,9.9,18,0.9,0,0,0,0,32,1.6,111,5.6,59,3,52,2.6
Birmingham 063D,E01009342,1822,100,1215,66.7,114,6.3,10,0.5,24,1.3,965,53,102,5.6,119,6.5,76,4.2,33,1.8,10,0.5,91,5,25,1.4,15,0.8,10,0.5,41,2.3,280,15.4,249,13.7,5,0.3,1,0.1,1,0.1,24,1.3,117,6.4,37,2,80,4.4
Birmingham 063E,E01009343,1854,100,1157,62.4,124,6.7,8,0.4,9,0.5,900,48.5,116,6.3,277,14.9,202,10.9,52,2.8,23,1.2,51,2.8,22,1.2,2,0.1,13,0.7,14,0.8,194,10.5,126,6.8,5,0.3,3,0.2,9,0.5,51,2.8,175,9.4,50,2.7,125,6.7
Birmingham 063F,E01033642,3380,100,2526,74.7,744,22,1,0,46,1.4,1588,47,147,4.3,294,8.7,237,7,43,1.3,14,0.4,62,1.8,18,0.5,3,0.1,9,0.3,32,0.9,198,5.9,144,4.3,20,0.6,2,0.1,0,0,32,0.9,300,8.9,95,2.8,205,6.1
Birmingham 064A,E01008986,1553,100,439,28.3,15,1,28,1.8,225,14.5,107,6.9,64,4.1,261,16.8,174,11.2,67,4.3,20,1.3,84,5.4,22,1.4,8,0.5,27,1.7,27,1.7,681,43.9,450,29,10,0.6,0,0,3,0.2,218,14,88,5.7,20,1.3,68,4.4
Birmingham 064B,E01008987,1595,100,208,13,17,1.1,27,1.7,39,2.4,81,5.1,44,2.8,332,20.8,203,12.7,108,6.8,21,1.3,117,7.3,21,1.3,10,0.6,45,2.8,41,2.6,849,53.2,664,41.6,29,1.8,0,0,7,0.4,149,9.3,89,5.6,22,1.4,67,4.2
Birmingham 064C,E01008988,2077,100,419,20.2,16,0.8,35,1.7,201,9.7,118,5.7,49,2.4,355,17.1,239,11.5,106,5.1,10,0.5,98,4.7,26,1.3,12,0.6,36,1.7,24,1.2,1061,51.1,680,32.7,17,0.8,4,0.2,12,0.6,348,16.8,144,6.9,31,1.5,113,5.4
Birmingham 064D,E01008989,1694,100,327,19.3,25,1.5,23,1.4,180,10.6,54,3.2,45,2.7,222,13.1,130,7.7,74,4.4,18,1.1,102,6,26,1.5,10,0.6,42,2.5,24,1.4,881,52,604,35.7,18,1.1,0,0,20,1.2,239,14.1,162,9.6,51,3,111,6.6
Birmingham 064E,E01008990,1183,100,433,36.6,2,0.2,46,3.9,281,23.8,67,5.7,37,3.1,50,4.2,36,3,12,1,2,0.2,53,4.5,24,2,7,0.6,10,0.8,12,1,585,49.5,449,38,13,1.1,2,0.2,2,0.2,119,10.1,62,5.2,24,2,38,3.2
Birmingham 064F,E01008991,1877,100,873,46.5,26,1.4,59,3.1,516,27.5,176,9.4,96,5.1,180,9.6,144,7.7,26,1.4,10,0.5,100,5.3,57,3,2,0.1,26,1.4,15,0.8,544,29,448,23.9,10,0.5,0,0,4,0.2,82,4.4,180,9.6,81,4.3,99,5.3
Birmingham 066A,E01008882,2055,100,967,47.1,313,15.2,2,0.1,77,3.7,515,25.1,60,2.9,124,6,75,3.6,42,2,7,0.3,102,5,28,1.4,7,0.3,44,2.1,23,1.1,637,31,526,25.6,22,1.1,6,0.3,9,0.4,74,3.6,225,10.9,147,7.2,78,3.8
Birmingham 066B,E01008896,1899,100,978,51.5,117,6.2,0,0,41,2.2,740,39,80,4.2,108,5.7,62,3.3,36,1.9,10,0.5,133,7,32,1.7,13,0.7,34,1.8,54,2.8,568,29.9,518,27.3,21,1.1,2,0.1,5,0.3,22,1.2,112,5.9,34,1.8,78,4.1
Birmingham 066C,E01008898,1789,100,865,48.4,117,6.5,0,0,46,2.6,610,34.1,92,5.1,113,6.3,67,3.7,42,2.3,4,0.2,91,5.1,24,1.3,7,0.4,35,2,25,1.4,563,31.5,489,27.3,28,1.6,0,0,5,0.3,41,2.3,157,8.8,66,3.7,91,5.1
Birmingham 066D,E01009326,2110,100,1399,66.3,336,15.9,5,0.2,23,1.1,915,43.4,120,5.7,215,10.2,170,8.1,35,1.7,10,0.5,53,2.5,22,1,7,0.3,15,0.7,9,0.4,256,12.1,191,9.1,26,1.2,1,0,1,0,37,1.8,187,8.9,46,2.2,141,6.7
Birmingham 066E,E01009341,1647,100,1010,61.3,67,4.1,2,0.1,33,2,763,46.3,145,8.8,230,14,179,10.9,27,1.6,24,1.5,70,4.3,17,1,8,0.5,29,1.8,16,1,213,12.9,178,10.8,2,0.1,3,0.2,9,0.5,21,1.3,124,7.5,62,3.8,62,3.8
Birmingham 066F,E01009513,2088,100,1161,55.6,93,4.5,3,0.1,72,3.4,876,42,117,5.6,139,6.7,78,3.7,48,2.3,13,0.6,105,5,36,1.7,3,0.1,38,1.8,28,1.3,564,27,504,24.1,13,0.6,1,0,1,0,45,2.2,119,5.7,68,3.3,51,2.4
Birmingham 067A,E01008881,1742,100,800,45.9,112,6.4,2,0.1,43,2.5,573,32.9,70,4,139,8,86,4.9,46,2.6,7,0.4,86,4.9,16,0.9,7,0.4,50,2.9,13,0.7,629,36.1,516,29.6,37,2.1,0,0,6,0.3,70,4,88,5.1,36,2.1,52,3
Birmingham 067B,E01008897,1981,100,993,50.1,170,8.6,1,0.1,59,3,649,32.8,114,5.8,183,9.2,109,5.5,39,2,35,1.8,64,3.2,15,0.8,6,0.3,37,1.9,6,0.3,656,33.1,608,30.7,24,1.2,0,0,6,0.3,18,0.9,85,4.3,49,2.5,36,1.8
Birmingham 067C,E01009515,1698,100,624,36.7,63,3.7,6,0.4,68,4,402,23.7,85,5,94,5.5,48,2.8,33,1.9,13,0.8,54,3.2,17,1,3,0.2,27,1.6,7,0.4,906,53.4,827,48.7,44,2.6,0,0,0,0,35,2.1,20,1.2,2,0.1,18,1.1
Birmingham 067D,E01009518,1739,100,566,32.5,67,3.9,6,0.3,60,3.5,393,22.6,40,2.3,137,7.9,108,6.2,25,1.4,4,0.2,41,2.4,11,0.6,6,0.3,16,0.9,8,0.5,955,54.9,884,50.8,38,2.2,0,0,1,0.1,32,1.8,40,2.3,8,0.5,32,1.8
Birmingham 067E,E01009521,1658,100,596,35.9,132,8,10,0.6,103,6.2,329,19.8,22,1.3,55,3.3,11,0.7,31,1.9,13,0.8,58,3.5,23,1.4,0,0,32,1.9,3,0.2,904,54.5,812,49,43,2.6,0,0,0,0,49,3,45,2.7,12,0.7,33,2
Birmingham 069A,E01009302,1462,100,58,4,3,0.2,2,0.1,14,1,24,1.6,15,1,56,3.8,13,0.9,31,2.1,12,0.8,73,5,12,0.8,5,0.3,47,3.2,9,0.6,1255,85.8,1221,83.5,24,1.6,0,0,0,0,10,0.7,20,1.4,7,0.5,13,0.9
Birmingham 069B,E01009314,1944,100,306,15.7,65,3.3,2,0.1,57,2.9,145,7.5,37,1.9,103,5.3,54,2.8,36,1.9,13,0.7,84,4.3,18,0.9,11,0.6,44,2.3,11,0.6,1382,71.1,1271,65.4,41,2.1,0,0,0,0,70,3.6,69,3.5,33,1.7,36,1.9
Birmingham 069C,E01009321,1963,100,259,13.2,43,2.2,5,0.3,15,0.8,165,8.4,31,1.6,146,7.4,90,4.6,29,1.5,27,1.4,144,7.3,39,2,2,0.1,86,4.4,17,0.9,1388,70.7,1326,67.5,24,1.2,0,0,3,0.2,35,1.8,26,1.3,12,0.6,14,0.7
Birmingham 069D,E01009322,1751,100,271,15.5,52,3,10,0.6,30,1.7,137,7.8,42,2.4,171,9.8,94,5.4,66,3.8,11,0.6,120,6.9,39,2.2,7,0.4,58,3.3,16,0.9,1143,65.3,1056,60.3,19,1.1,0,0,2,0.1,66,3.8,46,2.6,18,1,28,1.6
Birmingham 069E,E01009323,1831,100,403,22,112,6.1,10,0.5,44,2.4,203,11.1,34,1.9,110,6,44,2.4,48,2.6,18,1,89,4.9,19,1,5,0.3,56,3.1,9,0.5,1174,64.1,1052,57.5,31,1.7,0,0,0,0,91,5,55,3,16,0.9,39,2.1
Birmingham 070A,E01009329,2682,100,1987,74.1,527,19.6,0,0,39,1.5,1331,49.6,90,3.4,310,11.6,236,8.8,64,2.4,10,0.4,64,2.4,16,0.6,10,0.4,24,0.9,14,0.5,105,3.9,65,2.4,2,0.1,0,0,2,0.1,36,1.3,216,8.1,91,3.4,125,4.7
Birmingham 070B,E01009334,1836,100,1417,77.2,175,9.5,0,0,20,1.1,1112,60.6,110,6,143,7.8,124,6.8,18,1,1,0.1,37,2,9,0.5,3,0.2,7,0.4,18,1,74,4,26,1.4,13,0.7,0,0,0,0,35,1.9,165,9,104,5.7,61,3.3
Birmingham 070C,E01009337,1983,100,1480,74.6,520,26.2,0,0,26,1.3,864,43.6,70,3.5,223,11.2,173,8.7,34,1.7,16,0.8,36,1.8,12,0.6,7,0.4,6,0.3,11,0.6,118,6,78,3.9,7,0.4,6,0.3,6,0.3,21,1.1,126,6.4,84,4.2,42,2.1
Birmingham 070D,E01009338,1806,100,1354,75,481,26.6,0,0,20,1.1,804,44.5,49,2.7,198,11,167,9.2,22,1.2,9,0.5,49,2.7,13,0.7,2,0.1,6,0.3,28,1.6,114,6.3,92,5.1,10,0.6,0,0,0,0,12,0.7,91,5,34,1.9,57,3.2
Birmingham 070E,E01009380,1854,100,1398,75.4,499,26.9,0,0,26,1.4,796,42.9,77,4.2,205,11.1,181,9.8,22,1.2,2,0.1,63,3.4,10,0.5,2,0.1,12,0.6,39,2.1,70,3.8,33,1.8,16,0.9,0,0,2,0.1,19,1,118,6.4,61,3.3,57,3.1
Birmingham 071A,E01009362,1447,100,380,26.3,67,4.6,38,2.6,42,2.9,172,11.9,61,4.2,596,41.2,486,33.6,87,6,23,1.6,118,8.2,17,1.2,29,2,45,3.1,27,1.9,147,10.2,106,7.3,12,0.8,0,0,0,0,29,2,206,14.2,142,9.8,64,4.4
Birmingham 071B,E01009363,1780,100,1007,56.6,176,9.9,2,0.1,54,3,716,40.2,59,3.3,262,14.7,152,8.5,86,4.8,24,1.3,107,6,13,0.7,32,1.8,23,1.3,39,2.2,223,12.5,183,10.3,27,1.5,0,0,0,0,13,0.7,181,10.2,130,7.3,51,2.9
Birmingham 071C,E01009364,1656,100,422,25.5,151,9.1,21,1.3,40,2.4,167,10.1,43,2.6,593,35.8,411,24.8,115,6.9,67,4,89,5.4,17,1,7,0.4,38,2.3,27,1.6,199,12,153,9.2,6,0.4,0,0,1,0.1,39,2.4,353,21.3,287,17.3,66,4
Birmingham 071D,E01009365,1848,100,867,46.9,118,6.4,3,0.2,83,4.5,613,33.2,50,2.7,453,24.5,343,18.6,79,4.3,31,1.7,105,5.7,26,1.4,2,0.1,52,2.8,25,1.4,136,7.4,94,5.1,19,1,1,0.1,0,0,22,1.2,287,15.5,213,11.5,74,4
Birmingham 071E,E01009379,1898,100,825,43.5,282,14.9,4,0.2,36,1.9,423,22.3,80,4.2,573,30.2,398,21,121,6.4,54,2.8,83,4.4,18,0.9,13,0.7,21,1.1,31,1.6,226,11.9,164,8.6,14,0.7,0,0,5,0.3,43,2.3,191,10.1,123,6.5,68,3.6
Birmingham 072A,E01009312,1592,100,345,21.7,85,5.3,4,0.3,61,3.8,184,11.6,11,0.7,42,2.6,8,0.5,32,2,2,0.1,40,2.5,12,0.8,2,0.1,24,1.5,2,0.1,1132,71.1,1088,68.3,22,1.4,0,0,4,0.3,18,1.1,33,2.1,21,1.3,12,0.8
Birmingham 072B,E01009324,1733,100,242,14,67,3.9,11,0.6,17,1,134,7.7,13,0.8,50,2.9,1,0.1,41,2.4,8,0.5,53,3.1,15,0.9,0,0,34,2,4,0.2,1356,78.2,1296,74.8,31,1.8,0,0,0,0,29,1.7,32,1.8,15,0.9,17,1
Birmingham 072C,E01009519,1464,100,208,14.2,24,1.6,3,0.2,33,2.3,129,8.8,19,1.3,50,3.4,6,0.4,41,2.8,3,0.2,44,3,5,0.3,6,0.4,28,1.9,5,0.3,1136,77.6,1088,74.3,34,2.3,0,0,0,0,14,1,26,1.8,12,0.8,14,1
Birmingham 072D,E01009520,1772,100,446,25.2,55,3.1,4,0.2,29,1.6,329,18.6,29,1.6,47,2.7,0,0,32,1.8,15,0.8,53,3,12,0.7,1,0.1,25,1.4,15,0.8,1148,64.8,1075,60.7,39,2.2,0,0,0,0,34,1.9,78,4.4,10,0.6,68,3.8
Birmingham 073A,E01009066,1937,100,693,35.8,3,0.2,50,2.6,464,24,133,6.9,43,2.2,70,3.6,16,0.8,43,2.2,11,0.6,62,3.2,31,1.6,1,0.1,15,0.8,15,0.8,980,50.6,867,44.8,60,3.1,0,0,1,0.1,52,2.7,132,6.8,19,1,113,5.8
Birmingham 073B,E01009070,1629,100,286,17.6,5,0.3,30,1.8,166,10.2,44,2.7,41,2.5,68,4.2,33,2,27,1.7,8,0.5,73,4.5,35,2.1,4,0.2,23,1.4,11,0.7,1157,71,1029,63.2,45,2.8,3,0.2,0,0,80,4.9,45,2.8,21,1.3,24,1.5
Birmingham 073C,E01009252,1627,100,424,26.1,2,0.1,29,1.8,277,17,58,3.6,58,3.6,54,3.3,31,1.9,12,0.7,11,0.7,60,3.7,24,1.5,6,0.4,19,1.2,11,0.7,997,61.3,865,53.2,40,2.5,0,0,2,0.1,90,5.5,92,5.7,15,0.9,77,4.7
Birmingham 073D,E01009260,1592,100,785,49.3,2,0.1,36,2.3,563,35.4,102,6.4,82,5.2,44,2.8,17,1.1,22,1.4,5,0.3,34,2.1,13,0.8,3,0.2,15,0.9,3,0.2,576,36.2,498,31.3,21,1.3,0,0,4,0.3,53,3.3,153,9.6,31,1.9,122,7.7
Birmingham 073E,E01009261,1747,100,492,28.2,10,0.6,23,1.3,308,17.6,102,5.8,49,2.8,105,6,38,2.2,50,2.9,17,1,99,5.7,35,2,11,0.6,34,1.9,19,1.1,944,54,820,46.9,28,1.6,0,0,0,0,96,5.5,107,6.1,25,1.4,82,4.7
Birmingham 074A,E01008984,1704,100,523,30.7,15,0.9,48,2.8,66,3.9,282,16.5,112,6.6,330,19.4,209,12.3,92,5.4,29,1.7,79,4.6,25,1.5,15,0.9,22,1.3,17,1,564,33.1,408,23.9,24,1.4,0,0,2,0.1,130,7.6,208,12.2,116,6.8,92,5.4
Birmingham 074B,E01008994,1587,100,380,23.9,15,0.9,44,2.8,178,11.2,76,4.8,67,4.2,163,10.3,91,5.7,52,3.3,20,1.3,101,6.4,32,2,16,1,28,1.8,25,1.6,833,52.5,657,41.4,15,0.9,0,0,8,0.5,153,9.6,110,6.9,59,3.7,51,3.2
Birmingham 074C,E01008996,1876,100,679,36.2,71,3.8,79,4.2,88,4.7,398,21.2,43,2.3,425,22.7,243,13,141,7.5,41,2.2,123,6.6,20,1.1,14,0.7,63,3.4,26,1.4,296,15.8,218,11.6,14,0.7,1,0.1,1,0.1,62,3.3,353,18.8,267,14.2,86,4.6
Birmingham 074D,E01008997,1539,100,499,32.4,9,0.6,43,2.8,245,15.9,157,10.2,45,2.9,252,16.4,77,5,123,8,52,3.4,90,5.8,23,1.5,13,0.8,24,1.6,30,1.9,567,36.8,485,31.5,17,1.1,0,0,1,0.1,64,4.2,131,8.5,67,4.4,64,4.2
Birmingham 075A,E01009065,1632,100,306,18.8,11,0.7,53,3.2,148,9.1,70,4.3,24,1.5,78,4.8,45,2.8,24,1.5,9,0.6,106,6.5,47,2.9,12,0.7,27,1.7,20,1.2,1095,67.1,981,60.1,37,2.3,0,0,2,0.1,75,4.6,47,2.9,18,1.1,29,1.8
Birmingham 075B,E01009067,1506,100,142,9.4,7,0.5,25,1.7,62,4.1,23,1.5,25,1.7,37,2.5,15,1,19,1.3,3,0.2,78,5.2,32,2.1,1,0.1,27,1.8,18,1.2,1203,79.9,1075,71.4,41,2.7,0,0,2,0.1,85,5.6,46,3.1,26,1.7,20,1.3
Birmingham 075C,E01009068,1590,100,168,10.6,2,0.1,37,2.3,86,5.4,27,1.7,16,1,69,4.3,42,2.6,24,1.5,3,0.2,100,6.3,34,2.1,12,0.8,29,1.8,25,1.6,1133,71.3,948,59.6,44,2.8,0,0,7,0.4,134,8.4,120,7.5,72,4.5,48,3
Birmingham 075D,E01009069,1642,100,193,11.8,2,0.1,53,3.2,93,5.7,24,1.5,21,1.3,55,3.3,20,1.2,29,1.8,6,0.4,84,5.1,40,2.4,5,0.3,15,0.9,24,1.5,1251,76.2,1054,64.2,40,2.4,1,0.1,6,0.4,150,9.1,59,3.6,29,1.8,30,1.8
Birmingham 075E,E01009072,1779,100,230,12.9,13,0.7,44,2.5,102,5.7,40,2.2,31,1.7,101,5.7,50,2.8,43,2.4,8,0.4,102,5.7,35,2,5,0.3,23,1.3,39,2.2,1300,73.1,1117,62.8,53,3,0,0,8,0.4,122,6.9,46,2.6,12,0.7,34,1.9
Birmingham 076A,E01008885,1354,100,395,29.2,54,4,4,0.3,61,4.5,217,16,59,4.4,66,4.9,38,2.8,18,1.3,10,0.7,38,2.8,11,0.8,0,0,18,1.3,9,0.7,820,60.6,765,56.5,34,2.5,0,0,0,0,21,1.6,35,2.6,4,0.3,31,2.3
Birmingham 076B,E01008886,1597,100,337,21.1,51,3.2,2,0.1,58,3.6,173,10.8,53,3.3,80,5,24,1.5,45,2.8,11,0.7,80,5,15,0.9,5,0.3,39,2.4,21,1.3,1050,65.7,920,57.6,33,2.1,0,0,3,0.2,94,5.9,50,3.1,14,0.9,36,2.3
Birmingham 076C,E01008888,1644,100,235,14.3,58,3.5,2,0.1,32,1.9,126,7.7,17,1,35,2.1,7,0.4,28,1.7,0,0,55,3.3,19,1.2,1,0.1,29,1.8,6,0.4,1283,78,1189,72.3,35,2.1,0,0,0,0,59,3.6,36,2.2,16,1,20,1.2
Birmingham 076D,E01009313,1665,100,422,25.3,81,4.9,8,0.5,59,3.5,251,15.1,23,1.4,79,4.7,41,2.5,35,2.1,3,0.2,55,3.3,4,0.2,7,0.4,31,1.9,13,0.8,1077,64.7,981,58.9,25,1.5,4,0.2,4,0.2,63,3.8,32,1.9,8,0.5,24,1.4
Birmingham 077A,E01009368,1522,100,1038,68.2,140,9.2,4,0.3,50,3.3,804,52.8,40,2.6,190,12.5,131,8.6,34,2.2,25,1.6,27,1.8,16,1.1,3,0.2,4,0.3,4,0.3,92,6,43,2.8,6,0.4,0,0,19,1.2,24,1.6,175,11.5,82,5.4,93,6.1
Birmingham 077D,E01009371,1948,100,1423,73,280,14.4,6,0.3,59,3,1018,52.3,60,3.1,147,7.5,111,5.7,28,1.4,8,0.4,67,3.4,31,1.6,3,0.2,24,1.2,9,0.5,109,5.6,70,3.6,9,0.5,1,0.1,4,0.2,25,1.3,202,10.4,115,5.9,87,4.5
Birmingham 077E,E01009397,1777,100,1276,71.8,228,12.8,1,0.1,70,3.9,933,52.5,44,2.5,186,10.5,126,7.1,38,2.1,22,1.2,41,2.3,15,0.8,0,0,13,0.7,13,0.7,87,4.9,41,2.3,3,0.2,3,0.2,2,0.1,38,2.1,187,10.5,100,5.6,87,4.9
Birmingham 077F,E01033650,2832,100,2227,78.6,327,11.5,6,0.2,74,2.6,1694,59.8,126,4.4,150,5.3,91,3.2,51,1.8,8,0.3,50,1.8,20,0.7,6,0.2,18,0.6,6,0.2,143,5,72,2.5,10,0.4,0,0,21,0.7,40,1.4,262,9.3,157,5.5,105,3.7
Birmingham 078A,E01008883,1990,100,1011,50.8,234,11.8,3,0.2,21,1.1,690,34.7,63,3.2,103,5.2,49,2.5,38,1.9,16,0.8,98,4.9,25,1.3,6,0.3,34,1.7,33,1.7,672,33.8,536,26.9,33,1.7,1,0.1,0,0,102,5.1,106,5.3,46,2.3,60,3
Birmingham 078B,E01008884,2209,100,1081,48.9,315,14.3,0,0,51,2.3,654,29.6,61,2.8,175,7.9,77,3.5,78,3.5,20,0.9,103,4.7,26,1.2,10,0.5,28,1.3,39,1.8,677,30.6,464,21,64,2.9,3,0.1,6,0.3,140,6.3,173,7.8,47,2.1,126,5.7
Birmingham 078C,E01008887,1728,100,594,34.4,111,6.4,6,0.3,61,3.5,373,21.6,43,2.5,105,6.1,60,3.5,35,2,10,0.6,112,6.5,31,1.8,5,0.3,38,2.2,38,2.2,875,50.6,720,41.7,26,1.5,0,0,7,0.4,122,7.1,42,2.4,6,0.3,36,2.1
Birmingham 078D,E01008889,1791,100,672,37.5,83,4.6,2,0.1,102,5.7,435,24.3,50,2.8,100,5.6,47,2.6,44,2.5,9,0.5,55,3.1,21,1.2,3,0.2,23,1.3,8,0.4,873,48.7,680,38,49,2.7,1,0.1,9,0.5,134,7.5,91,5.1,10,0.6,81,4.5
Birmingham 079A,E01008982,1678,100,551,32.8,34,2,59,3.5,198,11.8,132,7.9,128,7.6,153,9.1,82,4.9,48,2.9,23,1.4,110,6.6,26,1.5,14,0.8,30,1.8,40,2.4,695,41.4,499,29.7,22,1.3,1,0.1,3,0.2,170,10.1,169,10.1,113,6.7,56,3.3
Birmingham 079C,E01008992,1689,100,466,27.6,13,0.8,74,4.4,242,14.3,92,5.4,45,2.7,61,3.6,35,2.1,14,0.8,12,0.7,52,3.1,24,1.4,5,0.3,5,0.3,18,1.1,996,59,820,48.5,34,2,0,0,1,0.1,141,8.3,114,6.7,47,2.8,67,4
Birmingham 079E,E01009283,1766,100,377,21.3,29,1.6,73,4.1,109,6.2,124,7,42,2.4,95,5.4,43,2.4,44,2.5,8,0.5,102,5.8,9,0.5,12,0.7,39,2.2,42,2.4,1097,62.1,900,51,35,2,0,0,1,0.1,161,9.1,95,5.4,30,1.7,65,3.7
Birmingham 079G,E01034936,2701,100,562,20.8,9,0.3,73,2.7,325,12,93,3.4,62,2.3,90,3.3,50,1.9,35,1.3,5,0.2,135,5,64,2.4,12,0.4,24,0.9,35,1.3,1838,68,1678,62.1,25,0.9,0,0,0,0,135,5,76,2.8,26,1,50,1.9
Birmingham 079H,E01034937,2447,100,890,36.4,27,1.1,327,13.4,358,14.6,119,4.9,59,2.4,102,4.2,77,3.1,19,0.8,6,0.2,94,3.8,33,1.3,15,0.6,17,0.7,29,1.2,1264,51.7,1056,43.2,23,0.9,0,0,1,0,184,7.5,97,4,30,1.2,67,2.7
Birmingham 080A,E01009249,1591,100,197,12.4,14,0.9,18,1.1,92,5.8,58,3.6,15,0.9,193,12.1,91,5.7,66,4.1,36,2.3,125,7.9,25,1.6,15,0.9,66,4.1,19,1.2,1028,64.6,926,58.2,42,2.6,0,0,0,0,60,3.8,48,3,6,0.4,42,2.6
Birmingham 080B,E01009250,1715,100,217,12.7,14,0.8,8,0.5,122,7.1,40,2.3,33,1.9,85,5,37,2.2,41,2.4,7,0.4,105,6.1,23,1.3,10,0.6,45,2.6,27,1.6,1272,74.2,1190,69.4,31,1.8,0,0,0,0,51,3,36,2.1,6,0.3,30,1.7
Birmingham 080C,E01009251,1494,100,257,17.2,6,0.4,13,0.9,171,11.4,36,2.4,31,2.1,92,6.2,33,2.2,53,3.5,6,0.4,84,5.6,17,1.1,9,0.6,48,3.2,10,0.7,1004,67.2,893,59.8,42,2.8,0,0,1,0.1,68,4.6,57,3.8,24,1.6,33,2.2
Birmingham 080D,E01009253,1604,100,292,18.2,8,0.5,21,1.3,179,11.2,45,2.8,39,2.4,105,6.5,40,2.5,56,3.5,9,0.6,59,3.7,23,1.4,5,0.3,24,1.5,7,0.4,1072,66.8,963,60,19,1.2,0,0,0,0,90,5.6,76,4.7,10,0.6,66,4.1
Birmingham 080E,E01009255,1543,100,227,14.7,28,1.8,10,0.6,102,6.6,54,3.5,33,2.1,198,12.8,55,3.6,118,7.6,25,1.6,108,7,12,0.8,10,0.6,66,4.3,20,1.3,951,61.6,836,54.2,25,1.6,0,0,9,0.6,81,5.2,59,3.8,5,0.3,54,3.5
Birmingham 080F,E01009257,1624,100,310,19.1,54,3.3,22,1.4,117,7.2,72,4.4,45,2.8,201,12.4,97,6,74,4.6,30,1.8,125,7.7,12,0.7,8,0.5,69,4.2,36,2.2,907,55.8,824,50.7,20,1.2,0,0,4,0.2,59,3.6,81,5,29,1.8,52,3.2
Birmingham 081A,E01009315,1728,100,251,14.5,62,3.6,10,0.6,66,3.8,96,5.6,17,1,55,3.2,28,1.6,22,1.3,5,0.3,90,5.2,20,1.2,0,0,46,2.7,24,1.4,1300,75.2,1170,67.7,47,2.7,0,0,0,0,83,4.8,32,1.9,8,0.5,24,1.4
Birmingham 081B,E01009316,1898,100,376,19.8,96,5.1,3,0.2,65,3.4,200,10.5,12,0.6,113,6,69,3.6,33,1.7,11,0.6,87,4.6,30,1.6,6,0.3,39,2.1,12,0.6,1281,67.5,1129,59.5,52,2.7,0,0,0,0,100,5.3,41,2.2,16,0.8,25,1.3
Birmingham 081C,E01009317,2072,100,270,13,37,1.8,7,0.3,53,2.6,100,4.8,73,3.5,101,4.9,54,2.6,28,1.4,19,0.9,86,4.2,25,1.2,4,0.2,37,1.8,20,1,1579,76.2,1465,70.7,33,1.6,0,0,0,0,81,3.9,36,1.7,0,0,36,1.7
