2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,% Level 4 qualifications or above  ,Other qualifications,%
Birmingham 056B,E01009507,1195,100,389,32.6,133,11.1,158,13.2,48,4,155,13,275,23,37,3.1
Birmingham 056C,E01009508,1271,100,345,27.1,152,12,178,14,45,3.5,209,16.4,297,23.4,45,3.5
Birmingham 056D,E01009509,1544,100,440,28.5,201,13,179,11.6,51,3.3,225,14.6,400,25.9,48,3.1
Birmingham 056E,E01009510,1292,100,462,35.8,154,11.9,155,12,47,3.6,168,13,259,20,47,3.6
Birmingham 057A,E01009297,1408,100,456,32.4,151,10.7,204,14.5,76,5.4,209,14.8,266,18.9,46,3.3
Birmingham 057B,E01009299,1184,100,358,30.2,154,13,201,17,45,3.8,175,14.8,221,18.7,30,2.5
Birmingham 057C,E01009300,1357,100,421,31,155,11.4,219,16.1,53,3.9,188,13.9,268,19.7,53,3.9
Birmingham 057D,E01009301,1249,100,361,28.9,168,13.5,219,17.5,69,5.5,183,14.7,209,16.7,40,3.2
Birmingham 057E,E01009303,1188,100,363,30.6,157,13.2,180,15.2,54,4.5,182,15.3,205,17.3,47,4
Birmingham 058A,E01009195,1901,100,709,37.3,205,10.8,257,13.5,50,2.6,269,14.2,344,18.1,67,3.5
Birmingham 058C,E01009197,1348,100,409,30.3,147,10.9,173,12.8,34,2.5,233,17.3,307,22.8,45,3.3
Birmingham 058F,E01033649,1369,100,487,35.6,176,12.9,216,15.8,26,1.9,201,14.7,229,16.7,34,2.5
Birmingham 058G,E01034935,2299,100,792,34.4,316,13.7,366,15.9,56,2.4,313,13.6,396,17.2,60,2.6
Birmingham 060A,E01009138,1689,100,365,21.6,155,9.2,207,12.3,26,1.5,205,12.1,672,39.8,59,3.5
Birmingham 060B,E01009139,1283,100,258,20.1,107,8.3,125,9.7,41,3.2,201,15.7,501,39,50,3.9
Birmingham 060C,E01009140,1828,100,343,18.8,128,7,154,8.4,52,2.8,268,14.7,835,45.7,48,2.6
Birmingham 060D,E01009145,1605,100,305,19,101,6.3,154,9.6,47,2.9,210,13.1,732,45.6,56,3.5
Birmingham 060E,E01009147,1672,100,405,24.2,156,9.3,163,9.7,61,3.6,207,12.4,625,37.4,55,3.3
