"Code","White_British","Low_Occupancy","Unemployed","Qualification"
"E01009047",5.4,11.1,9.4,16.9
"E01009048",7.8,12,8.6,22
"E01009049",7.5,6.4,6.4,30.2
"E01009050",6,7.7,6.5,28.8
"E01009051",5.8,9,5.5,21.6
"E01009053",4.4,12.4,5.7,16.8
"E01009054",1.9,10.1,4.3,23.3
"E01009056",9.6,11.6,6.3,28.4
"E01009057",5.3,12.6,7.8,20.3
"E01009058",2.9,13,6,20.8
"E01009059",5.3,11.7,6.7,20.6
"E01009060",3.6,11.3,5.4,19.1
"E01009061",1.5,9.4,7.4,20.8
"E01009062",1.6,12.5,8.8,19.3
"E01009064",49.8,5.4,5.5,33.6
"E01009065",60.1,1.7,2.1,68.1
"E01009066",44.8,1.6,1.9,53.7
"E01009067",71.4,2.2,2.3,66.8
"E01009068",59.6,2.8,2.3,66
"E01009069",64.2,3.5,2.7,62.8
"E01009070",63.2,5,2.6,55.4
"E01009071",57.8,10.6,3.7,51.7
"E01009072",62.8,2.7,3.1,59.6
"E01009073",36.9,16.1,7.2,22.1
"E01009074",36.9,10.9,7,27.7
"E01009075",44.3,7.2,6.6,39.7
"E01009077",51.9,2.8,3.2,46.5
"E01009078",45.6,7,4.1,45.5
"E01009079",40.8,12.9,7.1,21.9
"E01009080",35.2,14.4,6.5,18.1
"E01009081",37.3,6.4,6,18.2
"E01009082",40.3,8.5,4.4,21.6
"E01009083",31.9,11,5.8,24.4
"E01009084",17.5,8.1,4.2,26.8
"E01009085",9.5,12.1,5.2,26.5
"E01009086",18.2,8.3,4.2,23.9
"E01009087",29.1,6.2,5.7,27
"E01009088",54.6,3.9,3.8,22.1
"E01009089",19,7.1,4.3,27.5
"E01009090",11.1,8.5,4,24.5
"E01009091",56.8,7.3,4.3,22.7
"E01009092",44,12.4,7.6,20.8
"E01009093",49.9,13.6,4.7,18.8
"E01009094",36.6,10.1,5.5,21.8
"E01009095",28.4,5.3,3.7,26.9
"E01009096",74.1,5.4,5.5,18
"E01009097",72.8,5.1,6,15.1
"E01009098",64.6,3.6,4.1,23.9
"E01009099",71.4,5.9,7.3,16.1
"E01009100",58.6,3.7,3.8,26.1
"E01009101",78.8,3.8,4.4,16.4
"E01009102",52.6,5.3,5.2,20.5
"E01009103",74.7,4.5,5.5,16.4
"E01009104",47.8,8.8,6,23.5
"E01009105",69.3,4.2,3.3,27.4
"E01009106",84.8,3.8,4.5,16.9
"E01009107",60.3,11.4,4.6,22.8
"E01009108",76.1,1.6,2.9,35.8
"E01009109",61,11.6,8.1,26.2
"E01009110",76.7,8.6,5.9,23.3
"E01009111",75.6,4.5,4.2,27.9
"E01009112",82.1,2.8,4,23.4
"E01009113",63.8,7.2,6.7,25
"E01009114",75.2,4.8,4.9,19.2
"E01009115",76,8.2,4.4,19.7
"E01009116",80.2,1.1,1.1,49.6
"E01009117",60,9.1,6.4,20.5
"E01009118",79.4,6.2,4.2,24.6
"E01009119",75.1,2.7,3.8,36.2
"E01009120",72.2,3.2,3.3,29.6
"E01009122",66,7.4,4.6,18
"E01009123",42.6,7.2,5.4,23.7
"E01009124",32.7,17.4,8.5,20.2
"E01009125",41.1,7.7,5.4,18.1
"E01009126",46.9,2,3.5,25.3
"E01009127",58.4,7.5,6.1,18.7
"E01009128",71.9,8,6,18.6
"E01009129",60.8,7.6,7.4,19.6
"E01009130",70.8,9.6,5.4,17
"E01009131",66.6,10.1,4.6,17.2
"E01009132",65.6,9.2,5,17.5
"E01009133",65.2,6.3,5.6,18.5
"E01009134",65.4,6.9,5.5,19.4
"E01009135",61.3,0.8,1.9,37.3
"E01009136",62.3,7.1,4.3,23
"E01009137",59.8,9,8.8,19.6
"E01009138",11.4,5,5,39.8
"E01009139",25.7,7.7,4.8,39
"E01009140",22.1,9.2,3.9,45.7
"E01009141",16.2,18.6,9.2,27.6
"E01009143",17,17.1,8.4,23.1
"E01009145",17.2,11.2,5.8,45.6
"E01009146",31.3,12.5,7.1,38.3
"E01009147",31.4,15.1,5.1,37.4
"E01009151",7,10.1,5.2,24.2
"E01009152",7.8,18.2,7,25.2
"E01009153",20.8,11,8.2,31.5
"E01009155",80,7,5.9,12.7
"E01009157",78.1,8.3,4.1,16.1
"E01009158",76.2,4.8,3.9,26.7
"E01009159",76.6,3.3,2.9,32.9
"E01009160",71.7,10.1,10.4,17.6
"E01009161",84.4,7.9,3.2,19.3
"E01009162",72.1,3.3,3.8,27
"E01009164",85.3,5.1,3.2,24.4
"E01009165",76.9,13.8,5.5,23.6
"E01009166",81.3,5.7,4.7,27.9
"E01009167",83.9,3.6,4.4,24
"E01009168",88.6,3.2,2.1,24.2
