2021 super output area - lower layer,Geog_Code,Total: All households,%,Occupancy rating of rooms: +2 or more,%,Occupancy rating of rooms: +1,%,Occupancy rating of rooms: 0,%,Occupancy rating of rooms: -1,% Occupancy rating of rooms: -1 or less,Occupancy rating of rooms: -2 or less,%
Birmingham 057A,E01009297,799,100,249,31.2,213,26.7,283,35.4,41,5.1,13,1.6
Birmingham 057B,E01009299,624,100,165,26.4,198,31.7,185,29.6,59,9.5,17,2.7
Birmingham 057C,E01009300,720,100,153,21.2,225,31.2,226,31.4,91,12.6,25,3.5
Birmingham 057D,E01009301,768,100,77,10,237,30.9,338,44,93,12.1,23,3
Birmingham 057E,E01009303,714,100,136,19,207,29,276,38.7,87,12.2,8,1.1
Birmingham 058A,E01009195,674,100,198,29.4,146,21.7,148,22,117,17.4,65,9.6
Birmingham 058C,E01009197,485,100,168,34.6,117,24.1,100,20.6,53,10.9,47,9.7
Birmingham 058F,E01033649,494,100,143,28.9,110,22.3,101,20.4,78,15.8,62,12.6
Birmingham 058G,E01034935,836,100,250,29.9,217,26,180,21.5,113,13.5,76,9.1
Birmingham 060A,E01009138,676,100,375,55.5,156,23.1,79,11.7,34,5,32,4.7
Birmingham 060B,E01009139,556,100,279,50.2,92,16.5,119,21.4,43,7.7,23,4.1
Birmingham 060C,E01009140,845,100,379,44.9,171,20.2,198,23.4,78,9.2,19,2.2
Birmingham 060D,E01009145,726,100,376,51.8,96,13.2,154,21.2,81,11.2,19,2.6
Birmingham 060E,E01009147,671,100,240,35.8,104,15.5,209,31.1,101,15.1,17,2.5
Birmingham 062A,E01009512,707,100,238,33.7,227,32.1,163,23.1,66,9.3,13,1.8
Birmingham 062B,E01009514,623,100,170,27.3,204,32.7,185,29.7,47,7.5,17,2.7
Birmingham 062C,E01009516,517,100,208,40.2,145,28,117,22.6,37,7.2,10,1.9
Birmingham 062D,E01009517,700,100,281,40.1,184,26.3,175,25,42,6,18,2.6
Birmingham 063A,E01009325,509,100,117,23,106,20.8,147,28.9,77,15.1,62,12.2
Birmingham 063D,E01009342,407,100,146,35.9,93,22.9,89,21.9,47,11.5,32,7.9
Birmingham 063E,E01009343,495,100,146,29.5,115,23.2,125,25.3,61,12.3,48,9.7
Birmingham 063F,E01033642,835,100,247,29.6,184,22,217,26,108,12.9,79,9.5
Birmingham 064A,E01008986,787,100,177,22.5,123,15.6,323,41,148,18.8,16,2
Birmingham 064B,E01008987,629,100,153,24.3,115,18.3,208,33.1,132,21,21,3.3
Birmingham 064C,E01008988,983,100,195,19.8,204,20.8,438,44.6,127,12.9,19,1.9
Birmingham 064D,E01008989,925,100,151,16.3,261,28.2,381,41.2,112,12.1,20,2.2
Birmingham 064E,E01008990,512,100,214,41.8,178,34.8,95,18.6,21,4.1,4,0.8
Birmingham 064F,E01008991,574,100,424,73.9,89,15.5,45,7.8,14,2.4,2,0.3
Birmingham 066A,E01008882,671,100,155,23.1,170,25.3,235,35,76,11.3,35,5.2
Birmingham 066B,E01008896,568,100,155,27.3,140,24.6,143,25.2,94,16.5,36,6.3
