2021 super output area - lower layer,Geog_Code,Total: All usual residents aged 16 years and over,%,Economically active (excluding full-time students),%,Economically active (excluding full-time students):In employment,%,Economically active (excluding full-time students):In employment:Employee,%,Economically active (excluding full-time students): In employment: Employee: Part-time,%,Economically active (excluding full-time students): In employment: Employee: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed with employees,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed without employees,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,%,Economically active (excluding full-time students): Unemployed,% Economically active (excluding full-time students): Unemployed  ,Economically active and a full-time student,%,Economically active and a full-time student:In employment,%,Economically active and a full-time student:In employment:Employee,%,Economically active and a full-time student: In employment: Employee: Part-time,%,Economically active and a full-time student: In employment: Employee: Full-time,%,Economically active and a full-time student:In employment:Self-employed with employees,%,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,%,Economically active and a full-time student:In employment:Self-employed without employees,%,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,%,Economically active and a full-time student: Unemployed,%,Economically inactive,%,Economically inactive: Retired,%,Economically inactive: Student,%,Economically inactive: Looking after home or family,%,Economically inactive: Long-term sick or disabled,%,Economically inactive: Other,%
Birmingham 004A,E01009421,1441,100,784,54.4,771,53.5,621,43.1,160,11.1,461,32,38,2.6,6,0.4,32,2.2,112,7.8,52,3.6,60,4.2,13,0.9,24,1.7,17,1.2,17,1.2,14,1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,633,43.9,492,34.1,55,3.8,50,3.5,19,1.3,17,1.2
Birmingham 004B,E01009424,1330,100,821,61.7,795,59.8,657,49.4,144,10.8,513,38.6,29,2.2,3,0.2,26,2,109,8.2,49,3.7,60,4.5,26,2,14,1.1,10,0.8,9,0.7,7,0.5,2,0.2,0,0,0,0,0,0,1,0.1,0,0,1,0.1,4,0.3,495,37.2,295,22.2,71,5.3,46,3.5,34,2.6,49,3.7
Birmingham 004C,E01009427,1280,100,745,58.2,702,54.8,523,40.9,128,10,395,30.9,66,5.2,19,1.5,47,3.7,113,8.8,55,4.3,58,4.5,43,3.4,12,0.9,8,0.6,8,0.6,6,0.5,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,523,40.9,304,23.8,83,6.5,67,5.2,32,2.5,37,2.9
Birmingham 004D,E01009428,1363,100,731,53.6,710,52.1,588,43.1,167,12.3,421,30.9,34,2.5,7,0.5,27,2,88,6.5,45,3.3,43,3.2,21,1.5,21,1.5,19,1.4,17,1.2,11,0.8,6,0.4,0,0,0,0,0,0,2,0.1,2,0.1,0,0,2,0.1,611,44.8,481,35.3,54,4,34,2.5,17,1.2,25,1.8
Birmingham 004E,E01009430,1452,100,758,52.2,747,51.4,551,37.9,133,9.2,418,28.8,71,4.9,13,0.9,58,4,125,8.6,58,4,67,4.6,11,0.8,31,2.1,24,1.7,22,1.5,17,1.2,5,0.3,0,0,0,0,0,0,2,0.1,2,0.1,0,0,7,0.5,663,45.7,461,31.7,80,5.5,64,4.4,19,1.3,39,2.7
Birmingham 004F,E01009468,1259,100,678,53.9,672,53.4,559,44.4,153,12.2,406,32.2,21,1.7,3,0.2,18,1.4,92,7.3,44,3.5,48,3.8,6,0.5,15,1.2,9,0.7,8,0.6,5,0.4,3,0.2,1,0.1,1,0.1,0,0,0,0,0,0,0,0,6,0.5,566,45,438,34.8,48,3.8,40,3.2,25,2,15,1.2
Birmingham 005A,E01009445,1379,100,795,57.7,738,53.5,638,46.3,188,13.6,450,32.6,8,0.6,0,0,8,0.6,92,6.7,34,2.5,58,4.2,57,4.1,20,1.5,18,1.3,17,1.2,13,0.9,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,2,0.1,564,40.9,197,14.3,71,5.1,116,8.4,109,7.9,71,5.1
Birmingham 005B,E01009446,1960,100,1266,64.6,1201,61.3,1056,53.9,243,12.4,813,41.5,24,1.2,3,0.2,21,1.1,121,6.2,53,2.7,68,3.5,65,3.3,37,1.9,28,1.4,26,1.3,21,1.1,5,0.3,2,0.1,1,0.1,1,0.1,0,0,0,0,0,0,9,0.5,657,33.5,374,19.1,67,3.4,70,3.6,89,4.5,57,2.9
Birmingham 005C,E01009447,1266,100,791,62.5,759,60,661,52.2,155,12.2,506,40,12,0.9,0,0,12,0.9,86,6.8,36,2.8,50,3.9,32,2.5,38,3,25,2,23,1.8,17,1.3,6,0.5,0,0,0,0,0,0,2,0.2,2,0.2,0,0,13,1,437,34.5,247,19.5,57,4.5,62,4.9,48,3.8,23,1.8
Birmingham 005D,E01009448,1311,100,746,56.9,693,52.9,610,46.5,165,12.6,445,33.9,7,0.5,4,0.3,3,0.2,76,5.8,30,2.3,46,3.5,53,4,16,1.2,8,0.6,8,0.6,7,0.5,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,8,0.6,549,41.9,265,20.2,67,5.1,62,4.7,106,8.1,49,3.7
Birmingham 005E,E01009452,1357,100,796,58.7,762,56.2,652,48,156,11.5,496,36.6,13,1,1,0.1,12,0.9,97,7.1,36,2.7,61,4.5,34,2.5,31,2.3,28,2.1,28,2.1,21,1.5,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,530,39.1,347,25.6,57,4.2,44,3.2,40,2.9,42,3.1
Birmingham 005F,E01009455,1066,100,558,52.3,502,47.1,426,40,113,10.6,313,29.4,11,1,4,0.4,7,0.7,65,6.1,20,1.9,45,4.2,56,5.3,10,0.9,8,0.8,7,0.7,5,0.5,2,0.2,1,0.1,0,0,1,0.1,0,0,0,0,0,0,2,0.2,498,46.7,307,28.8,33,3.1,36,3.4,77,7.2,45,4.2
Birmingham 006A,E01009432,1207,100,670,55.5,629,52.1,535,44.3,132,10.9,403,33.4,20,1.7,4,0.3,16,1.3,74,6.1,32,2.7,42,3.5,41,3.4,21,1.7,11,0.9,11,0.9,9,0.7,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,10,0.8,516,42.8,312,25.8,52,4.3,61,5.1,52,4.3,39,3.2
Birmingham 006B,E01009435,1419,100,925,65.2,892,62.9,785,55.3,180,12.7,605,42.6,21,1.5,5,0.4,16,1.1,86,6.1,28,2,58,4.1,33,2.3,22,1.6,20,1.4,20,1.4,17,1.2,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,472,33.3,313,22.1,67,4.7,31,2.2,30,2.1,31,2.2
Birmingham 006C,E01009437,1513,100,866,57.2,834,55.1,693,45.8,169,11.2,524,34.6,31,2,4,0.3,27,1.8,110,7.3,40,2.6,70,4.6,32,2.1,16,1.1,8,0.5,8,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,631,41.7,483,31.9,63,4.2,38,2.5,23,1.5,24,1.6
Birmingham 006D,E01009444,1239,100,704,56.8,681,55,558,45,156,12.6,402,32.4,16,1.3,4,0.3,12,1,107,8.6,44,3.6,63,5.1,23,1.9,22,1.8,20,1.6,20,1.6,19,1.5,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,513,41.4,397,32,53,4.3,42,3.4,6,0.5,15,1.2
