2021 super output area - lower layer,Geog_Code,Total: All usual residents aged 16 years and over,%,Economically active (excluding full-time students),%,Economically active (excluding full-time students):In employment,%,Economically active (excluding full-time students):In employment:Employee,%,Economically active (excluding full-time students): In employment: Employee: Part-time,%,Economically active (excluding full-time students): In employment: Employee: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed with employees,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed without employees,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,%,Economically active (excluding full-time students): Unemployed,% Economically active (excluding full-time students): Unemployed  ,Economically active and a full-time student,%,Economically active and a full-time student:In employment,%,Economically active and a full-time student:In employment:Employee,%,Economically active and a full-time student: In employment: Employee: Part-time,%,Economically active and a full-time student: In employment: Employee: Full-time,%,Economically active and a full-time student:In employment:Self-employed with employees,%,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,%,Economically active and a full-time student:In employment:Self-employed without employees,%,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,%,Economically active and a full-time student: Unemployed,%,Economically inactive,%,Economically inactive: Retired,%,Economically inactive: Student,%,Economically inactive: Looking after home or family,%,Economically inactive: Long-term sick or disabled,%,Economically inactive: Other,%
Birmingham 012C,E01009438,1131,100,663,58.6,647,57.2,550,48.6,154,13.6,396,35,20,1.8,4,0.4,16,1.4,77,6.8,35,3.1,42,3.7,16,1.4,15,1.3,11,1,11,1,10,0.9,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,453,40.1,360,31.8,30,2.7,32,2.8,14,1.2,17,1.5
Birmingham 012D,E01009440,1332,100,695,52.2,673,50.5,564,42.3,156,11.7,408,30.6,20,1.5,4,0.3,16,1.2,89,6.7,38,2.9,51,3.8,22,1.7,9,0.7,6,0.5,5,0.4,5,0.4,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,3,0.2,628,47.1,491,36.9,41,3.1,38,2.9,42,3.2,16,1.2
Birmingham 012E,E01009450,1337,100,815,61,785,58.7,655,49,129,9.6,526,39.3,27,2,5,0.4,22,1.6,103,7.7,46,3.4,57,4.3,30,2.2,24,1.8,22,1.6,22,1.6,18,1.3,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,498,37.2,329,24.6,58,4.3,38,2.8,33,2.5,40,3
Birmingham 013A,E01009223,1309,100,776,59.3,731,55.8,630,48.1,163,12.5,467,35.7,16,1.2,3,0.2,13,1,85,6.5,29,2.2,56,4.3,45,3.4,20,1.5,15,1.1,15,1.1,14,1.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,513,39.2,288,22,65,5,60,4.6,61,4.7,39,3
Birmingham 013B,E01009225,1294,100,645,49.8,590,45.6,498,38.5,128,9.9,370,28.6,12,0.9,4,0.3,8,0.6,80,6.2,31,2.4,49,3.8,55,4.3,21,1.6,16,1.2,16,1.2,12,0.9,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,628,48.5,336,26,79,6.1,68,5.3,98,7.6,47,3.6
Birmingham 013C,E01009227,1349,100,841,62.3,795,58.9,679,50.3,176,13,503,37.3,8,0.6,2,0.1,6,0.4,108,8,32,2.4,76,5.6,46,3.4,20,1.5,18,1.3,15,1.1,12,0.9,3,0.2,0,0,0,0,0,0,3,0.2,2,0.1,1,0.1,2,0.1,488,36.2,281,20.8,61,4.5,57,4.2,51,3.8,38,2.8
Birmingham 013D,E01009228,1228,100,781,63.6,739,60.2,646,52.6,180,14.7,466,37.9,9,0.7,3,0.2,6,0.5,84,6.8,40,3.3,44,3.6,42,3.4,17,1.4,11,0.9,10,0.8,6,0.5,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,6,0.5,430,35,248,20.2,56,4.6,50,4.1,48,3.9,28,2.3
Birmingham 014B,E01009122,1251,100,662,52.9,604,48.3,535,42.8,151,12.1,384,30.7,9,0.7,0,0,9,0.7,60,4.8,21,1.7,39,3.1,58,4.6,24,1.9,15,1.2,15,1.2,11,0.9,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0.7,565,45.2,212,16.9,91,7.3,79,6.3,136,10.9,47,3.8
Birmingham 014C,E01009129,1192,100,676,56.7,588,49.3,517,43.4,163,13.7,354,29.7,12,1,5,0.4,7,0.6,59,4.9,20,1.7,39,3.3,88,7.4,34,2.9,21,1.8,21,1.8,12,1,9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,13,1.1,482,40.4,114,9.6,89,7.5,96,8.1,132,11.1,51,4.3
Birmingham 014D,E01009132,1155,100,603,52.2,545,47.2,474,41,153,13.2,321,27.8,7,0.6,1,0.1,6,0.5,64,5.5,29,2.5,35,3,58,5,13,1.1,3,0.3,1,0.1,1,0.1,0,0,0,0,0,0,0,0,2,0.2,1,0.1,1,0.1,10,0.9,539,46.7,165,14.3,80,6.9,103,8.9,110,9.5,81,7
Birmingham 014E,E01009136,1432,100,641,44.8,579,40.4,519,36.2,129,9,390,27.2,13,0.9,1,0.1,12,0.8,47,3.3,20,1.4,27,1.9,62,4.3,36,2.5,18,1.3,11,0.8,6,0.4,5,0.3,0,0,0,0,0,0,7,0.5,3,0.2,4,0.3,18,1.3,755,52.7,375,26.2,86,6,84,5.9,161,11.2,49,3.4
Birmingham 014F,E01034913,880,100,483,54.9,448,50.9,398,45.2,127,14.4,271,30.8,14,1.6,2,0.2,12,1.4,36,4.1,12,1.4,24,2.7,35,4,29,3.3,14,1.6,14,1.6,9,1,5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,15,1.7,368,41.8,110,12.5,80,9.1,62,7,62,7,54,6.1
Birmingham 014G,E01034914,1358,100,694,51.1,627,46.2,542,39.9,158,11.6,384,28.3,20,1.5,7,0.5,13,1,65,4.8,29,2.1,36,2.7,67,4.9,32,2.4,23,1.7,18,1.3,14,1,4,0.3,1,0.1,1,0.1,0,0,4,0.3,2,0.1,2,0.1,9,0.7,632,46.5,185,13.6,128,9.4,120,8.8,138,10.2,61,4.5
Birmingham 015A,E01009457,1272,100,654,51.4,642,50.5,514,40.4,133,10.5,381,30,33,2.6,8,0.6,25,2,95,7.5,44,3.5,51,4,12,0.9,17,1.3,12,0.9,12,0.9,10,0.8,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,601,47.2,456,35.8,59,4.6,45,3.5,15,1.2,26,2
Birmingham 015B,E01009459,1323,100,741,56,723,54.6,590,44.6,138,10.4,452,34.2,32,2.4,8,0.6,24,1.8,101,7.6,50,3.8,51,3.9,18,1.4,21,1.6,13,1,13,1,8,0.6,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,8,0.6,561,42.4,387,29.3,63,4.8,40,3,33,2.5,38,2.9
Birmingham 015C,E01009461,1090,100,615,56.4,596,54.7,500,45.9,118,10.8,382,35,18,1.7,5,0.5,13,1.2,78,7.2,33,3,45,4.1,19,1.7,19,1.7,13,1.2,11,1,9,0.8,2,0.2,1,0.1,1,0.1,0,0,1,0.1,0,0,1,0.1,6,0.6,456,41.8,352,32.3,47,4.3,33,3,16,1.5,8,0.7
Birmingham 015D,E01009463,1333,100,675,50.6,653,49,535,40.1,113,8.5,422,31.7,29,2.2,6,0.5,23,1.7,89,6.7,44,3.3,45,3.4,22,1.7,11,0.8,4,0.3,4,0.3,3,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,647,48.5,475,35.6,59,4.4,34,2.6,54,4.1,25,1.9
Birmingham 016A,E01009235,1321,100,777,58.8,725,54.9,627,47.5,163,12.3,464,35.1,11,0.8,6,0.5,5,0.4,87,6.6,43,3.3,44,3.3,52,3.9,32,2.4,15,1.1,14,1.1,11,0.8,3,0.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,17,1.3,512,38.8,258,19.5,84,6.4,73,5.5,34,2.6,63,4.8
Birmingham 016B,E01009243,1403,100,879,62.7,842,60,749,53.4,178,12.7,571,40.7,17,1.2,4,0.3,13,0.9,76,5.4,25,1.8,51,3.6,37,2.6,33,2.4,33,2.4,30,2.1,21,1.5,9,0.6,0,0,0,0,0,0,3,0.2,3,0.2,0,0,0,0,491,35,247,17.6,81,5.8,69,4.9,47,3.3,47,3.3
Birmingham 016C,E01009245,1191,100,651,54.7,626,52.6,526,44.2,136,11.4,390,32.7,19,1.6,5,0.4,14,1.2,81,6.8,35,2.9,46,3.9,25,2.1,25,2.1,16,1.3,14,1.2,12,1,2,0.2,0,0,0,0,0,0,2,0.2,1,0.1,1,0.1,9,0.8,515,43.2,232,19.5,75,6.3,60,5,45,3.8,103,8.6
Birmingham 016D,E01009246,1261,100,771,61.1,716,56.8,644,51.1,142,11.3,502,39.8,6,0.5,2,0.2,4,0.3,66,5.2,30,2.4,36,2.9,55,4.4,18,1.4,13,1,12,1,9,0.7,3,0.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,5,0.4,472,37.4,281,22.3,51,4,55,4.4,40,3.2,45,3.6
Birmingham 016E,E01009247,1252,100,786,62.8,728,58.1,633,50.6,175,14,458,36.6,18,1.4,3,0.2,15,1.2,77,6.2,30,2.4,47,3.8,58,4.6,29,2.3,20,1.6,19,1.5,16,1.3,3,0.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,9,0.7,437,34.9,225,18,79,6.3,52,4.2,40,3.2,41,3.3
Birmingham 017A,E01009226,1171,100,734,62.7,680,58.1,590,50.4,143,12.2,447,38.2,15,1.3,8,0.7,7,0.6,75,6.4,24,2,51,4.4,54,4.6,9,0.8,7,0.6,4,0.3,3,0.3,1,0.1,0,0,0,0,0,0,3,0.3,2,0.2,1,0.1,2,0.2,428,36.5,242,20.7,42,3.6,60,5.1,42,3.6,42,3.6
Birmingham 017B,E01009229,1244,100,777,62.5,733,58.9,626,50.3,166,13.3,460,37,22,1.8,8,0.6,14,1.1,85,6.8,27,2.2,58,4.7,44,3.5,17,1.4,14,1.1,14,1.1,9,0.7,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,450,36.2,255,20.5,62,5,68,5.5,31,2.5,34,2.7
Birmingham 017C,E01009230,1316,100,755,57.4,699,53.1,602,45.7,144,10.9,458,34.8,14,1.1,4,0.3,10,0.8,83,6.3,22,1.7,61,4.6,56,4.3,14,1.1,13,1,12,0.9,8,0.6,4,0.3,0,0,0,0,0,0,1,0.1,0,0,1,0.1,1,0.1,547,41.6,280,21.3,66,5,69,5.2,51,3.9,81,6.2
Birmingham 017D,E01009231,1568,100,875,55.8,818,52.2,700,44.6,198,12.6,502,32,15,1,7,0.4,8,0.5,103,6.6,44,2.8,59,3.8,57,3.6,37,2.4,25,1.6,25,1.6,21,1.3,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,12,0.8,656,41.8,369,23.5,107,6.8,94,6,40,2.6,46,2.9
Birmingham 018A,E01009001,1330,100,782,58.8,738,55.5,660,49.6,156,11.7,504,37.9,9,0.7,3,0.2,6,0.5,69,5.2,31,2.3,38,2.9,44,3.3,13,1,12,0.9,12,0.9,9,0.7,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,535,40.2,306,23,35,2.6,59,4.4,84,6.3,51,3.8
Birmingham 018B,E01009003,1520,100,795,52.3,749,49.3,633,41.6,157,10.3,476,31.3,16,1.1,3,0.2,13,0.9,100,6.6,42,2.8,58,3.8,46,3,15,1,13,0.9,12,0.8,9,0.6,3,0.2,1,0.1,1,0.1,0,0,0,0,0,0,0,0,2,0.1,710,46.7,455,29.9,47,3.1,57,3.8,89,5.9,62,4.1
Birmingham 018C,E01009456,1398,100,844,60.4,827,59.2,698,49.9,152,10.9,546,39.1,23,1.6,1,0.1,22,1.6,106,7.6,50,3.6,56,4,17,1.2,17,1.2,15,1.1,14,1,12,0.9,2,0.1,0,0,0,0,0,0,1,0.1,1,0.1,0,0,2,0.1,537,38.4,370,26.5,55,3.9,36,2.6,40,2.9,36,2.6
Birmingham 018D,E01009458,1222,100,585,47.9,544,44.5,484,39.6,92,7.5,392,32.1,5,0.4,0,0,5,0.4,55,4.5,27,2.2,28,2.3,41,3.4,15,1.2,11,0.9,8,0.7,5,0.4,3,0.2,0,0,0,0,0,0,3,0.2,1,0.1,2,0.2,4,0.3,622,50.9,450,36.8,40,3.3,45,3.7,68,5.6,19,1.6
Birmingham 018E,E01009460,1360,100,836,61.5,793,58.3,679,49.9,142,10.4,537,39.5,18,1.3,5,0.4,13,1,96,7.1,44,3.2,52,3.8,43,3.2,24,1.8,12,0.9,12,0.9,5,0.4,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,12,0.9,500,36.8,317,23.3,48,3.5,42,3.1,55,4,38,2.8
Birmingham 018F,E01009462,1343,100,829,61.7,801,59.6,672,50,148,11,524,39,17,1.3,3,0.2,14,1,112,8.3,55,4.1,57,4.2,28,2.1,24,1.8,14,1,13,1,7,0.5,6,0.4,1,0.1,0,0,1,0.1,0,0,0,0,0,0,10,0.7,490,36.5,311,23.2,46,3.4,43,3.2,62,4.6,28,2.1
Birmingham 019A,E01009234,1164,100,774,66.5,739,63.5,666,57.2,165,14.2,501,43,13,1.1,5,0.4,8,0.7,60,5.2,23,2,37,3.2,35,3,14,1.2,13,1.1,12,1,10,0.9,2,0.2,0,0,0,0,0,0,1,0.1,0,0,1,0.1,1,0.1,376,32.3,173,14.9,64,5.5,57,4.9,44,3.8,38,3.3
Birmingham 019B,E01009236,1192,100,719,60.3,669,56.1,581,48.7,166,13.9,415,34.8,15,1.3,2,0.2,13,1.1,73,6.1,25,2.1,48,4,50,4.2,35,2.9,27,2.3,25,2.1,17,1.4,8,0.7,0,0,0,0,0,0,2,0.2,2,0.2,0,0,8,0.7,438,36.7,221,18.5,72,6,46,3.9,52,4.4,47,3.9
Birmingham 019C,E01009244,1450,100,954,65.8,893,61.6,780,53.8,188,13,592,40.8,18,1.2,6,0.4,12,0.8,95,6.6,34,2.3,61,4.2,61,4.2,26,1.8,13,0.9,12,0.8,8,0.6,4,0.3,0,0,0,0,0,0,1,0.1,0,0,1,0.1,13,0.9,470,32.4,235,16.2,83,5.7,61,4.2,37,2.6,54,3.7
Birmingham 019D,E01009248,1393,100,898,64.5,850,61,747,53.6,180,12.9,567,40.7,25,1.8,6,0.4,19,1.4,78,5.6,33,2.4,45,3.2,48,3.4,18,1.3,15,1.1,12,0.9,11,0.8,1,0.1,0,0,0,0,0,0,3,0.2,2,0.1,1,0.1,3,0.2,477,34.2,251,18,69,5,67,4.8,50,3.6,40,2.9
Birmingham 020A,E01009403,1178,100,681,57.8,613,52,531,45.1,167,14.2,364,30.9,18,1.5,10,0.8,8,0.7,64,5.4,31,2.6,33,2.8,68,5.8,28,2.4,26,2.2,25,2.1,16,1.4,9,0.8,0,0,0,0,0,0,1,0.1,0,0,1,0.1,2,0.2,469,39.8,152,12.9,71,6,90,7.6,79,6.7,77,6.5
Birmingham 020B,E01009404,1215,100,700,57.6,632,52,562,46.3,177,14.6,385,31.7,12,1,5,0.4,7,0.6,58,4.8,27,2.2,31,2.6,68,5.6,31,2.6,26,2.1,24,2,14,1.2,10,0.8,0,0,0,0,0,0,2,0.2,1,0.1,1,0.1,5,0.4,484,39.8,162,13.3,71,5.8,90,7.4,104,8.6,57,4.7
Birmingham 020C,E01009405,1160,100,655,56.5,597,51.5,514,44.3,153,13.2,361,31.1,9,0.8,2,0.2,7,0.6,74,6.4,27,2.3,47,4.1,58,5,28,2.4,20,1.7,18,1.6,10,0.9,8,0.7,1,0.1,1,0.1,0,0,1,0.1,0,0,1,0.1,8,0.7,477,41.1,207,17.8,60,5.2,69,5.9,70,6,71,6.1
Birmingham 020D,E01009406,1376,100,769,55.9,699,50.8,617,44.8,162,11.8,455,33.1,15,1.1,2,0.1,13,0.9,67,4.9,18,1.3,49,3.6,70,5.1,40,2.9,33,2.4,29,2.1,21,1.5,8,0.6,1,0.1,0,0,1,0.1,3,0.2,2,0.1,1,0.1,7,0.5,567,41.2,210,15.3,69,5,92,6.7,129,9.4,67,4.9
Birmingham 020E,E01009407,1392,100,764,54.9,692,49.7,581,41.7,150,10.8,431,31,22,1.6,3,0.2,19,1.4,89,6.4,45,3.2,44,3.2,72,5.2,56,4,45,3.2,40,2.9,20,1.4,20,1.4,3,0.2,0,0,3,0.2,2,0.1,1,0.1,1,0.1,11,0.8,572,41.1,225,16.2,93,6.7,96,6.9,91,6.5,67,4.8
Birmingham 021A,E01009439,1193,100,634,53.1,607,50.9,513,43,140,11.7,373,31.3,21,1.8,3,0.3,18,1.5,73,6.1,27,2.3,46,3.9,27,2.3,24,2,17,1.4,16,1.3,13,1.1,3,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,7,0.6,535,44.8,378,31.7,57,4.8,41,3.4,30,2.5,29,2.4
Birmingham 021B,E01009441,1215,100,700,57.6,651,53.6,537,44.2,149,12.3,388,31.9,19,1.6,3,0.2,16,1.3,95,7.8,36,3,59,4.9,49,4,19,1.6,17,1.4,17,1.4,14,1.2,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,496,40.8,300,24.7,48,4,45,3.7,65,5.3,38,3.1
Birmingham 021C,E01009442,1191,100,688,57.8,664,55.8,553,46.4,129,10.8,424,35.6,17,1.4,5,0.4,12,1,94,7.9,47,3.9,47,3.9,24,2,14,1.2,11,0.9,10,0.8,9,0.8,1,0.1,1,0.1,1,0.1,0,0,0,0,0,0,0,0,3,0.3,489,41.1,371,31.2,28,2.4,44,3.7,29,2.4,17,1.4
Birmingham 021D,E01009443,969,100,603,62.2,581,60,514,53,126,13,388,40,9,0.9,3,0.3,6,0.6,58,6,22,2.3,36,3.7,22,2.3,12,1.2,11,1.1,8,0.8,5,0.5,3,0.3,0,0,0,0,0,0,3,0.3,2,0.2,1,0.1,1,0.1,354,36.5,260,26.8,22,2.3,31,3.2,22,2.3,19,2
Birmingham 022A,E01009123,1202,100,701,58.3,636,52.9,548,45.6,132,11,416,34.6,13,1.1,3,0.2,10,0.8,75,6.2,37,3.1,38,3.2,65,5.4,44,3.7,30,2.5,29,2.4,18,1.5,11,0.9,0,0,0,0,0,0,1,0.1,1,0.1,0,0,14,1.2,457,38,158,13.1,89,7.4,99,8.2,62,5.2,49,4.1
Birmingham 022B,E01009124,1350,100,670,49.6,555,41.1,482,35.7,177,13.1,305,22.6,14,1,9,0.7,5,0.4,59,4.4,31,2.3,28,2.1,115,8.5,57,4.2,39,2.9,29,2.1,25,1.9,4,0.3,0,0,0,0,0,0,10,0.7,10,0.7,0,0,18,1.3,623,46.1,68,5,189,14,165,12.2,129,9.6,72,5.3
Birmingham 022C,E01009125,1559,100,796,51.1,712,45.7,626,40.2,172,11,454,29.1,12,0.8,4,0.3,8,0.5,74,4.7,37,2.4,37,2.4,84,5.4,45,2.9,37,2.4,32,2.1,20,1.3,12,0.8,1,0.1,1,0.1,0,0,4,0.3,4,0.3,0,0,8,0.5,718,46.1,246,15.8,135,8.7,133,8.5,124,8,80,5.1
Birmingham 022D,E01009232,1262,100,683,54.1,631,50,526,41.7,149,11.8,377,29.9,14,1.1,3,0.2,11,0.9,91,7.2,38,3,53,4.2,52,4.1,30,2.4,18,1.4,17,1.3,13,1,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,12,1,549,43.5,271,21.5,75,5.9,66,5.2,90,7.1,47,3.7
Birmingham 023A,E01009002,1375,100,691,50.3,608,44.2,523,38,150,10.9,373,27.1,12,0.9,8,0.6,4,0.3,73,5.3,38,2.8,35,2.5,83,6,36,2.6,31,2.3,30,2.2,18,1.3,12,0.9,1,0.1,0,0,1,0.1,0,0,0,0,0,0,5,0.4,648,47.1,169,12.3,125,9.1,175,12.7,101,7.3,78,5.7
Birmingham 023C,E01009006,1294,100,863,66.7,800,61.8,698,53.9,162,12.5,536,41.4,15,1.2,1,0.1,14,1.1,87,6.7,46,3.6,41,3.2,63,4.9,25,1.9,18,1.4,15,1.2,12,0.9,3,0.2,1,0.1,0,0,1,0.1,2,0.2,1,0.1,1,0.1,7,0.5,406,31.4,179,13.8,50,3.9,51,3.9,60,4.6,66,5.1
Birmingham 023D,E01009007,1491,100,921,61.8,831,55.7,747,50.1,175,11.7,572,38.4,6,0.4,2,0.1,4,0.3,78,5.2,29,1.9,49,3.3,90,6,36,2.4,33,2.2,26,1.7,7,0.5,19,1.3,5,0.3,1,0.1,4,0.3,2,0.1,2,0.1,0,0,3,0.2,534,35.8,159,10.7,75,5,83,5.6,87,5.8,130,8.7
Birmingham 023G,E01034915,1072,100,545,50.8,477,44.5,420,39.2,134,12.5,286,26.7,10,0.9,7,0.7,3,0.3,47,4.4,20,1.9,27,2.5,68,6.3,45,4.2,37,3.5,34,3.2,25,2.3,9,0.8,1,0.1,0,0,1,0.1,2,0.2,2,0.2,0,0,8,0.7,482,45,47,4.4,105,9.8,202,18.8,73,6.8,55,5.1
Birmingham 023H,E01034916,1253,100,730,58.3,680,54.3,584,46.6,130,10.4,454,36.2,19,1.5,3,0.2,16,1.3,77,6.1,33,2.6,44,3.5,50,4,42,3.4,42,3.4,40,3.2,23,1.8,17,1.4,0,0,0,0,0,0,2,0.2,2,0.2,0,0,0,0,481,38.4,269,21.5,60,4.8,51,4.1,47,3.8,54,4.3
Birmingham 024A,E01009237,1121,100,641,57.2,583,52,513,45.8,140,12.5,373,33.3,11,1,2,0.2,9,0.8,59,5.3,23,2.1,36,3.2,58,5.2,37,3.3,30,2.7,29,2.6,19,1.7,10,0.9,0,0,0,0,0,0,1,0.1,1,0.1,0,0,7,0.6,443,39.5,195,17.4,74,6.6,81,7.2,56,5,37,3.3
Birmingham 024B,E01009238,1391,100,737,53,685,49.2,581,41.8,163,11.7,418,30.1,17,1.2,4,0.3,13,0.9,87,6.3,41,2.9,46,3.3,52,3.7,20,1.4,16,1.2,15,1.1,14,1,1,0.1,1,0.1,1,0.1,0,0,0,0,0,0,0,0,4,0.3,634,45.6,327,23.5,96,6.9,108,7.8,57,4.1,46,3.3
Birmingham 024C,E01009240,1184,100,682,57.6,626,52.9,528,44.6,132,11.1,396,33.4,16,1.4,7,0.6,9,0.8,82,6.9,44,3.7,38,3.2,56,4.7,28,2.4,24,2,23,1.9,19,1.6,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,4,0.3,474,40,244,20.6,86,7.3,66,5.6,26,2.2,52,4.4
Birmingham 024D,E01009241,1310,100,784,59.8,725,55.3,596,45.5,158,12.1,438,33.4,26,2,13,1,13,1,103,7.9,46,3.5,57,4.4,59,4.5,50,3.8,36,2.7,33,2.5,22,1.7,11,0.8,0,0,0,0,0,0,3,0.2,2,0.2,1,0.1,14,1.1,476,36.3,179,13.7,92,7,119,9.1,43,3.3,43,3.3
Birmingham 024E,E01009242,1608,100,884,55,800,49.8,685,42.6,202,12.6,483,30,28,1.7,12,0.7,16,1,87,5.4,38,2.4,49,3,84,5.2,66,4.1,54,3.4,51,3.2,43,2.7,8,0.5,0,0,0,0,0,0,3,0.2,3,0.2,0,0,12,0.7,658,40.9,220,13.7,197,12.3,123,7.6,44,2.7,74,4.6
Birmingham 025A,E01009005,1375,100,805,58.5,761,55.3,659,47.9,160,11.6,499,36.3,14,1,3,0.2,11,0.8,88,6.4,48,3.5,40,2.9,44,3.2,28,2,23,1.7,21,1.5,14,1,7,0.5,0,0,0,0,0,0,2,0.1,2,0.1,0,0,5,0.4,542,39.4,256,18.6,76,5.5,91,6.6,63,4.6,56,4.1
Birmingham 025B,E01009009,1222,100,701,57.4,662,54.2,565,46.2,146,11.9,419,34.3,21,1.7,4,0.3,17,1.4,76,6.2,22,1.8,54,4.4,39,3.2,21,1.7,18,1.5,17,1.4,16,1.3,1,0.1,0,0,0,0,0,0,1,0.1,0,0,1,0.1,3,0.2,500,40.9,288,23.6,57,4.7,64,5.2,50,4.1,41,3.4
Birmingham 025C,E01009098,1665,100,922,55.4,853,51.2,727,43.7,189,11.4,538,32.3,17,1,4,0.2,13,0.8,109,6.5,45,2.7,64,3.8,69,4.1,37,2.2,27,1.6,24,1.4,14,0.8,10,0.6,0,0,0,0,0,0,3,0.2,3,0.2,0,0,10,0.6,706,42.4,300,18,84,5,85,5.1,157,9.4,80,4.8
Birmingham 025D,E01009100,1589,100,915,57.6,854,53.7,735,46.3,186,11.7,549,34.6,21,1.3,5,0.3,16,1,98,6.2,31,2,67,4.2,61,3.8,29,1.8,21,1.3,19,1.2,15,0.9,4,0.3,0,0,0,0,0,0,2,0.1,0,0,2,0.1,8,0.5,645,40.6,290,18.3,96,6,94,5.9,106,6.7,59,3.7
Birmingham 025E,E01009105,1399,100,856,61.2,810,57.9,708,50.6,166,11.9,542,38.7,14,1,5,0.4,9,0.6,88,6.3,24,1.7,64,4.6,46,3.3,25,1.8,21,1.5,17,1.2,11,0.8,6,0.4,0,0,0,0,0,0,4,0.3,2,0.1,2,0.1,4,0.3,518,37,280,20,69,4.9,71,5.1,63,4.5,35,2.5
Birmingham 026A,E01009126,1156,100,717,62,676,58.5,580,50.2,171,14.8,409,35.4,14,1.2,2,0.2,12,1,82,7.1,35,3,47,4.1,41,3.5,30,2.6,29,2.5,26,2.2,21,1.8,5,0.4,1,0.1,1,0.1,0,0,2,0.2,2,0.2,0,0,1,0.1,409,35.4,213,18.4,67,5.8,63,5.4,41,3.5,25,2.2
Birmingham 026B,E01009408,1360,100,767,56.4,671,49.3,575,42.3,172,12.6,403,29.6,18,1.3,5,0.4,13,1,78,5.7,36,2.6,42,3.1,96,7.1,36,2.6,29,2.1,29,2.1,20,1.5,9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,557,41,173,12.7,99,7.3,121,8.9,93,6.8,71,5.2
Birmingham 026C,E01009409,1517,100,845,55.7,759,50,671,44.2,146,9.6,525,34.6,13,0.9,1,0.1,12,0.8,75,4.9,28,1.8,47,3.1,86,5.7,40,2.6,31,2,28,1.8,14,0.9,14,0.9,0,0,0,0,0,0,3,0.2,2,0.1,1,0.1,9,0.6,632,41.7,198,13.1,96,6.3,82,5.4,121,8,135,8.9
Birmingham 026D,E01009410,1566,100,756,48.3,667,42.6,567,36.2,159,10.2,408,26.1,18,1.1,5,0.3,13,0.8,82,5.2,39,2.5,43,2.7,89,5.7,66,4.2,39,2.5,32,2,23,1.5,9,0.6,1,0.1,0,0,1,0.1,6,0.4,6,0.4,0,0,27,1.7,744,47.5,326,20.8,82,5.2,102,6.5,130,8.3,104,6.6
Birmingham 029A,E01009096,1346,100,735,54.6,661,49.1,604,44.9,160,11.9,444,33,5,0.4,1,0.1,4,0.3,52,3.9,17,1.3,35,2.6,74,5.5,17,1.3,16,1.2,15,1.1,11,0.8,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,1,0.1,594,44.1,239,17.8,74,5.5,98,7.3,127,9.4,56,4.2
Birmingham 029B,E01009097,1548,100,803,51.9,710,45.9,649,41.9,212,13.7,437,28.2,7,0.5,2,0.1,5,0.3,54,3.5,20,1.3,34,2.2,93,6,36,2.3,28,1.8,28,1.8,21,1.4,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,709,45.8,222,14.3,98,6.3,136,8.8,164,10.6,89,5.7
Birmingham 029C,E01009099,1308,100,710,54.3,614,46.9,561,42.9,173,13.2,388,29.7,6,0.5,0,0,6,0.5,47,3.6,15,1.1,32,2.4,96,7.3,20,1.5,12,0.9,11,0.8,7,0.5,4,0.3,0,0,0,0,0,0,1,0.1,0,0,1,0.1,8,0.6,578,44.2,166,12.7,84,6.4,110,8.4,159,12.2,59,4.5
