﻿Geography Name,Geography Code,Attribute Tier 1,Attribute Tier 2,Attribute Tier 3,Value,Value as a Percentage of Geography Total,geom,centroid
Bournville & Cotteridge,E05011129,Economically active and a full-time student,Unemployed,,140,0.9,"{""coordinates"": [[[[-1.927200547, 52.429489977], [-1.926238793, 52.426805815], [-1.926537657, 52.426604591], [-1.926003392, 52.424216558], [-1.926235233, 52.421873847], [-1.926624175, 52.420481569], [-1.927025886, 52.416766213], [-1.927531326, 52.41607161], [-1.928913485, 52.4151213], [-1.930856649, 52.414446409], [-1.932259693, 52.41418739], [-1.936838613, 52.413715195], [-1.945034073, 52.413254528], [-1.949133426, 52.412821269], [-1.954319664, 52.411890204], [-1.959576807, 52.410455455], [-1.959762983, 52.410994948], [-1.959069922, 52.411757031], [-1.959045709, 52.414095387], [-1.957158841, 52.414678999], [-1.956468537, 52.415492385], [-1.95472849, 52.416205522], [-1.954743085, 52.417706887], [-1.95552484, 52.419582509], [-1.957201896, 52.418815413], [-1.959541823, 52.418137408], [-1.960141064, 52.41895574], [-1.959049984, 52.420645465], [-1.960523568, 52.4219469], [-1.956212515, 52.424600111], [-1.946086091, 52.434355528], [-1.94550655, 52.435612068], [-1.944708267, 52.436409156], [-1.9419113, 52.438060165], [-1.94033138, 52.439180387], [-1.938538958, 52.440767196], [-1.937803017, 52.442103605], [-1.936708361, 52.4431746], [-1.933313006, 52.439175755], [-1.932234144, 52.437665791], [-1.92993423, 52.435357557], [-1.929251974, 52.434258616], [-1.927200547, 52.429489977]]]], ""type"": ""MultiPolygon""}","52.42453243, -1.941244774"
Bournville & Cotteridge,E05011129,Economically inactive,Looking after home or family,,656,4.2,"{""coordinates"": [[[[-1.927200547, 52.429489977], [-1.926238793, 52.426805815], [-1.926537657, 52.426604591], [-1.926003392, 52.424216558], [-1.926235233, 52.421873847], [-1.926624175, 52.420481569], [-1.927025886, 52.416766213], [-1.927531326, 52.41607161], [-1.928913485, 52.4151213], [-1.930856649, 52.414446409], [-1.932259693, 52.41418739], [-1.936838613, 52.413715195], [-1.945034073, 52.413254528], [-1.949133426, 52.412821269], [-1.954319664, 52.411890204], [-1.959576807, 52.410455455], [-1.959762983, 52.410994948], [-1.959069922, 52.411757031], [-1.959045709, 52.414095387], [-1.957158841, 52.414678999], [-1.956468537, 52.415492385], [-1.95472849, 52.416205522], [-1.954743085, 52.417706887], [-1.95552484, 52.419582509], [-1.957201896, 52.418815413], [-1.959541823, 52.418137408], [-1.960141064, 52.41895574], [-1.959049984, 52.420645465], [-1.960523568, 52.4219469], [-1.956212515, 52.424600111], [-1.946086091, 52.434355528], [-1.94550655, 52.435612068], [-1.944708267, 52.436409156], [-1.9419113, 52.438060165], [-1.94033138, 52.439180387], [-1.938538958, 52.440767196], [-1.937803017, 52.442103605], [-1.936708361, 52.4431746], [-1.933313006, 52.439175755], [-1.932234144, 52.437665791], [-1.92993423, 52.435357557], [-1.929251974, 52.434258616], [-1.927200547, 52.429489977]]]], ""type"": ""MultiPolygon""}","52.42453243, -1.941244774"
Bournville & Cotteridge,E05011129,Economically inactive,Retired,,3641,23.33,"{""coordinates"": [[[[-1.927200547, 52.429489977], [-1.926238793, 52.426805815], [-1.926537657, 52.426604591], [-1.926003392, 52.424216558], [-1.926235233, 52.421873847], [-1.926624175, 52.420481569], [-1.927025886, 52.416766213], [-1.927531326, 52.41607161], [-1.928913485, 52.4151213], [-1.930856649, 52.414446409], [-1.932259693, 52.41418739], [-1.936838613, 52.413715195], [-1.945034073, 52.413254528], [-1.949133426, 52.412821269], [-1.954319664, 52.411890204], [-1.959576807, 52.410455455], [-1.959762983, 52.410994948], [-1.959069922, 52.411757031], [-1.959045709, 52.414095387], [-1.957158841, 52.414678999], [-1.956468537, 52.415492385], [-1.95472849, 52.416205522], [-1.954743085, 52.417706887], [-1.95552484, 52.419582509], [-1.957201896, 52.418815413], [-1.959541823, 52.418137408], [-1.960141064, 52.41895574], [-1.959049984, 52.420645465], [-1.960523568, 52.4219469], [-1.956212515, 52.424600111], [-1.946086091, 52.434355528], [-1.94550655, 52.435612068], [-1.944708267, 52.436409156], [-1.9419113, 52.438060165], [-1.94033138, 52.439180387], [-1.938538958, 52.440767196], [-1.937803017, 52.442103605], [-1.936708361, 52.4431746], [-1.933313006, 52.439175755], [-1.932234144, 52.437665791], [-1.92993423, 52.435357557], [-1.929251974, 52.434258616], [-1.927200547, 52.429489977]]]], ""type"": ""MultiPolygon""}","52.42453243, -1.941244774"
Brandwood & King's Heath,E05011130,Economically active (excluding full-time students),In employment,Employee,6978,46.58,"{""coordinates"": [[[[-1.876740944, 52.4312498], [-1.88013106, 52.429602729], [-1.882201478, 52.429200278], [-1.887084025, 52.427554482], [-1.888462987, 52.42662891], [-1.891114548, 52.42782608], [-1.892693256, 52.428104422], [-1.892097158, 52.421678737], [-1.89162198, 52.420552712], [-1.891302187, 52.418464088], [-1.890301025, 52.4166139], [-1.888072065, 52.41544578], [-1.889702229, 52.415565044], [-1.89304638, 52.414634937], [-1.897342018, 52.414203651], [-1.898065558, 52.414741008], [-1.903693568, 52.414107422], [-1.904872456, 52.414209932], [-1.905962016, 52.413452976], [-1.907036193, 52.413712663], [-1.908498155, 52.415563066], [-1.91002461, 52.416100067], [-1.912172028, 52.416453178], [-1.913199947, 52.41637125], [-1.914128213, 52.415350677], [-1.916214413, 52.41538093], [-1.917725704, 52.416232383], [-1.917014381, 52.417640675], [-1.915539779, 52.418385776], [-1.915793707, 52.419370355], [-1.916942525, 52.420730521], [-1.91446477, 52.422242701], [-1.911880187, 52.424223985], [-1.910241381, 52.425970371], [-1.909249955, 52.427541075], [-1.90806864, 52.429835384], [-1.906238231, 52.432271171], [-1.904140043, 52.434053055], [-1.902510877, 52.435082049], [-1.900380192, 52.436141967], [-1.895221362, 52.438055084], [-1.892498403, 52.439341806], [-1.890024786, 52.440823816], [-1.88807116, 52.439941397], [-1.887416107, 52.439258], [-1.887974372, 52.437783238], [-1.88891976, 52.436827593], [-1.887880157, 52.434947696], [-1.885392128, 52.433505167], [-1.883845135, 52.432221599], [-1.881415148, 52.43176254], [-1.878889634, 52.431841772], [-1.876740944, 52.4312498]]]], ""type"": ""MultiPolygon""}","52.42570348, -1.899080246"
Brandwood & King's Heath,E05011130,Economically active (excluding full-time students),Unemployed,,568,3.79,"{""coordinates"": [[[[-1.876740944, 52.4312498], [-1.88013106, 52.429602729], [-1.882201478, 52.429200278], [-1.887084025, 52.427554482], [-1.888462987, 52.42662891], [-1.891114548, 52.42782608], [-1.892693256, 52.428104422], [-1.892097158, 52.421678737], [-1.89162198, 52.420552712], [-1.891302187, 52.418464088], [-1.890301025, 52.4166139], [-1.888072065, 52.41544578], [-1.889702229, 52.415565044], [-1.89304638, 52.414634937], [-1.897342018, 52.414203651], [-1.898065558, 52.414741008], [-1.903693568, 52.414107422], [-1.904872456, 52.414209932], [-1.905962016, 52.413452976], [-1.907036193, 52.413712663], [-1.908498155, 52.415563066], [-1.91002461, 52.416100067], [-1.912172028, 52.416453178], [-1.913199947, 52.41637125], [-1.914128213, 52.415350677], [-1.916214413, 52.41538093], [-1.917725704, 52.416232383], [-1.917014381, 52.417640675], [-1.915539779, 52.418385776], [-1.915793707, 52.419370355], [-1.916942525, 52.420730521], [-1.91446477, 52.422242701], [-1.911880187, 52.424223985], [-1.910241381, 52.425970371], [-1.909249955, 52.427541075], [-1.90806864, 52.429835384], [-1.906238231, 52.432271171], [-1.904140043, 52.434053055], [-1.902510877, 52.435082049], [-1.900380192, 52.436141967], [-1.895221362, 52.438055084], [-1.892498403, 52.439341806], [-1.890024786, 52.440823816], [-1.88807116, 52.439941397], [-1.887416107, 52.439258], [-1.887974372, 52.437783238], [-1.88891976, 52.436827593], [-1.887880157, 52.434947696], [-1.885392128, 52.433505167], [-1.883845135, 52.432221599], [-1.881415148, 52.43176254], [-1.878889634, 52.431841772], [-1.876740944, 52.4312498]]]], ""type"": ""MultiPolygon""}","52.42570348, -1.899080246"
Brandwood & King's Heath,E05011130,Economically active and a full-time student,In employment,Self-employed with employees,1,0.01,"{""coordinates"": [[[[-1.876740944, 52.4312498], [-1.88013106, 52.429602729], [-1.882201478, 52.429200278], [-1.887084025, 52.427554482], [-1.888462987, 52.42662891], [-1.891114548, 52.42782608], [-1.892693256, 52.428104422], [-1.892097158, 52.421678737], [-1.89162198, 52.420552712], [-1.891302187, 52.418464088], [-1.890301025, 52.4166139], [-1.888072065, 52.41544578], [-1.889702229, 52.415565044], [-1.89304638, 52.414634937], [-1.897342018, 52.414203651], [-1.898065558, 52.414741008], [-1.903693568, 52.414107422], [-1.904872456, 52.414209932], [-1.905962016, 52.413452976], [-1.907036193, 52.413712663], [-1.908498155, 52.415563066], [-1.91002461, 52.416100067], [-1.912172028, 52.416453178], [-1.913199947, 52.41637125], [-1.914128213, 52.415350677], [-1.916214413, 52.41538093], [-1.917725704, 52.416232383], [-1.917014381, 52.417640675], [-1.915539779, 52.418385776], [-1.915793707, 52.419370355], [-1.916942525, 52.420730521], [-1.91446477, 52.422242701], [-1.911880187, 52.424223985], [-1.910241381, 52.425970371], [-1.909249955, 52.427541075], [-1.90806864, 52.429835384], [-1.906238231, 52.432271171], [-1.904140043, 52.434053055], [-1.902510877, 52.435082049], [-1.900380192, 52.436141967], [-1.895221362, 52.438055084], [-1.892498403, 52.439341806], [-1.890024786, 52.440823816], [-1.88807116, 52.439941397], [-1.887416107, 52.439258], [-1.887974372, 52.437783238], [-1.88891976, 52.436827593], [-1.887880157, 52.434947696], [-1.885392128, 52.433505167], [-1.883845135, 52.432221599], [-1.881415148, 52.43176254], [-1.878889634, 52.431841772], [-1.876740944, 52.4312498]]]], ""type"": ""MultiPolygon""}","52.42570348, -1.899080246"
Brandwood & King's Heath,E05011130,Economically active and a full-time student,Unemployed,,80,0.53,"{""coordinates"": [[[[-1.876740944, 52.4312498], [-1.88013106, 52.429602729], [-1.882201478, 52.429200278], [-1.887084025, 52.427554482], [-1.888462987, 52.42662891], [-1.891114548, 52.42782608], [-1.892693256, 52.428104422], [-1.892097158, 52.421678737], [-1.89162198, 52.420552712], [-1.891302187, 52.418464088], [-1.890301025, 52.4166139], [-1.888072065, 52.41544578], [-1.889702229, 52.415565044], [-1.89304638, 52.414634937], [-1.897342018, 52.414203651], [-1.898065558, 52.414741008], [-1.903693568, 52.414107422], [-1.904872456, 52.414209932], [-1.905962016, 52.413452976], [-1.907036193, 52.413712663], [-1.908498155, 52.415563066], [-1.91002461, 52.416100067], [-1.912172028, 52.416453178], [-1.913199947, 52.41637125], [-1.914128213, 52.415350677], [-1.916214413, 52.41538093], [-1.917725704, 52.416232383], [-1.917014381, 52.417640675], [-1.915539779, 52.418385776], [-1.915793707, 52.419370355], [-1.916942525, 52.420730521], [-1.91446477, 52.422242701], [-1.911880187, 52.424223985], [-1.910241381, 52.425970371], [-1.909249955, 52.427541075], [-1.90806864, 52.429835384], [-1.906238231, 52.432271171], [-1.904140043, 52.434053055], [-1.902510877, 52.435082049], [-1.900380192, 52.436141967], [-1.895221362, 52.438055084], [-1.892498403, 52.439341806], [-1.890024786, 52.440823816], [-1.88807116, 52.439941397], [-1.887416107, 52.439258], [-1.887974372, 52.437783238], [-1.88891976, 52.436827593], [-1.887880157, 52.434947696], [-1.885392128, 52.433505167], [-1.883845135, 52.432221599], [-1.881415148, 52.43176254], [-1.878889634, 52.431841772], [-1.876740944, 52.4312498]]]], ""type"": ""MultiPolygon""}","52.42570348, -1.899080246"
Brandwood & King's Heath,E05011130,Economically inactive,Other,,544,3.63,"{""coordinates"": [[[[-1.876740944, 52.4312498], [-1.88013106, 52.429602729], [-1.882201478, 52.429200278], [-1.887084025, 52.427554482], [-1.888462987, 52.42662891], [-1.891114548, 52.42782608], [-1.892693256, 52.428104422], [-1.892097158, 52.421678737], [-1.89162198, 52.420552712], [-1.891302187, 52.418464088], [-1.890301025, 52.4166139], [-1.888072065, 52.41544578], [-1.889702229, 52.415565044], [-1.89304638, 52.414634937], [-1.897342018, 52.414203651], [-1.898065558, 52.414741008], [-1.903693568, 52.414107422], [-1.904872456, 52.414209932], [-1.905962016, 52.413452976], [-1.907036193, 52.413712663], [-1.908498155, 52.415563066], [-1.91002461, 52.416100067], [-1.912172028, 52.416453178], [-1.913199947, 52.41637125], [-1.914128213, 52.415350677], [-1.916214413, 52.41538093], [-1.917725704, 52.416232383], [-1.917014381, 52.417640675], [-1.915539779, 52.418385776], [-1.915793707, 52.419370355], [-1.916942525, 52.420730521], [-1.91446477, 52.422242701], [-1.911880187, 52.424223985], [-1.910241381, 52.425970371], [-1.909249955, 52.427541075], [-1.90806864, 52.429835384], [-1.906238231, 52.432271171], [-1.904140043, 52.434053055], [-1.902510877, 52.435082049], [-1.900380192, 52.436141967], [-1.895221362, 52.438055084], [-1.892498403, 52.439341806], [-1.890024786, 52.440823816], [-1.88807116, 52.439941397], [-1.887416107, 52.439258], [-1.887974372, 52.437783238], [-1.88891976, 52.436827593], [-1.887880157, 52.434947696], [-1.885392128, 52.433505167], [-1.883845135, 52.432221599], [-1.881415148, 52.43176254], [-1.878889634, 52.431841772], [-1.876740944, 52.4312498]]]], ""type"": ""MultiPolygon""}","52.42570348, -1.899080246"
Bromford & Hodge Hill,E05011131,Economically active and a full-time student,In employment,Employee,342,2.09,"{""coordinates"": [[[[-1.79659794, 52.50923894], [-1.79165949, 52.509155764], [-1.794198638, 52.508725933], [-1.794032283, 52.507747549], [-1.794314748, 52.506568629], [-1.798372993, 52.505765572], [-1.799131083, 52.50526249], [-1.799454516, 52.50412317], [-1.799111455, 52.503410521], [-1.797834414, 52.502736813], [-1.795684518, 52.502838367], [-1.795135892, 52.502649494], [-1.793303288, 52.502978035], [-1.791503177, 52.502953312], [-1.78784497, 52.502384928], [-1.788454, 52.501647076], [-1.78688451, 52.499025523], [-1.791614481, 52.499034836], [-1.79198001, 52.496184773], [-1.791571455, 52.495364137], [-1.790102859, 52.494440068], [-1.79175504, 52.493596103], [-1.793190922, 52.493623783], [-1.795223203, 52.495272542], [-1.796690823, 52.495145561], [-1.797224669, 52.494356306], [-1.798419464, 52.493970808], [-1.798685552, 52.492796341], [-1.799855337, 52.491754529], [-1.803534132, 52.490807753], [-1.804473333, 52.490905561], [-1.805686962, 52.49056415], [-1.807486772, 52.490543631], [-1.808336901, 52.490125209], [-1.811297588, 52.490692751], [-1.812979206, 52.489736193], [-1.813541573, 52.4890952], [-1.815517768, 52.489477651], [-1.815614719, 52.489901198], [-1.816959217, 52.490974938], [-1.817641593, 52.491932516], [-1.818281759, 52.493504943], [-1.820203868, 52.496014274], [-1.821615277, 52.49668255], [-1.824718739, 52.497416236], [-1.828452912, 52.499297903], [-1.829072218, 52.499891245], [-1.829284558, 52.501735398], [-1.830521004, 52.503545969], [-1.830691257, 52.504474877], [-1.831375967, 52.504954069], [-1.823122375, 52.506517972], [-1.82038987, 52.50677189], [-1.809559037, 52.508601523], [-1.804450033, 52.509130827], [-1.800421105, 52.509290376], [-1.79659794, 52.50923894]]]], ""type"": ""MultiPolygon""}","52.500124996, -1.808999755"
Bromford & Hodge Hill,E05011131,Economically active and a full-time student,Unemployed,,166,1.02,"{""coordinates"": [[[[-1.79659794, 52.50923894], [-1.79165949, 52.509155764], [-1.794198638, 52.508725933], [-1.794032283, 52.507747549], [-1.794314748, 52.506568629], [-1.798372993, 52.505765572], [-1.799131083, 52.50526249], [-1.799454516, 52.50412317], [-1.799111455, 52.503410521], [-1.797834414, 52.502736813], [-1.795684518, 52.502838367], [-1.795135892, 52.502649494], [-1.793303288, 52.502978035], [-1.791503177, 52.502953312], [-1.78784497, 52.502384928], [-1.788454, 52.501647076], [-1.78688451, 52.499025523], [-1.791614481, 52.499034836], [-1.79198001, 52.496184773], [-1.791571455, 52.495364137], [-1.790102859, 52.494440068], [-1.79175504, 52.493596103], [-1.793190922, 52.493623783], [-1.795223203, 52.495272542], [-1.796690823, 52.495145561], [-1.797224669, 52.494356306], [-1.798419464, 52.493970808], [-1.798685552, 52.492796341], [-1.799855337, 52.491754529], [-1.803534132, 52.490807753], [-1.804473333, 52.490905561], [-1.805686962, 52.49056415], [-1.807486772, 52.490543631], [-1.808336901, 52.490125209], [-1.811297588, 52.490692751], [-1.812979206, 52.489736193], [-1.813541573, 52.4890952], [-1.815517768, 52.489477651], [-1.815614719, 52.489901198], [-1.816959217, 52.490974938], [-1.817641593, 52.491932516], [-1.818281759, 52.493504943], [-1.820203868, 52.496014274], [-1.821615277, 52.49668255], [-1.824718739, 52.497416236], [-1.828452912, 52.499297903], [-1.829072218, 52.499891245], [-1.829284558, 52.501735398], [-1.830521004, 52.503545969], [-1.830691257, 52.504474877], [-1.831375967, 52.504954069], [-1.823122375, 52.506517972], [-1.82038987, 52.50677189], [-1.809559037, 52.508601523], [-1.804450033, 52.509130827], [-1.800421105, 52.509290376], [-1.79659794, 52.50923894]]]], ""type"": ""MultiPolygon""}","52.500124996, -1.808999755"
Bromford & Hodge Hill,E05011131,Economically inactive,Looking after home or family,,1808,11.07,"{""coordinates"": [[[[-1.79659794, 52.50923894], [-1.79165949, 52.509155764], [-1.794198638, 52.508725933], [-1.794032283, 52.507747549], [-1.794314748, 52.506568629], [-1.798372993, 52.505765572], [-1.799131083, 52.50526249], [-1.799454516, 52.50412317], [-1.799111455, 52.503410521], [-1.797834414, 52.502736813], [-1.795684518, 52.502838367], [-1.795135892, 52.502649494], [-1.793303288, 52.502978035], [-1.791503177, 52.502953312], [-1.78784497, 52.502384928], [-1.788454, 52.501647076], [-1.78688451, 52.499025523], [-1.791614481, 52.499034836], [-1.79198001, 52.496184773], [-1.791571455, 52.495364137], [-1.790102859, 52.494440068], [-1.79175504, 52.493596103], [-1.793190922, 52.493623783], [-1.795223203, 52.495272542], [-1.796690823, 52.495145561], [-1.797224669, 52.494356306], [-1.798419464, 52.493970808], [-1.798685552, 52.492796341], [-1.799855337, 52.491754529], [-1.803534132, 52.490807753], [-1.804473333, 52.490905561], [-1.805686962, 52.49056415], [-1.807486772, 52.490543631], [-1.808336901, 52.490125209], [-1.811297588, 52.490692751], [-1.812979206, 52.489736193], [-1.813541573, 52.4890952], [-1.815517768, 52.489477651], [-1.815614719, 52.489901198], [-1.816959217, 52.490974938], [-1.817641593, 52.491932516], [-1.818281759, 52.493504943], [-1.820203868, 52.496014274], [-1.821615277, 52.49668255], [-1.824718739, 52.497416236], [-1.828452912, 52.499297903], [-1.829072218, 52.499891245], [-1.829284558, 52.501735398], [-1.830521004, 52.503545969], [-1.830691257, 52.504474877], [-1.831375967, 52.504954069], [-1.823122375, 52.506517972], [-1.82038987, 52.50677189], [-1.809559037, 52.508601523], [-1.804450033, 52.509130827], [-1.800421105, 52.509290376], [-1.79659794, 52.50923894]]]], ""type"": ""MultiPolygon""}","52.500124996, -1.808999755"
Bromford & Hodge Hill,E05011131,Economically inactive,Other,,846,5.18,"{""coordinates"": [[[[-1.79659794, 52.50923894], [-1.79165949, 52.509155764], [-1.794198638, 52.508725933], [-1.794032283, 52.507747549], [-1.794314748, 52.506568629], [-1.798372993, 52.505765572], [-1.799131083, 52.50526249], [-1.799454516, 52.50412317], [-1.799111455, 52.503410521], [-1.797834414, 52.502736813], [-1.795684518, 52.502838367], [-1.795135892, 52.502649494], [-1.793303288, 52.502978035], [-1.791503177, 52.502953312], [-1.78784497, 52.502384928], [-1.788454, 52.501647076], [-1.78688451, 52.499025523], [-1.791614481, 52.499034836], [-1.79198001, 52.496184773], [-1.791571455, 52.495364137], [-1.790102859, 52.494440068], [-1.79175504, 52.493596103], [-1.793190922, 52.493623783], [-1.795223203, 52.495272542], [-1.796690823, 52.495145561], [-1.797224669, 52.494356306], [-1.798419464, 52.493970808], [-1.798685552, 52.492796341], [-1.799855337, 52.491754529], [-1.803534132, 52.490807753], [-1.804473333, 52.490905561], [-1.805686962, 52.49056415], [-1.807486772, 52.490543631], [-1.808336901, 52.490125209], [-1.811297588, 52.490692751], [-1.812979206, 52.489736193], [-1.813541573, 52.4890952], [-1.815517768, 52.489477651], [-1.815614719, 52.489901198], [-1.816959217, 52.490974938], [-1.817641593, 52.491932516], [-1.818281759, 52.493504943], [-1.820203868, 52.496014274], [-1.821615277, 52.49668255], [-1.824718739, 52.497416236], [-1.828452912, 52.499297903], [-1.829072218, 52.499891245], [-1.829284558, 52.501735398], [-1.830521004, 52.503545969], [-1.830691257, 52.504474877], [-1.831375967, 52.504954069], [-1.823122375, 52.506517972], [-1.82038987, 52.50677189], [-1.809559037, 52.508601523], [-1.804450033, 52.509130827], [-1.800421105, 52.509290376], [-1.79659794, 52.50923894]]]], ""type"": ""MultiPolygon""}","52.500124996, -1.808999755"
Castle Vale,E05011132,Economically active (excluding full-time students),In employment,Self-employed without employees,295,3.82,"{""coordinates"": [[[[-1.79165949, 52.509155764], [-1.79659794, 52.50923894], [-1.797689673, 52.512131949], [-1.798300961, 52.514746423], [-1.799313802, 52.516900252], [-1.800646228, 52.519125789], [-1.797783832, 52.520505349], [-1.794352123, 52.522889896], [-1.789476393, 52.525410191], [-1.789671346, 52.525634321], [-1.786476287, 52.527087702], [-1.783860295, 52.527912759], [-1.774215287, 52.52254938], [-1.772977786, 52.521596784], [-1.772256163, 52.520620812], [-1.771943435, 52.518966989], [-1.772761569, 52.517219174], [-1.773938278, 52.516210888], [-1.775715159, 52.515389045], [-1.777621647, 52.514872991], [-1.784108349, 52.513665942], [-1.783487726, 52.513424757], [-1.784427771, 52.511326487], [-1.784915786, 52.510977675], [-1.788180355, 52.509868764], [-1.791058542, 52.509433405], [-1.79165949, 52.509155764]]]], ""type"": ""MultiPolygon""}","52.518303762, -1.786717387"
Castle Vale,E05011132,Economically active and a full-time student,Unemployed,,33,0.43,"{""coordinates"": [[[[-1.79165949, 52.509155764], [-1.79659794, 52.50923894], [-1.797689673, 52.512131949], [-1.798300961, 52.514746423], [-1.799313802, 52.516900252], [-1.800646228, 52.519125789], [-1.797783832, 52.520505349], [-1.794352123, 52.522889896], [-1.789476393, 52.525410191], [-1.789671346, 52.525634321], [-1.786476287, 52.527087702], [-1.783860295, 52.527912759], [-1.774215287, 52.52254938], [-1.772977786, 52.521596784], [-1.772256163, 52.520620812], [-1.771943435, 52.518966989], [-1.772761569, 52.517219174], [-1.773938278, 52.516210888], [-1.775715159, 52.515389045], [-1.777621647, 52.514872991], [-1.784108349, 52.513665942], [-1.783487726, 52.513424757], [-1.784427771, 52.511326487], [-1.784915786, 52.510977675], [-1.788180355, 52.509868764], [-1.791058542, 52.509433405], [-1.79165949, 52.509155764]]]], ""type"": ""MultiPolygon""}","52.518303762, -1.786717387"
Castle Vale,E05011132,Economically inactive,Retired,,1404,18.16,"{""coordinates"": [[[[-1.79165949, 52.509155764], [-1.79659794, 52.50923894], [-1.797689673, 52.512131949], [-1.798300961, 52.514746423], [-1.799313802, 52.516900252], [-1.800646228, 52.519125789], [-1.797783832, 52.520505349], [-1.794352123, 52.522889896], [-1.789476393, 52.525410191], [-1.789671346, 52.525634321], [-1.786476287, 52.527087702], [-1.783860295, 52.527912759], [-1.774215287, 52.52254938], [-1.772977786, 52.521596784], [-1.772256163, 52.520620812], [-1.771943435, 52.518966989], [-1.772761569, 52.517219174], [-1.773938278, 52.516210888], [-1.775715159, 52.515389045], [-1.777621647, 52.514872991], [-1.784108349, 52.513665942], [-1.783487726, 52.513424757], [-1.784427771, 52.511326487], [-1.784915786, 52.510977675], [-1.788180355, 52.509868764], [-1.791058542, 52.509433405], [-1.79165949, 52.509155764]]]], ""type"": ""MultiPolygon""}","52.518303762, -1.786717387"
Druids Heath & Monyhull,E05011133,Economically active (excluding full-time students),In employment,Employee,3971,44,"{""coordinates"": [[[[-1.888072065, 52.41544578], [-1.885528579, 52.414260237], [-1.884543703, 52.413639864], [-1.884438215, 52.412952937], [-1.884996931, 52.411774861], [-1.887434251, 52.409550369], [-1.888129674, 52.407751281], [-1.888054215, 52.406819835], [-1.886695435, 52.404687876], [-1.887121839, 52.404671207], [-1.889809387, 52.404401325], [-1.892196478, 52.40442509], [-1.893389048, 52.404213075], [-1.89523846, 52.403491949], [-1.896642497, 52.403319633], [-1.898991862, 52.403760428], [-1.900696774, 52.403821186], [-1.902733616, 52.403337369], [-1.904869554, 52.40318991], [-1.90621151, 52.403926336], [-1.909438436, 52.404371211], [-1.910818436, 52.406676382], [-1.913681851, 52.407449898], [-1.916601136, 52.408342828], [-1.916751815, 52.409494591], [-1.918969264, 52.411573765], [-1.919386752, 52.413225502], [-1.916812489, 52.413980651], [-1.915056501, 52.414296754], [-1.914128213, 52.415350677], [-1.913199947, 52.41637125], [-1.912172028, 52.416453178], [-1.91002461, 52.416100067], [-1.908498155, 52.415563066], [-1.907036193, 52.413712663], [-1.905962016, 52.413452976], [-1.904872456, 52.414209932], [-1.903693568, 52.414107422], [-1.898065558, 52.414741008], [-1.897342018, 52.414203651], [-1.89304638, 52.414634937], [-1.889702229, 52.415565044], [-1.888072065, 52.41544578]]]], ""type"": ""MultiPolygon""}","52.409848861, -1.901298847"
Druids Heath & Monyhull,E05011133,Economically active (excluding full-time students),In employment,Self-employed with employees,90,1,"{""coordinates"": [[[[-1.888072065, 52.41544578], [-1.885528579, 52.414260237], [-1.884543703, 52.413639864], [-1.884438215, 52.412952937], [-1.884996931, 52.411774861], [-1.887434251, 52.409550369], [-1.888129674, 52.407751281], [-1.888054215, 52.406819835], [-1.886695435, 52.404687876], [-1.887121839, 52.404671207], [-1.889809387, 52.404401325], [-1.892196478, 52.40442509], [-1.893389048, 52.404213075], [-1.89523846, 52.403491949], [-1.896642497, 52.403319633], [-1.898991862, 52.403760428], [-1.900696774, 52.403821186], [-1.902733616, 52.403337369], [-1.904869554, 52.40318991], [-1.90621151, 52.403926336], [-1.909438436, 52.404371211], [-1.910818436, 52.406676382], [-1.913681851, 52.407449898], [-1.916601136, 52.408342828], [-1.916751815, 52.409494591], [-1.918969264, 52.411573765], [-1.919386752, 52.413225502], [-1.916812489, 52.413980651], [-1.915056501, 52.414296754], [-1.914128213, 52.415350677], [-1.913199947, 52.41637125], [-1.912172028, 52.416453178], [-1.91002461, 52.416100067], [-1.908498155, 52.415563066], [-1.907036193, 52.413712663], [-1.905962016, 52.413452976], [-1.904872456, 52.414209932], [-1.903693568, 52.414107422], [-1.898065558, 52.414741008], [-1.897342018, 52.414203651], [-1.89304638, 52.414634937], [-1.889702229, 52.415565044], [-1.888072065, 52.41544578]]]], ""type"": ""MultiPolygon""}","52.409848861, -1.901298847"
