﻿Geography Name,Geography Code,Attribute Tier 1,Attribute Tier 2,Attribute Tier 3,Value,Value as a Percentage of Geography Total,geom,centroid
Alum Rock,E05011120,Economically active and a full-time student,In employment,Self-employed without employees,39,0.2,"{""coordinates"": [[[[-1.831908795, 52.489595503], [-1.831746506, 52.488113793], [-1.830641623, 52.486670193], [-1.830861462, 52.485035252], [-1.848940875, 52.483585294], [-1.866905683, 52.482141432], [-1.866934113, 52.484916679], [-1.865530826, 52.488299833], [-1.864983302, 52.491565224], [-1.86389424, 52.493670349], [-1.862771003, 52.494936633], [-1.860839091, 52.49663533], [-1.857371907, 52.498851718], [-1.854061942, 52.497971152], [-1.852412699, 52.497372169], [-1.848208858, 52.495218251], [-1.845345466, 52.493937085], [-1.831908795, 52.489595503]]]], ""type"": ""MultiPolygon""}","52.48925735, -1.851278773"
Alum Rock,E05011120,Economically inactive,Looking after home or family,,3669,18.51,"{""coordinates"": [[[[-1.831908795, 52.489595503], [-1.831746506, 52.488113793], [-1.830641623, 52.486670193], [-1.830861462, 52.485035252], [-1.848940875, 52.483585294], [-1.866905683, 52.482141432], [-1.866934113, 52.484916679], [-1.865530826, 52.488299833], [-1.864983302, 52.491565224], [-1.86389424, 52.493670349], [-1.862771003, 52.494936633], [-1.860839091, 52.49663533], [-1.857371907, 52.498851718], [-1.854061942, 52.497971152], [-1.852412699, 52.497372169], [-1.848208858, 52.495218251], [-1.845345466, 52.493937085], [-1.831908795, 52.489595503]]]], ""type"": ""MultiPolygon""}","52.48925735, -1.851278773"
Alum Rock,E05011120,Economically inactive,Other,,1828,9.22,"{""coordinates"": [[[[-1.831908795, 52.489595503], [-1.831746506, 52.488113793], [-1.830641623, 52.486670193], [-1.830861462, 52.485035252], [-1.848940875, 52.483585294], [-1.866905683, 52.482141432], [-1.866934113, 52.484916679], [-1.865530826, 52.488299833], [-1.864983302, 52.491565224], [-1.86389424, 52.493670349], [-1.862771003, 52.494936633], [-1.860839091, 52.49663533], [-1.857371907, 52.498851718], [-1.854061942, 52.497971152], [-1.852412699, 52.497372169], [-1.848208858, 52.495218251], [-1.845345466, 52.493937085], [-1.831908795, 52.489595503]]]], ""type"": ""MultiPolygon""}","52.48925735, -1.851278773"
Aston,E05011121,Economically inactive,Looking after home or family,,2679,15.03,"{""coordinates"": [[[[-1.865643211, 52.511870663], [-1.864282731, 52.510581766], [-1.862367822, 52.509430617], [-1.865313192, 52.509897926], [-1.867842212, 52.50970296], [-1.872544304, 52.508534898], [-1.87772665, 52.506728954], [-1.879631567, 52.505678124], [-1.884101112, 52.501887037], [-1.885520338, 52.499938518], [-1.886104525, 52.498484476], [-1.891130248, 52.499159922], [-1.892929488, 52.499501372], [-1.894923783, 52.499601117], [-1.896160174, 52.500023803], [-1.896776758, 52.500929638], [-1.900639987, 52.503905053], [-1.901683714, 52.504904687], [-1.902527994, 52.506197226], [-1.903470209, 52.508501183], [-1.903379327, 52.509674317], [-1.902428255, 52.511976725], [-1.901363581, 52.516303607], [-1.896420885, 52.515745596], [-1.891825477, 52.514823618], [-1.888834725, 52.513994738], [-1.885036577, 52.512632682], [-1.881119948, 52.514301904], [-1.880558304, 52.514919849], [-1.879865542, 52.516610116], [-1.879415125, 52.519104363], [-1.877522623, 52.520812353], [-1.874693452, 52.519602939], [-1.872858424, 52.518667832], [-1.869958064, 52.516678756], [-1.868300366, 52.515146024], [-1.865643211, 52.511870663]]]], ""type"": ""MultiPolygon""}","52.509457422, -1.886173108"
Aston,E05011121,Economically inactive,Student,,2035,11.42,"{""coordinates"": [[[[-1.865643211, 52.511870663], [-1.864282731, 52.510581766], [-1.862367822, 52.509430617], [-1.865313192, 52.509897926], [-1.867842212, 52.50970296], [-1.872544304, 52.508534898], [-1.87772665, 52.506728954], [-1.879631567, 52.505678124], [-1.884101112, 52.501887037], [-1.885520338, 52.499938518], [-1.886104525, 52.498484476], [-1.891130248, 52.499159922], [-1.892929488, 52.499501372], [-1.894923783, 52.499601117], [-1.896160174, 52.500023803], [-1.896776758, 52.500929638], [-1.900639987, 52.503905053], [-1.901683714, 52.504904687], [-1.902527994, 52.506197226], [-1.903470209, 52.508501183], [-1.903379327, 52.509674317], [-1.902428255, 52.511976725], [-1.901363581, 52.516303607], [-1.896420885, 52.515745596], [-1.891825477, 52.514823618], [-1.888834725, 52.513994738], [-1.885036577, 52.512632682], [-1.881119948, 52.514301904], [-1.880558304, 52.514919849], [-1.879865542, 52.516610116], [-1.879415125, 52.519104363], [-1.877522623, 52.520812353], [-1.874693452, 52.519602939], [-1.872858424, 52.518667832], [-1.869958064, 52.516678756], [-1.868300366, 52.515146024], [-1.865643211, 52.511870663]]]], ""type"": ""MultiPolygon""}","52.509457422, -1.886173108"
Balsall Heath West,E05011122,Economically active (excluding full-time students),In employment,Employee,2803,30.32,"{""coordinates"": [[[[-1.886633999, 52.463189532], [-1.882646596, 52.462154527], [-1.883409649, 52.459671337], [-1.883463262, 52.457191939], [-1.883159532, 52.4540748], [-1.886692601, 52.454665288], [-1.887003685, 52.453861839], [-1.889096881, 52.454191048], [-1.891361563, 52.454218309], [-1.892979519, 52.453308275], [-1.894775965, 52.453433011], [-1.896262948, 52.453076531], [-1.897411556, 52.454016986], [-1.89852312, 52.45441258], [-1.901403372, 52.454911296], [-1.900794287, 52.456155906], [-1.900850977, 52.457118776], [-1.904598214, 52.458268914], [-1.902154414, 52.461280406], [-1.903823818, 52.461784347], [-1.904218138, 52.46254608], [-1.902379621, 52.464644669], [-1.90121372, 52.467310988], [-1.895538465, 52.4657895], [-1.889743514, 52.464001601], [-1.886633999, 52.463189532]]]], ""type"": ""MultiPolygon""}","52.459668836, -1.89368196"
Balsall Heath West,E05011122,Economically active (excluding full-time students),In employment,Self-employed with employees,108,1.17,"{""coordinates"": [[[[-1.886633999, 52.463189532], [-1.882646596, 52.462154527], [-1.883409649, 52.459671337], [-1.883463262, 52.457191939], [-1.883159532, 52.4540748], [-1.886692601, 52.454665288], [-1.887003685, 52.453861839], [-1.889096881, 52.454191048], [-1.891361563, 52.454218309], [-1.892979519, 52.453308275], [-1.894775965, 52.453433011], [-1.896262948, 52.453076531], [-1.897411556, 52.454016986], [-1.89852312, 52.45441258], [-1.901403372, 52.454911296], [-1.900794287, 52.456155906], [-1.900850977, 52.457118776], [-1.904598214, 52.458268914], [-1.902154414, 52.461280406], [-1.903823818, 52.461784347], [-1.904218138, 52.46254608], [-1.902379621, 52.464644669], [-1.90121372, 52.467310988], [-1.895538465, 52.4657895], [-1.889743514, 52.464001601], [-1.886633999, 52.463189532]]]], ""type"": ""MultiPolygon""}","52.459668836, -1.89368196"
Balsall Heath West,E05011122,Economically active and a full-time student,In employment,Self-employed with employees,4,0.04,"{""coordinates"": [[[[-1.886633999, 52.463189532], [-1.882646596, 52.462154527], [-1.883409649, 52.459671337], [-1.883463262, 52.457191939], [-1.883159532, 52.4540748], [-1.886692601, 52.454665288], [-1.887003685, 52.453861839], [-1.889096881, 52.454191048], [-1.891361563, 52.454218309], [-1.892979519, 52.453308275], [-1.894775965, 52.453433011], [-1.896262948, 52.453076531], [-1.897411556, 52.454016986], [-1.89852312, 52.45441258], [-1.901403372, 52.454911296], [-1.900794287, 52.456155906], [-1.900850977, 52.457118776], [-1.904598214, 52.458268914], [-1.902154414, 52.461280406], [-1.903823818, 52.461784347], [-1.904218138, 52.46254608], [-1.902379621, 52.464644669], [-1.90121372, 52.467310988], [-1.895538465, 52.4657895], [-1.889743514, 52.464001601], [-1.886633999, 52.463189532]]]], ""type"": ""MultiPolygon""}","52.459668836, -1.89368196"
Balsall Heath West,E05011122,Economically active and a full-time student,In employment,Self-employed without employees,20,0.22,"{""coordinates"": [[[[-1.886633999, 52.463189532], [-1.882646596, 52.462154527], [-1.883409649, 52.459671337], [-1.883463262, 52.457191939], [-1.883159532, 52.4540748], [-1.886692601, 52.454665288], [-1.887003685, 52.453861839], [-1.889096881, 52.454191048], [-1.891361563, 52.454218309], [-1.892979519, 52.453308275], [-1.894775965, 52.453433011], [-1.896262948, 52.453076531], [-1.897411556, 52.454016986], [-1.89852312, 52.45441258], [-1.901403372, 52.454911296], [-1.900794287, 52.456155906], [-1.900850977, 52.457118776], [-1.904598214, 52.458268914], [-1.902154414, 52.461280406], [-1.903823818, 52.461784347], [-1.904218138, 52.46254608], [-1.902379621, 52.464644669], [-1.90121372, 52.467310988], [-1.895538465, 52.4657895], [-1.889743514, 52.464001601], [-1.886633999, 52.463189532]]]], ""type"": ""MultiPolygon""}","52.459668836, -1.89368196"
Balsall Heath West,E05011122,Economically inactive,Looking after home or family,,1169,12.65,"{""coordinates"": [[[[-1.886633999, 52.463189532], [-1.882646596, 52.462154527], [-1.883409649, 52.459671337], [-1.883463262, 52.457191939], [-1.883159532, 52.4540748], [-1.886692601, 52.454665288], [-1.887003685, 52.453861839], [-1.889096881, 52.454191048], [-1.891361563, 52.454218309], [-1.892979519, 52.453308275], [-1.894775965, 52.453433011], [-1.896262948, 52.453076531], [-1.897411556, 52.454016986], [-1.89852312, 52.45441258], [-1.901403372, 52.454911296], [-1.900794287, 52.456155906], [-1.900850977, 52.457118776], [-1.904598214, 52.458268914], [-1.902154414, 52.461280406], [-1.903823818, 52.461784347], [-1.904218138, 52.46254608], [-1.902379621, 52.464644669], [-1.90121372, 52.467310988], [-1.895538465, 52.4657895], [-1.889743514, 52.464001601], [-1.886633999, 52.463189532]]]], ""type"": ""MultiPolygon""}","52.459668836, -1.89368196"
