"wz11cd","lsoa11cd","msoa11cd","date","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: No fixed place; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E33018159","E01009069","E02001901",2011,261,38,104,57,34,5,4,1,1,13,4,1739.3,7.1
"E33018160","E01009098","E02001851",2011,842,87,141,213,291,65,9,6,4,15,11,9257.6,11.3
"E33018161","E01009102","E02001854",2011,1571,94,320,401,363,198,57,52,83,3,0,27492.5,17.5
"E33018162","E01009102","E02001854",2011,1166,125,411,297,206,69,11,13,34,0,0,13049.6,11.2
"E33018163","E01009102","E02001854",2011,388,52,83,110,61,34,18,10,20,0,0,6684,17.2
"E33018164","E01009102","E02001854",2011,584,51,125,145,161,47,18,12,25,0,0,9248.6,15.8
"E33018165","E01009102","E02001854",2011,313,22,51,76,95,25,16,9,8,4,7,4345.4,14.4
"E33018166","E01009102","E02001854",2011,304,14,70,59,94,20,14,13,17,3,0,5275.4,17.5
"E33018167","E01009102","E02001854",2011,1483,52,188,377,463,193,57,78,75,0,0,28002.8,18.9
"E33018168","E01009102","E02001854",2011,1028,91,289,254,218,116,19,17,22,2,0,13174,12.8
"E33018169","E01009101","E02001855",2011,711,89,249,153,129,47,15,12,13,3,1,7995.9,11.3
"E33018170","E01009101","E02001855",2011,2810,197,507,546,734,724,54,21,23,1,3,39943.2,14.2
"E33018171","E01009101","E02001855",2011,526,56,142,130,101,43,9,6,27,7,5,8278.4,16.1
"E33018172","E01009119","E02001949",2011,249,50,83,56,48,4,4,4,0,0,0,1821.2,7.3
"E33018173","E01009119","E02001949",2011,274,84,78,38,40,14,4,1,6,6,3,2247.6,8.5
"E33018174","E01009119","E02001949",2011,668,67,165,174,142,43,31,17,29,0,0,10659.7,16
"E33018175","E01009119","E02001949",2011,386,46,99,89,87,30,11,3,21,0,0,6529.5,16.9
"E33018176","E01009119","E02001949",2011,745,109,204,145,167,44,22,16,38,0,0,12513.5,16.8
"E33018177","E01009116","E02001953",2011,965,174,255,221,177,44,26,9,30,17,12,10927.6,11.7
"E33018178","E01033627","E02006898",2011,3549,425,506,973,879,323,149,125,169,0,0,59873.5,16.9
"E33018179","E01033627","E02006898",2011,377,35,84,145,68,20,3,4,10,5,3,4138,11.2
