"wz11cd","lsoa11cd","msoa11cd","date","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: No fixed place; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E33019856","E01033619","E02006898",2011,207,16,29,79,52,8,2,3,7,6,5,2789.4,14.2
"E33019857","E01033619","E02006898",2011,268,14,35,107,54,27,7,11,9,3,1,3904.9,14.8
"E33019858","E01009378","E02006896",2011,226,13,45,82,51,26,3,0,6,0,0,2670.3,11.8
"E33019859","E01009378","E02006896",2011,200,8,44,91,35,5,1,3,8,3,2,2671.7,13.7
"E33019860","E01009378","E02006896",2011,384,21,93,164,64,34,2,1,5,0,0,3814.7,9.9
"E33019861","E01009378","E02006896",2011,516,15,80,191,125,36,19,16,34,0,0,10323.8,20
"E33019862","E01009378","E02006896",2011,257,10,51,90,56,35,6,5,3,1,0,3413.7,13.3
"E33019863","E01009378","E02006896",2011,310,36,78,119,42,15,4,4,10,2,0,3736.8,12.1
"E33019864","E01033620","E02006899",2011,426,25,95,144,81,30,7,14,9,13,8,5173.7,12.8
"E33019865","E01033561","E02001876",2011,357,8,101,126,66,18,12,7,16,3,0,5253,14.8
"E33019866","E01033561","E02001876",2011,406,21,72,135,88,31,12,14,33,0,0,8308.9,20.5
"E33019867","E01033561","E02001876",2011,228,9,72,70,45,20,3,3,2,2,2,2205.9,9.8
"E33019868","E01033561","E02001876",2011,1939,208,281,665,325,133,70,78,124,32,23,34103.7,18.1
"E33019869","E01033561","E02001876",2011,254,7,55,81,61,24,8,4,10,4,0,4154.1,16.6
"E33019870","E01033561","E02001876",2011,1577,52,363,710,306,77,22,25,22,0,0,17188.3,10.9
"E33019871","E01033561","E02001876",2011,305,6,55,109,80,27,11,7,10,0,0,4638,15.2
"E33019872","E01033561","E02001876",2011,474,10,92,225,100,24,7,5,11,0,0,5498.1,11.6
"E33019873","E01033561","E02001876",2011,397,19,39,116,106,37,30,32,14,4,0,7128.7,18.1
"E33019874","E01009345","E02001879",2011,1090,79,121,319,297,109,42,23,11,79,10,13510.6,13.5
"E33019875","E01033620","E02006899",2011,310,9,53,132,59,32,9,5,10,1,0,4376.6,14.2
"E33019876","E01033620","E02006899",2011,515,46,60,157,134,61,20,16,19,1,1,8043.3,15.7
"E33019877","E01033620","E02006899",2011,406,24,77,148,84,32,10,14,17,0,0,5927.3,14.6
"E33019878","E01033620","E02006899",2011,697,68,89,216,177,68,31,28,20,0,0,10288.8,14.8
"E33019879","E01033620","E02006899",2011,1925,54,281,897,429,146,29,33,56,0,0,26660.7,13.8
"E33019880","E01033620","E02006899",2011,390,24,32,159,91,41,16,18,9,0,0,5955.3,15.3
"E33019881","E01033620","E02006899",2011,1589,195,148,401,395,186,100,81,83,0,0,31316.1,19.7
"E33019882","E01033620","E02006899",2011,1138,63,115,312,276,158,76,69,69,0,0,23377.1,20.5
"E33019883","E01033620","E02006899",2011,294,20,51,114,59,28,6,4,12,0,0,4902.1,16.7
"E33019884","E01033620","E02006899",2011,512,46,71,174,120,46,13,18,24,0,0,7934.8,15.5
"E33019885","E01033620","E02006899",2011,254,8,30,81,58,36,17,15,8,1,0,4344,17.2
"E33019886","E01033620","E02006899",2011,1743,110,100,462,566,233,75,109,87,0,1,34186.4,19.6
"E33019887","E01033620","E02006899",2011,1341,93,161,521,308,149,42,30,37,0,0,19697,14.7
"E33019888","E01033620","E02006899",2011,1063,57,122,360,275,104,55,51,39,0,0,17267.6,16.2
"E33019889","E01033620","E02006899",2011,409,40,40,106,106,53,30,19,15,0,0,7549.1,18.5
"E33019890","E01033620","E02006899",2011,1440,85,175,550,368,136,43,49,34,0,0,20596.7,14.3
"E33019891","E01033620","E02006899",2011,907,54,101,318,248,99,32,27,25,2,1,13608.4,15.1
"E33019892","E01033620","E02006899",2011,1291,61,143,380,355,177,56,60,59,0,0,23105.4,17.9
"E33019893","E01033620","E02006899",2011,769,40,136,272,169,81,20,27,23,1,0,11205.4,14.6
"E33019894","E01033620","E02006899",2011,676,39,82,200,186,71,36,26,36,0,0,12519.6,18.5
"E33019895","E01033620","E02006899",2011,985,68,181,350,195,73,32,50,36,0,0,15124,15.4
"E33019896","E01033620","E02006899",2011,485,30,76,154,111,47,33,23,11,0,0,7293.6,15
"E33019897","E01033620","E02006899",2011,198,15,60,58,27,9,5,3,21,0,0,4784.6,24.2
"E33019898","E01033620","E02006899",2011,391,23,41,125,98,52,19,17,16,0,0,6762.8,17.3
"E33019899","E01033620","E02006899",2011,855,44,81,322,208,91,45,39,25,0,0,13495.7,15.8
"E33019900","E01033620","E02006899",2011,988,55,128,343,199,105,32,29,97,0,0,21299.3,21.6
"E33019901","E01033620","E02006899",2011,273,17,53,103,70,17,5,1,6,0,1,3258.5,12
"E33019902","E01033620","E02006899",2011,496,23,88,239,77,39,8,10,12,0,0,6104.8,12.3
"E33019903","E01033620","E02006899",2011,1354,42,232,690,274,70,17,5,24,0,0,15152.4,11.2
"E33019904","E01033620","E02006899",2011,1824,154,163,545,479,197,111,86,87,1,1,33376.5,18.3
"E33019905","E01033620","E02006899",2011,410,23,38,140,101,50,21,16,19,2,0,7112.5,17.4
"E33019906","E01033620","E02006899",2011,313,9,14,84,91,48,21,19,27,0,0,7214.3,23
"E33019907","E01033620","E02006899",2011,614,18,91,247,134,48,19,11,23,8,15,8672.2,14.7
"E33019908","E01033625","E02006899",2011,1352,62,116,385,344,170,79,93,103,0,0,30397.8,22.5
"E33019909","E01033625","E02006899",2011,2021,197,319,517,345,220,113,121,189,0,0,45358.2,22.4
"E33019910","E01033625","E02006899",2011,329,34,62,98,60,13,10,6,24,12,10,5114.8,16.7
"E33019911","E01033625","E02006899",2011,282,20,31,78,46,26,5,10,1,30,35,2692.7,12.4
"E33019912","E01033617","E02001876",2011,603,16,80,221,137,60,26,20,7,14,22,8068,14.2
"E33019913","E01033625","E02006899",2011,906,35,148,332,202,97,32,21,19,12,8,12506.6,14.1
"E33019914","E01033625","E02006899",2011,521,52,107,177,108,31,12,18,15,1,0,6556.4,12.6
"E33019915","E01033625","E02006899",2011,268,44,48,74,29,23,5,9,36,0,0,7125.6,26.6
"E33019916","E01033625","E02006899",2011,666,53,95,213,124,48,26,26,37,30,14,10138.9,16.3
"E33019917","E01033617","E02001876",2011,1687,44,237,718,401,159,32,36,21,26,13,20406.6,12.4
"E33019918","E01008899","E02001863",2011,312,20,69,104,63,26,5,8,14,1,2,4885.5,15.8
"E33019919","E01033620","E02006899",2011,441,31,114,165,86,22,9,3,11,0,0,4979.3,11.3
"E33019920","E01033620","E02006899",2011,1005,51,196,467,206,50,11,5,19,0,0,11467.4,11.4
"E33019921","E01033620","E02006899",2011,309,9,32,135,75,25,12,9,12,0,0,5040.8,16.3
"E33019922","E01033620","E02006899",2011,865,53,233,351,150,36,7,15,20,0,0,8912.4,10.3
"E33019923","E01033620","E02006899",2011,319,20,97,123,43,13,3,6,13,1,0,4009.9,12.6
"E33019924","E01033620","E02006899",2011,1357,40,131,541,343,148,55,39,60,0,0,23611.3,17.4
"E33019925","E01033620","E02006899",2011,331,14,41,108,76,29,13,15,35,0,0,8315.4,25.1
"E33019926","E01033620","E02006899",2011,348,21,78,132,61,27,8,8,10,3,0,4378.8,12.7
"E33019927","E01033620","E02006899",2011,620,49,131,230,116,69,5,6,14,0,0,7381,11.9
"E33019928","E01033620","E02006899",2011,434,31,92,141,83,35,19,14,19,0,0,6832.5,15.7
"E33019929","E01033620","E02006899",2011,354,34,79,163,42,15,3,7,11,0,0,4909,13.9
"E33019930","E01033620","E02006899",2011,368,29,77,144,60,27,7,10,13,1,0,4778.3,13
"E33019931","E01033620","E02006899",2011,370,23,54,158,75,28,7,8,17,0,0,6250,16.9
"E33019932","E01033620","E02006899",2011,206,16,58,81,31,7,6,2,5,0,0,2286.4,11.1
"E33019933","E01033620","E02006899",2011,333,16,85,161,53,14,1,1,1,1,0,2666.7,8
"E33019934","E01033620","E02006899",2011,523,35,66,202,131,35,13,17,24,0,0,7709.3,14.7
"E33019935","E01033620","E02006899",2011,2606,214,274,850,645,265,125,109,124,0,0,46280.3,17.8
"E33019936","E01033622","E02006899",2011,233,8,21,70,71,25,10,13,7,5,3,3702.3,16.5
"E33019937","E01033622","E02006899",2011,306,23,25,71,66,32,16,10,39,10,14,8025.2,28.5
"E33019938","E01033622","E02006899",2011,677,37,62,249,150,68,56,40,15,0,0,11440,16.9
"E33019939","E01033619","E02006898",2011,264,13,35,102,63,16,5,6,5,10,9,3143.3,12.8
"E33019940","E01033619","E02006898",2011,420,38,71,126,110,25,16,22,12,0,0,5824.6,13.9
"E33019941","E01033619","E02006898",2011,348,16,51,146,74,40,5,6,10,0,0,5064,14.6
"E33019942","E01033623","E02006899",2011,324,23,51,134,77,11,12,1,13,1,1,4301.8,13.4
"E33019943","E01033623","E02006899",2011,615,37,62,218,169,63,21,10,20,7,8,9645.6,16.1
"E33019944","E01033623","E02006899",2011,600,60,111,201,147,29,15,11,19,5,2,7693.7,13
"E33019945","E01033631","E02001905",2011,233,24,53,51,33,7,4,0,6,21,34,1893.3,10.6
"E33019946","E01033631","E02001905",2011,576,30,144,160,116,53,17,11,29,11,5,9016.3,16.1
"E33019947","E01009143","E02006897",2011,601,18,81,188,178,58,36,17,25,0,0,10398.3,17.3
"E33019948","E01009143","E02006897",2011,447,57,105,158,70,7,5,5,9,19,12,3961.2,9.5
"E33019949","E01009143","E02006897",2011,1166,90,240,370,266,68,45,36,48,3,0,19401.7,16.7
"E33019950","E01033565","E02006898",2011,1072,62,191,442,253,63,13,10,16,9,13,11483.2,10.9
"E33019951","E01033620","E02006899",2011,559,41,60,147,138,63,31,28,50,1,0,12665.4,22.7
"E33019952","E01033620","E02006899",2011,350,45,73,115,56,21,10,10,19,1,0,5234,15
"E33019953","E01033620","E02006899",2011,359,21,95,156,62,11,3,2,2,5,2,3080,8.8
"E33019954","E01009342","E02001889",2011,1441,175,393,495,195,88,15,14,17,19,30,13192.1,9.5
"E33019955","E01033622","E02006899",2011,443,35,54,139,105,61,10,7,16,6,10,6733.6,15.8
"E33019956","E01033623","E02006899",2011,212,15,18,46,60,26,8,17,15,4,3,4782.6,23.3
"E33019957","E01009239","E02001859",2011,1563,95,347,476,361,87,51,57,60,6,23,22879.7,14.9
"E33019958","E01009239","E02001859",2011,698,47,174,197,197,37,7,19,20,0,0,9184.8,13.2
"E33019959","E01009239","E02001859",2011,535,44,232,128,89,18,4,2,7,0,11,4421.5,8.4
"E33019960","E01008914","E02001876",2011,248,6,37,122,57,8,8,5,5,0,0,3554.2,14.3
"E33019961","E01008914","E02001876",2011,215,7,36,96,59,12,0,1,0,2,2,1945.5,9.2
"E33019962","E01008914","E02001876",2011,246,12,57,115,43,10,1,4,4,0,0,2577.7,10.5
"E33019963","E01008914","E02001876",2011,227,5,27,103,47,26,9,4,6,0,0,3305.3,14.6
"E33019964","E01008914","E02001876",2011,224,8,18,98,69,20,5,1,3,2,0,2709.2,12.2
"E33019965","E01008914","E02001876",2011,444,18,73,212,95,26,5,10,5,0,0,4886.4,11
"E33019966","E01009418","E02001827",2011,284,16,20,21,31,11,3,1,1,112,68,1234.6,11.9
"E33019966","E01009433","E02001827",2011,284,16,20,21,31,11,3,1,1,112,68,1234.6,11.9
"E33019967","E01009418","E02001827",2011,635,98,56,63,38,15,0,1,1,231,132,1736.7,6.4
"E33019967","E01009433","E02001827",2011,635,98,56,63,38,15,0,1,1,231,132,1736.7,6.4
"E33019967","E01009419","E02001827",2011,635,98,56,63,38,15,0,1,1,231,132,1736.7,6.4
"E33019967","E01009417","E02001827",2011,635,98,56,63,38,15,0,1,1,231,132,1736.7,6.4
"E33019968","E01009415","E02001828",2011,258,31,7,17,34,4,0,0,2,117,46,1060,11.2
"E33019968","E01009423","E02001828",2011,258,31,7,17,34,4,0,0,2,117,46,1060,11.2
"E33019969","E01009423","E02001828",2011,437,89,46,63,94,22,5,3,5,62,48,3368.2,10.3
"E33019969","E01009425","E02001828",2011,437,89,46,63,94,22,5,3,5,62,48,3368.2,10.3
"E33019970","E01009425","E02001828",2011,420,94,57,99,81,14,6,2,5,45,17,3508.4,9.8
"E33019970","E01009415","E02001828",2011,420,94,57,99,81,14,6,2,5,45,17,3508.4,9.8
"E33019970","E01009422","E02001828",2011,420,94,57,99,81,14,6,2,5,45,17,3508.4,9.8
"E33019971","E01009425","E02001828",2011,475,93,105,106,92,16,3,3,1,34,22,3136.5,7.5
"E33019972","E01009422","E02001828",2011,496,85,69,74,74,11,3,4,1,122,53,2507.6,7.8
"E33019972","E01009425","E02001828",2011,496,85,69,74,74,11,3,4,1,122,53,2507.6,7.8
"E33019973","E01009420","E02001829",2011,364,54,23,30,7,3,2,2,0,154,89,644.4,5.3
"E33019973","E01009426","E02001829",2011,364,54,23,30,7,3,2,2,0,154,89,644.4,5.3
"E33019973","E01009416","E02001829",2011,364,54,23,30,7,3,2,2,0,154,89,644.4,5.3
"E33019974","E01009416","E02001829",2011,324,16,28,23,29,3,2,0,1,142,80,838.7,8.2
"E33019975","E01009431","E02001829",2011,367,56,58,43,35,7,1,1,0,117,49,1246.7,6.2
"E33019975","E01009429","E02001829",2011,367,56,58,43,35,7,1,1,0,117,49,1246.7,6.2
"E33019975","E01009426","E02001829",2011,367,56,58,43,35,7,1,1,0,117,49,1246.7,6.2
"E33019976","E01009431","E02001829",2011,412,50,53,72,59,13,1,4,0,106,54,2069,8.2
"E33019976","E01009426","E02001829",2011,412,50,53,72,59,13,1,4,0,106,54,2069,8.2
"E33019976","E01009429","E02001829",2011,412,50,53,72,59,13,1,4,0,106,54,2069,8.2
"E33019977","E01009424","E02001830",2011,421,34,98,54,31,12,1,2,12,134,43,3314.8,13.6
"E33019977","E01009421","E02001830",2011,421,34,98,54,31,12,1,2,12,134,43,3314.8,13.6
"E33019978","E01009424","E02001830",2011,338,48,72,40,89,20,2,5,13,31,18,4739.7,16.4
"E33019979","E01009424","E02001830",2011,230,9,74,57,33,1,0,2,4,36,14,1793.1,10
"E33019979","E01009430","E02001830",2011,230,9,74,57,33,1,0,2,4,36,14,1793.1,10
"E33019980","E01009427","E02001830",2011,333,32,46,45,51,13,6,5,5,97,33,2628,12.9
"E33019980","E01009430","E02001830",2011,333,32,46,45,51,13,6,5,5,97,33,2628,12.9
"E33019981","E01009430","E02001830",2011,281,36,62,26,28,1,3,0,0,86,39,947.7,6.1
"E33019981","E01009427","E02001830",2011,281,36,62,26,28,1,3,0,0,86,39,947.7,6.1
"E33019982","E01009468","E02001830",2011,278,23,45,28,9,3,0,0,3,115,52,954.1,8.6
"E33019983","E01009424","E02001830",2011,349,47,103,63,80,18,9,4,4,10,11,3583.4,10.9
"E33019984","E01009424","E02001830",2011,914,87,206,150,216,43,11,13,18,126,44,9120,12.3
"E33019984","E01009428","E02001830",2011,914,87,206,150,216,43,11,13,18,126,44,9120,12.3
"E33019985","E01009448","E02001831",2011,321,46,31,20,31,4,0,3,1,94,91,1056.4,7.8
"E33019985","E01009445","E02001831",2011,321,46,31,20,31,4,0,3,1,94,91,1056.4,7.8
"E33019986","E01009447","E02001831",2011,262,33,15,35,16,2,1,0,0,98,62,629.9,6.2
"E33019986","E01009446","E02001831",2011,262,33,15,35,16,2,1,0,0,98,62,629.9,6.2
"E33019987","E01009447","E02001831",2011,704,57,81,90,117,59,34,67,56,87,56,14685.6,26.2
"E33019987","E01009445","E02001831",2011,704,57,81,90,117,59,34,67,56,87,56,14685.6,26.2
"E33019987","E01009446","E02001831",2011,704,57,81,90,117,59,34,67,56,87,56,14685.6,26.2
"E33019988","E01009452","E02001831",2011,364,45,50,46,49,9,2,0,1,90,72,1656.2,8.2
"E33019988","E01009455","E02001831",2011,364,45,50,46,49,9,2,0,1,90,72,1656.2,8.2
"E33019989","E01009447","E02001831",2011,534,158,85,87,89,9,0,1,0,61,44,2518.7,5.9
"E33019989","E01009452","E02001831",2011,534,158,85,87,89,9,0,1,0,61,44,2518.7,5.9
"E33019989","E01009448","E02001831",2011,534,158,85,87,89,9,0,1,0,61,44,2518.7,5.9
"E33019990","E01009437","E02001832",2011,213,51,47,35,35,1,0,1,3,23,17,1228.5,7.1
"E33019991","E01009444","E02001832",2011,370,65,56,44,40,29,1,0,0,86,49,1766.9,7.5
"E33019992","E01009454","E02001832",2011,282,42,26,11,16,3,1,0,5,112,66,874.9,8.4
"E33019992","E01009435","E02001832",2011,282,42,26,11,16,3,1,0,5,112,66,874.9,8.4
"E33019993","E01009432","E02001832",2011,3177,565,674,752,884,128,28,35,30,49,32,29073.9,9.4
"E33019994","E01009437","E02001832",2011,381,66,102,46,83,13,3,3,1,47,17,2487.6,7.8
"E33019995","E01009435","E02001832",2011,327,42,28,42,25,7,1,3,5,113,61,1918.6,12.5
"E33019995","E01009437","E02001832",2011,327,42,28,42,25,7,1,3,5,113,61,1918.6,12.5
"E33019996","E01009467","E02001833",2011,329,49,42,26,29,1,0,0,0,102,80,774.6,5.3
"E33019996","E01009465","E02001833",2011,329,49,42,26,29,1,0,0,0,102,80,774.6,5.3
"E33019997","E01009221","E02001833",2011,345,107,80,70,42,7,3,1,3,13,19,2162.3,6.9
"E33019998","E01009464","E02001833",2011,292,17,44,29,34,3,3,1,1,94,66,1312.1,9.9
"E33019998","E01009465","E02001833",2011,292,17,44,29,34,3,3,1,1,94,66,1312.1,9.9
"E33019999","E01009221","E02001833",2011,352,71,70,49,46,8,3,1,0,47,57,1649.9,6.7
"E33019999","E01009465","E02001833",2011,352,71,70,49,46,8,3,1,0,47,57,1649.9,6.7
"E33020000","E01009220","E02001834",2011,576,90,48,43,42,3,1,0,1,147,201,1285.1,5.6
"E33020000","E01009233","E02001834",2011,576,90,48,43,42,3,1,0,1,147,201,1285.1,5.6
"E33020000","E01009224","E02001834",2011,576,90,48,43,42,3,1,0,1,147,201,1285.1,5.6
"E33020000","E01009222","E02001834",2011,576,90,48,43,42,3,1,0,1,147,201,1285.1,5.6
"E33020001","E01009471","E02001835",2011,288,33,79,36,22,3,1,2,1,78,33,1170.7,6.6
"E33020002","E01009453","E02001835",2011,566,88,144,70,84,18,4,6,3,85,64,3564.4,8.5
"E33020002","E01009449","E02001835",2011,566,88,144,70,84,18,4,6,3,85,64,3564.4,8.5
"E33020002","E01009451","E02001835",2011,566,88,144,70,84,18,4,6,3,85,64,3564.4,8.5
"E33020003","E01009471","E02001835",2011,272,42,70,35,16,2,2,1,0,68,36,914.2,5.4
"E33020003","E01009466","E02001835",2011,272,42,70,35,16,2,2,1,0,68,36,914.2,5.4
"E33020004","E01009466","E02001835",2011,357,39,87,38,36,5,2,1,0,99,50,1349.3,6.5
"E33020005","E01009449","E02001835",2011,506,59,153,99,81,25,4,1,4,53,27,3816,9
"E33020006","E01009451","E02001835",2011,450,87,117,41,77,8,8,2,1,75,34,2529.9,7.4
"E33020007","E01009472","E02001836",2011,370,31,51,29,58,5,2,1,1,131,61,1625.5,9.1
"E33020007","E01009474","E02001836",2011,370,31,51,29,58,5,2,1,1,131,61,1625.5,9.1
"E33020007","E01009470","E02001836",2011,370,31,51,29,58,5,2,1,1,131,61,1625.5,9.1
"E33020008","E01009472","E02001836",2011,309,38,44,14,22,2,0,0,0,101,88,622.1,5.2
"E33020008","E01009135","E02001836",2011,309,38,44,14,22,2,0,0,0,101,88,622.1,5.2
"E33020008","E01009473","E02001836",2011,309,38,44,14,22,2,0,0,0,101,88,622.1,5.2
"E33020009","E01009469","E02001836",2011,263,44,59,23,7,3,2,0,1,79,45,704.2,5.1
"E33020009","E01009470","E02001836",2011,263,44,59,23,7,3,2,0,1,79,45,704.2,5.1
"E33020010","E01009474","E02001836",2011,306,69,44,17,20,3,1,0,0,96,56,705.4,4.6
"E33020010","E01009472","E02001836",2011,306,69,44,17,20,3,1,0,0,96,56,705.4,4.6
"E33020011","E01009473","E02001836",2011,1444,364,500,234,181,16,8,10,7,75,49,8096.9,6.1
"E33020011","E01009469","E02001836",2011,1444,364,500,234,181,16,8,10,7,75,49,8096.9,6.1
"E33020012","E01009133","E02001837",2011,654,164,106,60,78,10,2,4,4,66,160,2885,6.7
"E33020012","E01009134","E02001837",2011,654,164,106,60,78,10,2,4,4,66,160,2885,6.7
"E33020012","E01009131","E02001837",2011,654,164,106,60,78,10,2,4,4,66,160,2885,6.7
"E33020012","E01009130","E02001837",2011,654,164,106,60,78,10,2,4,4,66,160,2885,6.7
"E33020013","E01009128","E02001837",2011,357,54,34,42,27,3,1,0,3,83,110,1343.6,8.2
"E33020013","E01009131","E02001837",2011,357,54,34,42,27,3,1,0,3,83,110,1343.6,8.2
"E33020013","E01009127","E02001837",2011,357,54,34,42,27,3,1,0,3,83,110,1343.6,8.2
"E33020014","E01009137","E02001837",2011,337,59,58,55,26,3,1,1,1,59,74,1371.7,6.7
"E33020014","E01009134","E02001837",2011,337,59,58,55,26,3,1,1,1,59,74,1371.7,6.7
"E33020015","E01009440","E02001838",2011,383,102,85,51,40,5,0,0,5,66,29,2019.7,7
"E33020015","E01009436","E02001838",2011,383,102,85,51,40,5,0,0,5,66,29,2019.7,7
"E33020016","E01009438","E02001838",2011,280,19,15,5,2,1,0,1,0,155,82,181.2,4.2
"E33020016","E01009436","E02001838",2011,280,19,15,5,2,1,0,1,0,155,82,181.2,4.2
"E33020017","E01009440","E02001838",2011,281,69,71,35,20,2,2,1,2,51,28,1242.3,6.2
"E33020018","E01009450","E02001838",2011,367,47,23,15,17,3,0,2,3,153,104,1263.3,11.5
"E33020018","E01009434","E02001838",2011,367,47,23,15,17,3,0,2,3,153,104,1263.3,11.5
"E33020019","E01009225","E02001839",2011,365,124,72,67,36,4,6,0,0,28,28,1599.6,5.2
"E33020019","E01009223","E02001839",2011,365,124,72,67,36,4,6,0,0,28,28,1599.6,5.2
"E33020019","E01009228","E02001839",2011,365,124,72,67,36,4,6,0,0,28,28,1599.6,5.2
"E33020020","E01009227","E02001839",2011,328,56,33,23,13,2,2,1,2,77,119,985.6,7.5
"E33020020","E01009228","E02001839",2011,328,56,33,23,13,2,2,1,2,77,119,985.6,7.5
"E33020021","E01009223","E02001839",2011,254,66,45,31,35,4,5,0,4,34,30,1637.9,8.6
"E33020022","E01009228","E02001839",2011,310,82,44,30,13,4,1,4,6,68,58,1738.7,9.4
"E33020022","E01009225","E02001839",2011,310,82,44,30,13,4,1,4,6,68,58,1738.7,9.4
"E33020023","E01009129","E02001840",2011,305,57,31,30,36,4,1,2,1,46,97,1184.2,7.3
"E33020023","E01009132","E02001840",2011,305,57,31,30,36,4,1,2,1,46,97,1184.2,7.3
"E33020024","E01009121","E02001840",2011,245,47,48,34,43,2,1,0,2,35,33,1290.3,7.3
"E33020025","E01009122","E02001840",2011,353,48,65,86,58,6,4,2,4,34,46,2725,10
"E33020026","E01009136","E02001840",2011,376,85,73,80,38,3,0,1,0,42,54,1484,5.3
"E33020026","E01009132","E02001840",2011,376,85,73,80,38,3,0,1,0,42,54,1484,5.3
"E33020027","E01009121","E02001840",2011,274,66,52,43,44,7,0,0,4,35,23,1908.1,8.8
"E33020028","E01009463","E02001841",2011,245,29,38,38,18,3,3,3,1,68,44,1144.6,8.6
"E33020028","E01009457","E02001841",2011,245,29,38,38,18,3,3,3,1,68,44,1144.6,8.6
"E33020029","E01009463","E02001841",2011,274,27,35,51,25,1,1,0,2,90,42,1100.6,7.8
"E33020029","E01009459","E02001841",2011,274,27,35,51,25,1,1,0,2,90,42,1100.6,7.8
"E33020030","E01009461","E02001841",2011,318,26,28,12,20,6,2,2,3,140,79,1414.2,14.3
"E33020030","E01009463","E02001841",2011,318,26,28,12,20,6,2,2,3,140,79,1414.2,14.3
"E33020031","E01009459","E02001841",2011,323,34,52,39,40,4,0,0,1,95,58,1350.6,7.9
"E33020031","E01009457","E02001841",2011,323,34,52,39,40,4,0,0,1,95,58,1350.6,7.9
"E33020032","E01009245","E02001842",2011,299,55,40,12,12,0,0,0,0,96,84,430.1,3.6
"E33020032","E01009246","E02001842",2011,299,55,40,12,12,0,0,0,0,96,84,430.1,3.6
"E33020032","E01009235","E02001842",2011,299,55,40,12,12,0,0,0,0,96,84,430.1,3.6
"E33020033","E01009247","E02001842",2011,295,75,23,33,18,5,1,0,3,61,76,1153.2,7.3
"E33020033","E01009246","E02001842",2011,295,75,23,33,18,5,1,0,3,61,76,1153.2,7.3
"E33020033","E01009243","E02001842",2011,295,75,23,33,18,5,1,0,3,61,76,1153.2,7.3
"E33020034","E01009245","E02001842",2011,348,60,46,54,36,4,1,0,5,68,74,1730.9,8.4
"E33020034","E01009243","E02001842",2011,348,60,46,54,36,4,1,0,5,68,74,1730.9,8.4
"E33020035","E01009230","E02001843",2011,250,61,77,38,31,1,0,0,0,21,21,1031.8,5
"E33020035","E01009229","E02001843",2011,250,61,77,38,31,1,0,0,0,21,21,1031.8,5
"E33020036","E01009229","E02001843",2011,365,55,56,55,35,1,3,1,1,69,89,1482.9,7.2
"E33020036","E01009231","E02001843",2011,365,55,56,55,35,1,3,1,1,69,89,1482.9,7.2
"E33020036","E01009230","E02001843",2011,365,55,56,55,35,1,3,1,1,69,89,1482.9,7.2
"E33020037","E01009231","E02001843",2011,322,61,78,56,57,10,4,2,0,28,26,1963,7.3
"E33020038","E01009230","E02001843",2011,648,168,143,125,70,10,6,6,9,54,57,4291.4,8
"E33020038","E01009226","E02001843",2011,648,168,143,125,70,10,6,6,9,54,57,4291.4,8
"E33020038","E01009229","E02001843",2011,648,168,143,125,70,10,6,6,9,54,57,4291.4,8
"E33020039","E01009226","E02001843",2011,317,97,49,36,41,8,2,2,1,44,37,1520.2,6.4
"E33020040","E01009462","E02001844",2011,487,118,147,88,68,9,5,3,1,30,18,2785.7,6.3
"E33020041","E01009003","E02001844",2011,465,67,157,97,63,13,1,1,1,37,28,2662.3,6.7
"E33020042","E01009003","E02001844",2011,493,108,132,80,66,9,3,5,3,47,40,2840.3,7
"E33020043","E01009458","E02001844",2011,284,32,53,24,32,3,1,2,3,73,61,1262.7,8.4
"E33020043","E01009460","E02001844",2011,284,32,53,24,32,3,1,2,3,73,61,1262.7,8.4
"E33020044","E01009456","E02001844",2011,344,39,48,33,32,3,2,1,2,107,77,1318.9,8.2
"E33020044","E01009458","E02001844",2011,344,39,48,33,32,3,2,1,2,107,77,1318.9,8.2
"E33020044","E01009460","E02001844",2011,344,39,48,33,32,3,2,1,2,107,77,1318.9,8.2
"E33020045","E01009001","E02001844",2011,475,50,68,67,93,25,6,1,4,75,86,3158.4,10.1
"E33020045","E01009460","E02001844",2011,475,50,68,67,93,25,6,1,4,75,86,3158.4,10.1
"E33020046","E01009462","E02001844",2011,306,75,54,39,28,5,2,2,3,57,41,1549.3,7.4
"E33020047","E01009236","E02001845",2011,304,50,33,30,23,0,0,3,0,81,84,788.4,5.7
"E33020047","E01009234","E02001845",2011,304,50,33,30,23,0,0,3,0,81,84,788.4,5.7
"E33020047","E01009244","E02001845",2011,304,50,33,30,23,0,0,3,0,81,84,788.4,5.7
"E33020048","E01009244","E02001845",2011,695,180,114,106,152,19,7,7,4,49,57,4808.7,8.2
"E33020048","E01009248","E02001845",2011,695,180,114,106,152,19,7,7,4,49,57,4808.7,8.2
"E33020049","E01009234","E02001845",2011,347,39,55,64,71,15,4,0,3,48,48,2724.8,10.9
