"wz11cd","lsoa11cd","msoa11cd","date","Occupation: All categories: Occupation; measures: Value","Occupation: 1 Managers, directors and senior officials; measures: Value","Occupation: 11 Corporate managers and directors; measures: Value","Occupation: 111 Chief Executives and Senior Officials; measures: Value","Occupation: 112 Production Managers and Directors; measures: Value","Occupation: 113 Functional Managers and Directors; measures: Value","Occupation: 115 Financial Institution Managers and Directors; measures: Value","Occupation: 116 Managers and Directors in Transport and Logistics; measures: Value","Occupation: 117 Senior Officers in Protective Services; measures: Value","Occupation: 118 Health and Social Services Managers and Directors; measures: Value","Occupation: 119 Managers and Directors in Retail and Wholesale; measures: Value","Occupation: 12 Other managers and proprietors; measures: Value","Occupation: 121 Managers and Proprietors in Agriculture Related Services; measures: Value","Occupation: 122 Managers and Proprietors in Hospitality and Leisure Services; measures: Value","Occupation: 124 Managers and Proprietors in Health and Care Services; measures: Value","Occupation: 125 Managers and Proprietors in Other Services; measures: Value","Occupation: 2 Professional occupations; measures: Value","Occupation: 21 Science, research, engineering and technology professionals; measures: Value","Occupation: 211 Natural and Social Science Professionals; measures: Value","Occupation: 212 Engineering Professionals; measures: Value","Occupation: 213 Information Technology and Telecommunications Professionals; measures: Value","Occupation: 214 Conservation and Environment Professionals; measures: Value","Occupation: 215 Research and Development Managers; measures: Value","Occupation: 22 Health professionals; measures: Value","Occupation: 221 Health Professionals; measures: Value","Occupation: 222 Therapy Professionals; measures: Value","Occupation: 223 Nursing and Midwifery Professionals; measures: Value","Occupation: 23 Teaching and educational professionals; measures: Value","Occupation: 231 Teaching and Educational Professionals; measures: Value","Occupation: 24 Business, media and public service professionals; measures: Value","Occupation: 241 Legal Professionals; measures: Value","Occupation: 242 Business, Research and Administrative Professionals; measures: Value","Occupation: 243 Architects, Town Planners and Surveyors; measures: Value","Occupation: 244 Welfare Professionals; measures: Value","Occupation: 245 Librarians and Related Professionals; measures: Value","Occupation: 246 Quality and Regulatory Professionals; measures: Value","Occupation: 247 Media Professionals; measures: Value","Occupation: 3 Associate professional and technical occupations; measures: Value","Occupation: 31 Science, engineering and technology associate professionals; measures: Value","Occupation: 311 Science, Engineering and Production Technicians; measures: Value","Occupation: 312 Draughtspersons and Related Architectural Technicians; measures: Value","Occupation: 313 Information Technology Technicians; measures: Value","Occupation: 32 Health and social care associate professionals; measures: Value","Occupation: 321 Health Associate Professionals; measures: Value","Occupation: 323 Welfare and Housing Associate Professionals; measures: Value","Occupation: 33 Protective service occupations; measures: Value","Occupation: 331 Protective Service Occupations; measures: Value","Occupation: 34 Culture, media and sports occupations; measures: Value","Occupation: 341 Artistic, Literary and Media Occupations; measures: Value","Occupation: 342 Design Occupations; measures: Value","Occupation: 344 Sports and Fitness Occupations; measures: Value","Occupation: 35 Business and public service associate professionals; measures: Value","Occupation: 351 Transport Associate Professionals; measures: Value","Occupation: 352 Legal Associate Professionals; measures: Value","Occupation: 353 Business, Finance and Related Associate Professionals; measures: Value","Occupation: 354 Sales, Marketing and Related Associate Professionals; measures: Value","Occupation: 355 Conservation and Environmental associate professionals; measures: Value","Occupation: 356 Public Services and Other Associate Professionals; measures: Value","Occupation: 4 Administrative and secretarial occupations; measures: Value","Occupation: 41 Administrative occupations; measures: Value","Occupation: 411 Administrative Occupations: Government and Related Organisations; measures: Value","Occupation: 412 Administrative Occupations: Finance; measures: Value","Occupation: 413 Administrative Occupations: Records; measures: Value","Occupation: 415 Other Administrative Occupations; measures: Value","Occupation: 416 Administrative Occupations: Office Managers and Supervisors; measures: Value","Occupation: 42 Secretarial and related occupations; measures: Value","Occupation: 421 Secretarial and Related Occupations; measures: Value","Occupation: 5 Skilled trades occupations; measures: Value","Occupation: 51 Skilled agricultural and related trades; measures: Value","Occupation: 511 Agricultural and Related Trades; measures: Value","Occupation: 52 Skilled metal, electrical and electronic trades; measures: Value","Occupation: 521 Metal Forming, Welding and Related Trades; measures: Value","Occupation: 522 Metal Machining, Fitting and Instrument Making Trades; measures: Value","Occupation: 523 Vehicle Trades; measures: Value","Occupation: 524 Electrical and Electronic Trades; measures: Value","Occupation: 525 Skilled Metal, Electrical and Electronic Trades Supervisors; measures: Value","Occupation: 53 Skilled construction and building trades; measures: Value","Occupation: 531 Construction and Building Trades; measures: Value","Occupation: 532 Building Finishing Trades; measures: Value","Occupation: 533 Construction and Building Trades Supervisors; measures: Value","Occupation: 54 Textiles, printing and other skilled trades; measures: Value","Occupation: 541 Textiles and Garments Trades; measures: Value","Occupation: 542 Printing Trades; measures: Value","Occupation: 543 Food Preparation and Hospitality Trades; measures: Value","Occupation: 544 Other Skilled Trades; measures: Value","Occupation: 6 Caring, leisure and other service occupations; measures: Value","Occupation: 61 Caring personal service occupations; measures: Value","Occupation: 612 Childcare and Related Personal Services; measures: Value","Occupation: 613 Animal Care and Control Services; measures: Value","Occupation: 614 Caring Personal Services; measures: Value","Occupation: 62 Leisure, travel and related personal service occupations; measures: Value","Occupation: 621 Leisure and Travel Services; measures: Value","Occupation: 622 Hairdressers and Related Services; measures: Value","Occupation: 623 Housekeeping and Related Services; measures: Value","Occupation: 624 Cleaning and Housekeeping Managers and Supervisors; measures: Value","Occupation: 7 Sales and customer service occupations; measures: Value","Occupation: 71 Sales occupations; measures: Value","Occupation: 711 Sales Assistants and Retail Cashiers; measures: Value","Occupation: 712 Sales Related Occupations; measures: Value","Occupation: 713 Sales Supervisors; measures: Value","Occupation: 72 Customer service occupations; measures: Value","Occupation: 721 Customer Service Occupations; measures: Value","Occupation: 722 Customer Service Managers and Supervisors; measures: Value","Occupation: 8 Process, plant and machine operatives; measures: Value","Occupation: 81 Process, plant and machine operatives; measures: Value","Occupation: 811 Process Operatives; measures: Value","Occupation: 812 Plant and Machine Operatives; measures: Value","Occupation: 813 Assemblers and Routine Operatives; measures: Value","Occupation: 814 Construction Operatives; measures: Value","Occupation: 82 Transport and mobile machine drivers and operatives; measures: Value","Occupation: 821 Road Transport Drivers; measures: Value","Occupation: 822 Mobile Machine Drivers and Operatives; measures: Value","Occupation: 823 Other Drivers and Transport Operatives; measures: Value","Occupation: 9 Elementary occupations; measures: Value","Occupation: 91 Elementary trades and related occupations; measures: Value","Occupation: 911 Elementary Agricultural Occupations; measures: Value","Occupation: 912 Elementary Construction Occupations; measures: Value","Occupation: 913 Elementary Process Plant Occupations; measures: Value","Occupation: 92 Elementary administration and service occupations; measures: Value","Occupation: 921 Elementary Administration Occupations; measures: Value","Occupation: 923 Elementary Cleaning Occupations; measures: Value","Occupation: 924 Elementary Security Occupations; measures: Value","Occupation: 925 Elementary Sales Occupations; measures: Value","Occupation: 926 Elementary Storage Occupations; measures: Value","Occupation: 927 Other Elementary Services Occupations; measures: Value"
"E33018114","E01008910","E02001876",2011,2456,200,189,1,14,69,59,23,3,8,12,11,0,1,0,10,91,18,2,8,6,1,1,13,9,0,4,7,7,53,5,23,10,9,0,6,0,430,12,10,0,2,10,1,9,305,305,6,6,0,0,97,1,1,43,25,0,27,285,268,157,47,25,32,7,17,17,76,1,1,42,3,18,6,11,4,8,5,2,1,25,0,7,17,1,165,142,10,0,132,23,11,6,2,4,91,62,49,6,7,29,24,5,161,48,5,22,18,3,113,98,6,9,957,27,1,6,20,930,802,50,24,2,30,22
"E33018115","E01033638","E02001875",2011,821,131,109,1,21,11,2,6,0,0,68,22,0,3,2,17,49,21,0,2,18,0,1,2,2,0,0,3,3,23,0,13,7,0,0,3,0,73,18,11,1,6,2,2,0,3,3,3,1,0,2,47,0,2,19,12,0,14,159,145,1,35,42,62,5,14,14,61,3,3,27,5,17,2,2,1,17,11,3,3,14,0,0,3,11,6,6,3,0,3,0,0,0,0,0,82,55,42,2,11,27,22,5,87,48,4,23,14,7,39,35,4,0,173,23,0,3,20,150,5,8,19,3,109,6
"E33018116","E01008913","E02001876",2011,363,30,26,0,14,5,1,3,0,0,3,4,0,1,0,3,30,24,0,13,10,0,1,0,0,0,0,0,0,6,0,3,0,0,0,3,0,38,8,6,0,2,3,0,3,2,2,1,1,0,0,24,0,0,3,15,0,6,40,34,1,8,15,9,1,6,6,40,0,0,31,1,17,3,1,9,4,4,0,0,5,4,1,0,0,6,1,0,0,1,5,2,0,3,0,13,7,6,1,0,6,4,2,117,69,3,22,43,1,48,17,8,23,49,27,0,0,27,22,1,4,4,0,7,6
"E33018117","E01008899","E02001863",2011,383,40,38,2,21,5,1,6,0,0,3,2,0,0,0,2,27,12,0,8,4,0,0,1,1,0,0,0,0,14,0,6,0,0,0,8,0,14,4,3,0,1,0,0,0,1,1,0,0,0,0,9,0,0,1,7,0,1,26,22,1,5,6,7,3,4,4,86,0,0,75,2,64,2,3,4,6,6,0,0,5,1,0,4,0,2,1,0,0,1,1,0,0,0,1,18,16,16,0,0,2,2,0,112,81,16,39,24,2,31,24,7,0,58,26,0,1,25,32,2,8,1,0,19,2
"E33018118","E01008899","E02001863",2011,256,29,25,1,14,4,0,1,0,0,5,4,0,0,2,2,27,15,0,11,3,1,0,8,7,0,1,1,1,3,0,0,0,1,0,2,0,23,8,8,0,0,1,0,1,1,1,0,0,0,0,13,0,0,3,10,0,0,28,17,1,6,3,5,2,11,11,57,2,2,45,0,20,24,1,0,7,0,7,0,3,0,0,3,0,23,23,1,16,6,0,0,0,0,0,9,9,7,0,2,0,0,0,44,32,7,17,7,1,12,9,3,0,16,1,0,0,1,15,1,3,0,0,8,3
"E33018119","E01008899","E02001863",2011,452,44,43,0,9,10,0,7,0,0,17,1,0,0,0,1,13,10,0,2,8,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,70,7,1,0,6,2,1,1,1,1,2,0,2,0,58,0,0,6,50,0,2,87,78,0,33,17,24,4,9,9,25,0,0,16,1,3,10,2,0,2,0,1,1,7,1,2,3,1,2,1,0,0,1,1,0,0,1,0,34,13,10,0,3,21,18,3,63,22,4,14,4,0,41,30,11,0,114,13,0,0,13,101,0,8,3,1,86,3
"E33018120","E01008899","E02001863",2011,465,68,51,2,27,7,0,6,0,0,9,17,0,0,0,17,23,13,0,9,3,0,1,0,0,0,0,0,0,10,0,2,5,0,0,3,0,29,1,1,0,0,0,0,0,1,1,3,1,2,0,24,0,0,6,17,0,1,48,39,0,7,5,19,8,9,9,110,0,0,77,7,37,21,11,1,25,19,5,1,8,0,5,2,1,1,0,0,0,0,1,0,0,0,1,20,10,7,2,1,10,7,3,108,65,26,17,20,2,43,31,11,1,58,15,3,3,9,43,7,5,6,0,25,0
"E33018121","E01008901","E02001863",2011,659,41,27,2,2,10,1,3,0,1,8,14,0,11,0,3,45,5,0,0,4,0,1,10,2,3,5,15,15,15,4,3,0,0,2,0,6,122,0,0,0,0,8,0,8,2,2,60,7,2,51,52,1,0,1,41,0,9,67,54,2,21,3,26,2,13,13,55,9,9,8,1,3,1,3,0,8,8,0,0,30,1,0,29,0,60,29,19,0,10,31,23,1,7,0,70,59,56,2,1,11,8,3,14,9,5,2,0,2,5,4,1,0,185,8,0,3,5,177,2,19,16,0,13,127
"E33018122","E01008901","E02001863",2011,667,62,48,0,14,13,0,3,0,1,17,14,0,3,2,9,171,117,1,53,61,1,1,19,2,0,17,2,2,33,0,22,2,2,2,5,0,127,26,10,1,15,3,1,2,34,34,4,0,4,0,60,1,2,6,16,0,35,99,82,20,22,12,21,7,17,17,44,1,1,30,1,3,19,4,3,2,2,0,0,11,0,0,6,5,24,24,4,0,20,0,0,0,0,0,58,48,43,2,3,10,8,2,44,13,2,11,0,0,31,29,2,0,38,7,0,3,4,31,3,5,10,0,8,5
"E33018123","E01008901","E02001863",2011,314,14,12,1,2,2,0,6,0,0,1,2,0,1,0,1,81,4,0,2,2,0,0,6,5,0,1,65,65,6,0,3,0,2,1,0,0,28,9,6,0,3,4,1,3,1,1,2,0,0,2,12,0,0,1,3,0,8,32,24,1,5,8,8,2,8,8,8,1,1,3,1,0,1,1,0,3,2,1,0,1,1,0,0,0,28,23,10,0,13,5,1,0,3,1,4,4,4,0,0,0,0,0,97,2,0,0,0,2,95,92,2,1,22,3,0,0,3,19,0,9,5,0,1,4
"E33018124","E01008901","E02001863",2011,509,75,60,0,9,21,0,5,1,0,24,15,0,0,0,15,46,15,0,3,11,1,0,2,2,0,0,2,2,27,1,20,4,0,0,2,0,82,8,0,0,8,0,0,0,0,0,0,0,0,0,74,0,2,21,34,0,17,96,76,0,45,6,23,2,20,20,28,0,0,19,2,2,9,3,3,5,3,0,2,4,0,0,3,1,3,2,1,0,1,1,1,0,0,0,116,22,14,5,3,94,80,14,34,14,1,2,10,1,20,15,5,0,29,4,0,2,2,25,1,5,1,0,12,6
"E33018125","E01008901","E02001863",2011,471,61,53,0,39,6,0,2,0,0,6,8,0,3,0,5,47,27,1,14,12,0,0,1,0,0,1,0,0,19,0,4,10,0,0,5,0,46,16,13,3,0,1,1,0,0,0,1,0,1,0,28,0,0,2,20,0,6,48,39,0,20,5,10,4,9,9,96,0,0,54,8,24,13,6,3,38,34,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,33,31,27,1,3,2,1,1,96,70,27,34,5,4,26,14,12,0,44,25,0,9,16,19,2,3,6,0,5,3
