"wz11cd","lsoa11cd","msoa11cd","date","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"E33018159","E01009069","E02001901",2011,261,13,1,7,65,2,1,118,11,7,36,0
"E33018160","E01009098","E02001851",2011,842,15,0,3,76,2,14,600,36,33,61,2
"E33018161","E01009102","E02001854",2011,1571,3,1,18,167,6,12,1200,74,39,48,3
"E33018162","E01009102","E02001854",2011,1166,0,2,19,222,10,4,713,93,18,83,2
"E33018163","E01009102","E02001854",2011,388,0,0,3,40,0,1,289,30,9,16,0
"E33018164","E01009102","E02001854",2011,584,0,1,7,53,8,3,471,16,13,11,1
"E33018165","E01009102","E02001854",2011,313,4,0,3,22,0,4,243,18,7,12,0
"E33018166","E01009102","E02001854",2011,304,3,0,8,29,0,2,238,14,3,7,0
"E33018167","E01009102","E02001854",2011,1483,0,4,48,183,19,10,1099,73,16,29,2
"E33018168","E01009102","E02001854",2011,1028,2,0,5,144,2,9,718,70,24,51,3
"E33018169","E01009101","E02001855",2011,711,3,1,13,124,8,4,431,57,14,53,3
"E33018170","E01009101","E02001855",2011,2810,1,0,9,156,6,24,2172,238,100,102,2
"E33018171","E01009101","E02001855",2011,526,7,0,11,67,4,5,341,30,30,30,1
"E33018172","E01009119","E02001949",2011,249,0,0,3,25,1,3,166,16,10,24,1
"E33018173","E01009119","E02001949",2011,274,6,0,7,52,0,1,161,15,3,28,1
"E33018174","E01009119","E02001949",2011,668,0,0,30,96,1,1,448,44,10,36,2
"E33018175","E01009119","E02001949",2011,386,0,1,14,34,0,2,291,20,4,20,0
"E33018176","E01009119","E02001949",2011,745,0,1,21,83,3,7,539,35,11,45,0
"E33018177","E01009116","E02001953",2011,965,17,0,21,81,6,13,683,34,34,73,3
"E33018178","E01033627","E02006898",2011,3549,0,65,876,662,8,15,1333,139,25,417,9
"E33018179","E01033627","E02006898",2011,377,5,8,58,93,3,0,166,8,8,28,0
"E33018180","E01033622","E02006899",2011,1633,16,41,211,214,14,9,863,71,21,166,7
"E33018181","E01033627","E02006898",2011,373,4,2,102,49,0,0,157,9,10,40,0
"E33018182","E01033627","E02006898",2011,1013,0,15,195,210,2,7,355,43,8,177,1
"E33018183","E01033627","E02006898",2011,1158,4,15,344,188,6,9,436,23,15,118,0
"E33018184","E01009146","E02006897",2011,249,14,2,24,66,0,1,89,11,4,37,1
"E33018185","E01009146","E02006897",2011,364,0,3,64,102,4,0,115,12,9,54,1
"E33018186","E01009146","E02006897",2011,389,4,4,44,129,6,2,87,5,4,104,0
"E33018187","E01009146","E02006897",2011,2428,0,61,491,675,9,6,918,135,20,111,2
"E33018188","E01033639","E02006897",2011,367,12,2,36,74,2,1,210,12,1,15,2
"E33018189","E01033639","E02006897",2011,377,1,3,27,122,6,1,134,14,2,67,0
"E33018190","E01033639","E02006897",2011,749,3,5,116,116,2,1,446,22,3,35,0
"E33018191","E01033639","E02006897",2011,539,24,5,17,131,3,3,194,41,9,110,2
"E33018192","E01033639","E02006897",2011,424,3,7,57,91,2,3,228,10,4,19,0
"E33018193","E01033639","E02006897",2011,588,0,5,110,102,2,5,274,19,12,59,0
"E33018194","E01033623","E02006899",2011,675,9,17,88,128,3,1,372,16,6,30,5
"E33018195","E01009159","E02001956",2011,1194,10,49,44,139,4,4,764,57,10,110,3
"E33018196","E01009159","E02001956",2011,709,8,1,5,87,4,3,337,68,9,185,2
"E33018197","E01009184","E02001918",2011,1210,18,1,8,227,1,4,770,41,18,120,2
"E33018198","E01009188","E02001918",2011,458,17,0,8,71,4,2,284,15,16,39,2
"E33018199","E01009178","E02001930",2011,539,25,0,14,66,2,1,328,30,5,66,2
"E33018200","E01009178","E02001930",2011,496,13,0,10,147,4,2,211,23,12,73,1
"E33018201","E01009178","E02001930",2011,386,1,1,13,145,4,0,139,25,4,54,0
"E33018202","E01009203","E02001869",2011,806,6,2,28,82,4,4,580,69,16,9,6
"E33018203","E01009199","E02001878",2011,850,10,0,15,120,33,13,543,62,8,40,6
"E33018204","E01009204","E02001878",2011,302,5,1,9,36,3,0,214,16,4,14,0
"E33018205","E01009204","E02001878",2011,312,0,0,14,27,0,2,235,19,3,10,2
"E33018206","E01009204","E02001878",2011,370,0,6,15,41,3,6,277,12,3,6,1
"E33018207","E01009204","E02001878",2011,255,0,0,20,26,0,3,182,17,3,3,1
"E33018208","E01033644","E02001878",2011,208,0,0,5,27,0,0,136,9,2,28,1
"E33018209","E01033644","E02001878",2011,257,0,0,14,17,0,5,197,19,2,3,0
"E33018210","E01033644","E02001878",2011,932,1,2,29,130,9,7,642,45,12,50,5
"E33018211","E01009194","E02001877",2011,327,5,0,10,38,1,0,197,21,8,45,2
"E33018212","E01009198","E02001884",2011,277,0,0,2,70,2,1,153,13,7,28,1
"E33018213","E01009198","E02001884",2011,293,0,3,5,38,0,2,178,24,2,40,1
"E33018214","E01009198","E02001884",2011,267,2,0,8,68,0,0,146,19,3,21,0
"E33018215","E01009198","E02001884",2011,327,3,0,7,54,1,1,210,21,7,23,0
"E33018216","E01009200","E02006900",2011,197,0,0,13,29,0,8,135,7,1,4,0
"E33018217","E01009200","E02006900",2011,248,4,1,31,49,5,0,124,11,5,14,4
"E33018218","E01009200","E02006900",2011,422,0,0,27,99,2,3,227,20,7,37,0
"E33018219","E01009200","E02006900",2011,745,1,2,10,210,3,6,457,21,14,19,2
"E33018220","E01009200","E02006900",2011,284,5,1,14,54,1,5,173,11,2,18,0
"E33018221","E01009200","E02006900",2011,301,1,2,13,46,1,3,197,17,3,12,6
"E33018222","E01009200","E02006900",2011,278,4,0,9,50,2,6,177,14,3,11,2
"E33018223","E01009200","E02006900",2011,965,1,3,114,202,3,2,516,25,40,55,4
"E33018224","E01009202","E02001869",2011,222,13,1,5,27,0,1,142,21,3,8,1
"E33018225","E01009202","E02001869",2011,1138,0,1,13,200,7,13,776,50,15,62,1
"E33018226","E01009202","E02001869",2011,226,1,0,4,20,0,2,178,10,7,4,0
"E33018227","E01009202","E02001869",2011,530,3,5,9,71,2,1,390,19,17,13,0
"E33018228","E01009203","E02001869",2011,275,0,1,20,18,2,0,219,5,3,7,0
"E33018229","E01009203","E02001869",2011,279,5,2,6,42,1,1,198,6,3,13,2
"E33018230","E01009203","E02001869",2011,380,0,0,15,51,0,7,271,16,8,11,1
"E33018231","E01009203","E02001869",2011,300,0,0,7,25,0,7,232,20,4,5,0
"E33018232","E01009203","E02001869",2011,242,0,0,9,33,1,3,169,18,4,5,0
"E33018233","E01009203","E02001869",2011,312,2,1,6,19,2,4,243,29,1,4,1
"E33018234","E01009203","E02001869",2011,252,0,0,5,28,0,6,189,9,8,6,1
"E33018235","E01009203","E02001869",2011,470,1,1,13,35,0,5,386,18,5,6,0
"E33018236","E01009201","E02001869",2011,258,2,0,6,38,4,4,146,26,2,30,0
"E33018237","E01009201","E02001869",2011,417,6,0,8,44,2,7,310,26,5,8,1
"E33018238","E01009201","E02001869",2011,564,8,0,17,100,1,10,354,27,15,32,0
"E33018239","E01009219","E02001946",2011,933,11,6,17,300,9,3,391,43,3,149,1
"E33018240","E01009232","E02001848",2011,452,8,2,8,74,0,4,297,20,6,32,1
"E33018241","E01009222","E02001834",2011,207,0,1,4,16,0,0,155,11,2,18,0
"E33018242","E01009222","E02001834",2011,668,7,1,6,62,1,9,463,40,12,64,3
"E33018243","E01009223","E02001839",2011,930,5,1,0,103,3,3,594,66,5,149,1
"E33018244","E01009239","E02001859",2011,339,5,0,4,38,0,5,229,20,8,29,1
"E33018245","E01009239","E02001859",2011,1179,0,4,10,116,4,7,898,82,14,40,4
"E33018246","E01009239","E02001859",2011,715,5,0,5,68,3,7,536,39,16,36,0
"E33018247","E01009239","E02001859",2011,516,7,1,9,110,3,3,328,20,9,26,0
"E33018248","E01009239","E02001859",2011,864,0,0,23,153,5,8,518,71,25,58,3
"E33018249","E01009240","E02001850",2011,316,7,1,12,39,2,4,191,27,3,29,1
"E33018250","E01009242","E02001850",2011,1210,13,5,52,405,5,5,535,52,10,124,4
"E33018251","E01009284","E02001922",2011,1423,10,2,66,219,14,2,928,51,28,103,0
"E33018252","E01009280","E02001926",2011,687,12,1,19,105,4,1,446,35,9,54,1
"E33018253","E01009281","E02001925",2011,230,21,0,11,24,2,2,115,14,2,39,0
"E33018254","E01009281","E02001925",2011,306,18,0,7,32,3,0,199,10,7,30,0
"E33018255","E01009303","E02001883",2011,633,3,0,6,69,3,9,465,35,9,34,0
"E33018256","E01009306","E02001872",2011,218,9,0,2,19,1,4,143,11,11,18,0
"E33018257","E01009315","E02001907",2011,810,0,1,8,151,3,4,459,46,7,131,0
"E33018258","E01009315","E02001907",2011,560,8,1,5,93,7,3,326,33,8,74,2
"E33018259","E01009320","E02001907",2011,252,3,0,5,23,2,2,173,16,3,24,1
"E33018260","E01009320","E02001907",2011,375,2,2,8,46,1,0,235,30,12,37,2
"E33018261","E01009320","E02001907",2011,247,5,0,3,38,3,0,148,14,4,32,0
"E33018262","E01009320","E02001907",2011,694,6,1,12,59,1,1,535,30,12,35,2
"E33018263","E01009321","E02001895",2011,739,5,1,9,39,0,9,601,29,17,25,4
"E33018264","E01009322","E02001895",2011,994,0,0,12,113,5,5,717,62,20,56,4
"E33018265","E01009322","E02001895",2011,787,0,1,16,76,2,6,590,49,14,31,2
"E33018266","E01009322","E02001895",2011,350,4,2,5,84,4,2,216,14,5,13,1
"E33018267","E01009332","E02006900",2011,308,13,0,3,60,0,0,173,14,0,42,3
"E33018268","E01009329","E02001896",2011,222,15,1,5,24,4,0,147,1,2,22,1
"E33018269","E01009329","E02001896",2011,385,18,0,11,58,4,0,209,18,5,62,0
"E33018270","E01009339","E02006901",2011,390,8,0,10,38,0,7,262,37,10,18,0
"E33018271","E01009338","E02001896",2011,1471,12,2,39,167,7,8,1095,72,27,37,5
"E33018272","E01009340","E02006901",2011,741,3,1,44,95,7,17,481,31,21,38,3
"E33018273","E01009339","E02006901",2011,207,7,4,0,33,1,2,107,16,1,34,2
"E33018274","E01009339","E02006901",2011,1079,4,15,32,111,1,9,817,38,16,34,2
"E33018275","E01009341","E02001892",2011,4359,9,7,59,709,34,13,3033,247,49,187,12
"E33018276","E01009332","E02006900",2011,793,10,5,11,223,3,6,444,26,9,54,2
"E33018277","E01009332","E02006900",2011,443,16,0,2,70,4,0,245,28,6,65,7
"E33018278","E01009349","E02001862",2011,360,13,8,2,79,0,0,169,27,5,56,1
"E33018279","E01033635","E02001865",2011,276,2,2,1,53,4,1,173,7,3,30,0
"E33018280","E01033635","E02001865",2011,535,5,4,3,104,2,0,304,27,4,76,6
"E33018281","E01009354","E02001862",2011,228,20,3,3,27,0,3,136,15,0,21,0
"E33018282","E01009379","E02001897",2011,573,15,2,14,102,4,0,346,23,8,58,1
"E33018283","E01009364","E02001897",2011,448,5,1,5,91,1,4,256,44,1,38,2
"E33018284","E01009364","E02001897",2011,367,3,1,9,47,2,3,274,11,5,10,2
"E33018285","E01009364","E02001897",2011,372,7,0,8,45,1,2,248,31,12,16,2
"E33018286","E01009378","E02006896",2011,517,7,5,18,114,3,1,276,31,13,46,3
"E33018287","E01009367","E02001909",2011,195,0,0,2,33,1,2,132,12,3,9,1
"E33018288","E01009367","E02001909",2011,234,14,1,4,32,3,1,124,14,4,36,1
"E33018289","E01009367","E02001909",2011,392,1,0,13,63,0,4,260,15,14,21,1
"E33018290","E01009371","E02001903",2011,274,12,1,4,36,0,0,153,20,3,43,2
"E33018291","E01033641","E02006901",2011,423,5,1,6,53,5,1,266,24,4,58,0
"E33018292","E01009400","E02001857",2011,768,0,5,14,131,0,6,535,21,18,38,0
"E33018293","E01009400","E02001857",2011,491,5,1,22,61,3,4,349,31,2,13,0
"E33018294","E01009400","E02001857",2011,551,2,0,11,60,1,5,428,21,10,10,3
"E33018295","E01009423","E02001828",2011,759,28,2,18,53,0,0,510,54,10,83,1
"E33018296","E01009424","E02001830",2011,360,5,1,28,40,0,3,233,21,2,26,1
"E33018297","E01009424","E02001830",2011,598,5,1,37,42,1,9,458,14,7,24,0
"E33018298","E01009432","E02001832",2011,696,3,0,7,39,0,6,558,31,16,36,0
"E33018299","E01009449","E02001835",2011,343,14,0,14,39,0,0,236,8,1,31,0
"E33018300","E01009450","E02001838",2011,553,54,0,1,33,2,6,390,41,12,12,2
"E33018301","E01009443","E02001847",2011,981,16,1,1,147,7,7,578,99,19,103,3
"E33018302","E01009443","E02001847",2011,727,6,1,3,59,0,6,564,39,18,31,0
"E33018303","E01009441","E02001847",2011,445,0,0,5,32,0,5,351,24,7,21,0
"E33018304","E01009441","E02001847",2011,1078,8,0,4,82,3,11,803,102,28,35,2
"E33018305","E01009449","E02001835",2011,248,0,0,17,21,1,2,173,8,0,26,0
"E33018306","E01009449","E02001835",2011,319,10,0,11,63,0,1,164,23,1,44,2
"E33018307","E01009449","E02001835",2011,336,6,1,26,89,0,0,174,18,0,21,1
"E33018308","E01009449","E02001835",2011,744,0,0,70,149,1,1,404,52,3,64,0
"E33018309","E01009449","E02001835",2011,600,3,5,55,176,3,2,252,49,2,52,1
"E33018310","E01009449","E02001835",2011,559,6,0,51,58,0,1,364,28,3,48,0
"E33018311","E01009474","E02001836",2011,610,4,1,12,79,3,0,383,39,7,80,2
"E33018312","E01009456","E02001844",2011,315,17,0,5,18,0,0,228,17,3,27,0
"E33018313","E01009478","E02001874",2011,821,16,4,12,123,3,4,557,34,21,44,3
"E33018314","E01009483","E02001877",2011,520,14,2,6,138,4,1,293,34,7,20,1
"E33019808","E01009378","E02006896",2011,405,6,0,16,137,1,1,208,20,3,13,0
"E33019809","E01033559","E02001875",2011,266,0,3,29,29,0,1,165,16,2,21,0
"E33019810","E01033559","E02001875",2011,307,3,9,35,31,0,5,183,25,4,12,0
"E33019811","E01033559","E02001875",2011,294,0,6,35,46,0,3,161,15,8,18,2
"E33019812","E01033559","E02001875",2011,396,4,11,42,51,2,3,237,24,3,18,1
"E33019813","E01033559","E02001875",2011,225,0,4,5,60,1,0,130,21,2,2,0
"E33019814","E01033559","E02001875",2011,238,0,2,37,34,0,0,125,13,7,19,1
"E33019815","E01033559","E02001875",2011,208,4,2,20,29,1,2,128,8,4,10,0
"E33019816","E01033559","E02001875",2011,224,0,0,6,42,1,1,150,16,1,6,1
"E33019817","E01033559","E02001875",2011,307,4,5,22,43,5,1,193,15,1,18,0
"E33019818","E01033559","E02001875",2011,446,0,2,45,79,0,1,257,37,3,22,0
"E33019819","E01033561","E02001876",2011,239,1,1,15,48,0,0,154,10,1,7,2
"E33019820","E01033561","E02001876",2011,595,0,2,113,102,2,10,308,18,18,22,0
"E33019821","E01033561","E02001876",2011,236,1,0,12,42,0,0,161,7,2,11,0
"E33019822","E01033561","E02001876",2011,411,5,1,58,105,0,2,196,17,15,12,0
"E33019823","E01033561","E02001876",2011,1444,0,44,348,457,3,1,331,67,13,179,1
"E33019824","E01033561","E02001876",2011,865,11,3,95,129,5,6,488,37,33,53,5
"E33019825","E01033562","E02001913",2011,237,0,0,27,36,0,0,144,11,5,14,0
"E33019826","E01033562","E02001913",2011,459,8,1,44,75,1,2,292,12,4,20,0
"E33019827","E01033562","E02001913",2011,1615,1,1,111,233,8,8,1003,90,39,120,1
"E33019828","E01033562","E02001913",2011,1687,9,2,139,187,3,4,1143,76,27,97,0
"E33019829","E01033562","E02001913",2011,4392,0,8,396,629,23,20,2658,217,118,314,9
"E33019830","E01033616","E02006896",2011,317,6,4,40,55,0,0,167,13,2,30,0
"E33019831","E01033615","E02006896",2011,292,1,2,59,60,0,1,131,14,2,21,1
