"wz11cd","lsoa11cd","msoa11cd","date","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"E33019890","E01033620","E02006899",2011,1440,0,48,438,354,6,1,434,64,6,87,2
"E33019891","E01033620","E02006899",2011,907,2,22,365,244,0,3,181,31,4,53,2
"E33019892","E01033620","E02006899",2011,1291,0,40,517,287,2,2,338,24,8,71,2
"E33019893","E01033620","E02006899",2011,769,1,19,202,231,1,1,241,21,6,43,3
"E33019894","E01033620","E02006899",2011,676,0,4,313,160,0,0,116,25,9,47,2
"E33019895","E01033620","E02006899",2011,985,0,36,300,295,4,2,233,27,9,77,2
"E33019896","E01033620","E02006899",2011,485,0,7,197,100,4,5,127,16,4,25,0
"E33019897","E01033620","E02006899",2011,198,0,1,72,50,0,1,47,5,5,16,1
"E33019898","E01033620","E02006899",2011,391,0,4,164,82,0,2,108,9,1,21,0
"E33019899","E01033620","E02006899",2011,855,0,14,293,198,3,2,261,32,9,43,0
"E33019900","E01033620","E02006899",2011,988,0,30,344,164,2,2,328,21,16,79,2
"E33019901","E01033620","E02006899",2011,273,0,5,68,106,0,1,55,12,1,25,0
"E33019902","E01033620","E02006899",2011,496,0,13,138,175,6,4,93,16,15,35,1
"E33019903","E01033620","E02006899",2011,1354,0,19,243,343,23,2,584,60,15,58,7
"E33019904","E01033620","E02006899",2011,1824,1,43,794,356,0,4,401,47,18,160,0
"E33019905","E01033620","E02006899",2011,410,2,8,161,78,0,2,116,8,1,33,1
"E33019906","E01033620","E02006899",2011,313,0,14,128,41,0,0,111,7,1,10,1
"E33019907","E01033620","E02006899",2011,614,8,3,172,139,7,6,223,21,8,27,0
"E33019908","E01033625","E02006899",2011,1352,0,14,580,172,2,13,433,22,37,75,4
"E33019909","E01033625","E02006899",2011,2021,0,15,747,266,5,12,659,53,51,207,6
"E33019910","E01033625","E02006899",2011,329,12,4,81,74,0,2,89,13,17,37,0
"E33019911","E01033625","E02006899",2011,282,30,1,56,55,3,4,98,8,1,26,0
"E33019912","E01033617","E02001876",2011,603,14,9,103,97,3,7,318,23,8,21,0
"E33019913","E01033625","E02006899",2011,906,12,20,273,236,6,3,279,20,14,41,2
"E33019914","E01033625","E02006899",2011,521,1,2,120,180,2,5,153,11,4,42,1
"E33019915","E01033625","E02006899",2011,268,0,4,81,55,4,0,55,11,13,45,0
"E33019916","E01033625","E02006899",2011,666,30,7,233,157,2,2,143,17,15,58,2
"E33019917","E01033617","E02001876",2011,1687,26,7,250,305,16,10,890,81,30,66,6
"E33019918","E01008899","E02001863",2011,312,1,2,18,29,0,0,230,17,2,10,3
"E33019919","E01033620","E02006899",2011,441,0,16,81,202,1,2,95,12,1,30,1
"E33019920","E01033620","E02006899",2011,1005,0,24,171,448,5,4,229,38,7,74,5
"E33019921","E01033620","E02006899",2011,309,0,3,85,118,1,0,77,15,1,7,2
"E33019922","E01033620","E02006899",2011,865,0,18,167,432,0,2,155,36,4,50,1
"E33019923","E01033620","E02006899",2011,319,1,7,42,157,4,0,75,8,2,23,0
"E33019924","E01033620","E02006899",2011,1357,0,22,486,394,5,6,334,45,5,57,3
"E33019925","E01033620","E02006899",2011,331,0,11,85,82,0,2,121,13,2,15,0
"E33019926","E01033620","E02006899",2011,348,3,7,69,148,1,0,89,4,7,19,1
"E33019927","E01033620","E02006899",2011,620,0,14,157,240,1,7,128,5,4,62,2
"E33019928","E01033620","E02006899",2011,434,0,14,95,149,1,0,132,10,3,30,0
"E33019929","E01033620","E02006899",2011,354,0,5,52,180,1,0,61,17,2,35,1
"E33019930","E01033620","E02006899",2011,368,1,8,131,110,2,1,63,13,7,29,3
"E33019931","E01033620","E02006899",2011,370,0,1,121,90,1,2,116,11,3,25,0
"E33019932","E01033620","E02006899",2011,206,0,4,40,110,0,0,25,7,3,15,2
"E33019933","E01033620","E02006899",2011,333,1,7,38,160,1,0,81,14,8,23,0
"E33019934","E01033620","E02006899",2011,523,0,20,197,149,2,1,90,19,8,37,0
"E33019935","E01033620","E02006899",2011,2606,0,50,1005,523,3,14,685,78,27,220,1
"E33019936","E01033622","E02006899",2011,233,5,7,52,36,0,1,111,7,6,8,0
"E33019937","E01033622","E02006899",2011,306,10,5,62,49,0,0,137,13,4,24,2
"E33019938","E01033622","E02006899",2011,677,0,11,267,113,1,4,209,20,9,43,0
"E33019939","E01033619","E02006898",2011,264,10,1,28,42,1,0,146,20,2,13,1
"E33019940","E01033619","E02006898",2011,420,0,6,35,80,3,1,208,20,14,52,1
"E33019941","E01033619","E02006898",2011,348,0,11,42,59,1,5,196,12,10,12,0
"E33019942","E01033623","E02006899",2011,324,1,5,32,57,1,4,186,13,9,15,1
"E33019943","E01033623","E02006899",2011,615,7,22,103,107,1,5,290,30,6,42,2
"E33019944","E01033623","E02006899",2011,600,5,11,65,144,0,3,285,22,13,52,0
"E33019945","E01033631","E02001905",2011,233,21,0,24,38,0,0,100,8,12,29,1
"E33019946","E01033631","E02001905",2011,576,11,2,90,54,0,8,355,15,10,26,5
"E33019947","E01009143","E02006897",2011,601,0,3,79,86,2,2,387,19,3,19,1
"E33019948","E01009143","E02006897",2011,447,19,1,13,91,8,2,254,14,7,37,1
"E33019949","E01009143","E02006897",2011,1166,3,13,108,237,1,4,665,47,11,75,2
"E33019950","E01033565","E02006898",2011,1072,9,34,195,309,4,0,411,40,1,67,2
"E33019951","E01033620","E02006899",2011,559,1,15,230,87,1,2,139,17,10,57,0
"E33019952","E01033620","E02006899",2011,350,1,1,104,118,4,0,62,11,2,42,5
"E33019953","E01033620","E02006899",2011,359,5,5,58,134,3,2,111,16,6,19,0
"E33019954","E01009342","E02001889",2011,1441,19,4,32,287,10,3,893,73,17,101,2
"E33019955","E01033622","E02006899",2011,443,6,10,94,73,2,1,211,6,7,33,0
"E33019956","E01033623","E02006899",2011,212,4,1,35,30,0,0,126,1,5,9,1
"E33019957","E01009239","E02001859",2011,1563,6,7,145,259,5,12,1013,36,18,58,4
"E33019958","E01009239","E02001859",2011,698,0,1,32,98,2,7,478,35,10,33,2
"E33019959","E01009239","E02001859",2011,535,0,0,10,69,1,1,371,40,17,21,5
"E33019960","E01008914","E02001876",2011,248,0,1,7,55,1,0,156,19,3,6,0
"E33019961","E01008914","E02001876",2011,215,2,2,8,45,0,1,139,12,1,5,0
"E33019962","E01008914","E02001876",2011,246,0,3,7,59,2,4,147,11,1,10,2
"E33019963","E01008914","E02001876",2011,227,0,4,3,21,0,4,182,8,1,4,0
"E33019964","E01008914","E02001876",2011,224,2,4,5,19,1,0,172,12,5,3,1
"E33019965","E01008914","E02001876",2011,444,0,5,16,77,1,3,297,22,7,15,1
"E33019966","E01009418","E02001827",2011,284,112,0,4,4,0,1,143,8,1,8,3
"E33019966","E01009433","E02001827",2011,284,112,0,4,4,0,1,143,8,1,8,3
"E33019967","E01009418","E02001827",2011,635,231,0,7,15,0,0,304,20,3,50,5
"E33019967","E01009433","E02001827",2011,635,231,0,7,15,0,0,304,20,3,50,5
"E33019967","E01009419","E02001827",2011,635,231,0,7,15,0,0,304,20,3,50,5
"E33019967","E01009417","E02001827",2011,635,231,0,7,15,0,0,304,20,3,50,5
"E33019968","E01009415","E02001828",2011,258,117,1,11,4,0,0,115,5,1,3,1
"E33019968","E01009423","E02001828",2011,258,117,1,11,4,0,0,115,5,1,3,1
"E33019969","E01009423","E02001828",2011,437,62,0,9,25,0,2,273,30,1,34,1
"E33019969","E01009425","E02001828",2011,437,62,0,9,25,0,2,273,30,1,34,1
"E33019970","E01009425","E02001828",2011,420,45,2,22,8,1,1,287,14,2,38,0
"E33019970","E01009415","E02001828",2011,420,45,2,22,8,1,1,287,14,2,38,0
"E33019970","E01009422","E02001828",2011,420,45,2,22,8,1,1,287,14,2,38,0
"E33019971","E01009425","E02001828",2011,475,34,0,17,37,2,1,317,23,3,39,2
"E33019972","E01009422","E02001828",2011,496,122,0,18,15,1,2,287,15,3,32,1
"E33019972","E01009425","E02001828",2011,496,122,0,18,15,1,2,287,15,3,32,1
"E33019973","E01009420","E02001829",2011,364,154,1,6,6,0,0,162,11,7,16,1
"E33019973","E01009426","E02001829",2011,364,154,1,6,6,0,0,162,11,7,16,1
"E33019973","E01009416","E02001829",2011,364,154,1,6,6,0,0,162,11,7,16,1
"E33019974","E01009416","E02001829",2011,324,142,0,3,8,1,0,153,7,0,8,2
"E33019975","E01009431","E02001829",2011,367,117,0,15,12,0,0,189,9,1,23,1
"E33019975","E01009429","E02001829",2011,367,117,0,15,12,0,0,189,9,1,23,1
"E33019975","E01009426","E02001829",2011,367,117,0,15,12,0,0,189,9,1,23,1
"E33019976","E01009431","E02001829",2011,412,106,1,5,14,0,4,224,37,3,16,2
"E33019976","E01009426","E02001829",2011,412,106,1,5,14,0,4,224,37,3,16,2
"E33019976","E01009429","E02001829",2011,412,106,1,5,14,0,4,224,37,3,16,2
"E33019977","E01009424","E02001830",2011,421,134,0,8,28,0,0,194,21,10,21,5
"E33019977","E01009421","E02001830",2011,421,134,0,8,28,0,0,194,21,10,21,5
"E33019978","E01009424","E02001830",2011,338,31,0,14,22,0,1,232,14,2,21,1
"E33019979","E01009424","E02001830",2011,230,36,1,4,20,0,3,144,11,8,3,0
"E33019979","E01009430","E02001830",2011,230,36,1,4,20,0,3,144,11,8,3,0
"E33019980","E01009427","E02001830",2011,333,97,0,19,10,1,2,181,10,1,11,1
"E33019980","E01009430","E02001830",2011,333,97,0,19,10,1,2,181,10,1,11,1
"E33019981","E01009430","E02001830",2011,281,86,0,9,10,2,0,144,13,0,15,2
"E33019981","E01009427","E02001830",2011,281,86,0,9,10,2,0,144,13,0,15,2
"E33019982","E01009468","E02001830",2011,278,115,0,4,22,0,0,106,16,1,12,2
"E33019983","E01009424","E02001830",2011,349,10,1,15,28,4,0,247,17,2,23,2
"E33019984","E01009424","E02001830",2011,914,126,0,50,64,2,5,599,31,4,33,0
"E33019984","E01009428","E02001830",2011,914,126,0,50,64,2,5,599,31,4,33,0
"E33019985","E01009448","E02001831",2011,321,94,0,3,25,2,2,146,21,2,24,2
"E33019985","E01009445","E02001831",2011,321,94,0,3,25,2,2,146,21,2,24,2
"E33019986","E01009447","E02001831",2011,262,98,0,3,25,0,2,102,14,0,16,2
"E33019986","E01009446","E02001831",2011,262,98,0,3,25,0,2,102,14,0,16,2
"E33019987","E01009447","E02001831",2011,704,87,0,14,21,1,1,518,29,4,24,5
"E33019987","E01009445","E02001831",2011,704,87,0,14,21,1,1,518,29,4,24,5
"E33019987","E01009446","E02001831",2011,704,87,0,14,21,1,1,518,29,4,24,5
"E33019988","E01009452","E02001831",2011,364,90,1,6,20,1,1,217,10,1,16,1
"E33019988","E01009455","E02001831",2011,364,90,1,6,20,1,1,217,10,1,16,1
"E33019989","E01009447","E02001831",2011,534,61,0,2,26,0,0,343,26,6,70,0
"E33019989","E01009452","E02001831",2011,534,61,0,2,26,0,0,343,26,6,70,0
"E33019989","E01009448","E02001831",2011,534,61,0,2,26,0,0,343,26,6,70,0
"E33019990","E01009437","E02001832",2011,213,23,0,0,23,1,0,129,14,2,18,3
"E33019991","E01009444","E02001832",2011,370,86,0,1,12,0,0,214,11,4,39,3
"E33019992","E01009454","E02001832",2011,282,112,0,3,7,0,0,125,12,1,21,1
"E33019992","E01009435","E02001832",2011,282,112,0,3,7,0,0,125,12,1,21,1
"E33019993","E01009432","E02001832",2011,3177,49,3,73,376,14,22,2103,210,33,293,1
"E33019994","E01009437","E02001832",2011,381,47,1,4,23,2,0,258,14,4,28,0
"E33019995","E01009435","E02001832",2011,327,113,0,3,32,2,0,142,14,0,21,0
"E33019995","E01009437","E02001832",2011,327,113,0,3,32,2,0,142,14,0,21,0
"E33019996","E01009467","E02001833",2011,329,102,0,6,15,0,0,168,19,2,16,1
"E33019996","E01009465","E02001833",2011,329,102,0,6,15,0,0,168,19,2,16,1
"E33019997","E01009221","E02001833",2011,345,13,1,11,58,1,3,186,18,2,52,0
"E33019998","E01009464","E02001833",2011,292,94,0,0,14,0,0,162,9,1,10,2
"E33019998","E01009465","E02001833",2011,292,94,0,0,14,0,0,162,9,1,10,2
"E33019999","E01009221","E02001833",2011,352,47,0,2,38,1,7,217,17,0,23,0
"E33019999","E01009465","E02001833",2011,352,47,0,2,38,1,7,217,17,0,23,0
"E33020000","E01009220","E02001834",2011,576,147,0,3,44,3,1,287,37,3,47,4
"E33020000","E01009233","E02001834",2011,576,147,0,3,44,3,1,287,37,3,47,4
"E33020000","E01009224","E02001834",2011,576,147,0,3,44,3,1,287,37,3,47,4
"E33020000","E01009222","E02001834",2011,576,147,0,3,44,3,1,287,37,3,47,4
"E33020001","E01009471","E02001835",2011,288,78,0,4,32,1,0,146,13,1,13,0
"E33020002","E01009453","E02001835",2011,566,85,0,13,49,3,0,344,30,2,39,1
"E33020002","E01009449","E02001835",2011,566,85,0,13,49,3,0,344,30,2,39,1
"E33020002","E01009451","E02001835",2011,566,85,0,13,49,3,0,344,30,2,39,1
"E33020003","E01009471","E02001835",2011,272,68,0,9,33,1,0,122,18,0,20,1
"E33020003","E01009466","E02001835",2011,272,68,0,9,33,1,0,122,18,0,20,1
"E33020004","E01009466","E02001835",2011,357,99,1,4,25,2,0,193,13,1,18,1
"E33020005","E01009449","E02001835",2011,506,53,1,24,59,1,4,288,31,10,35,0
"E33020006","E01009451","E02001835",2011,450,75,0,9,35,3,1,264,20,3,38,2
"E33020007","E01009472","E02001836",2011,370,131,0,9,31,0,0,171,9,3,16,0
"E33020007","E01009474","E02001836",2011,370,131,0,9,31,0,0,171,9,3,16,0
"E33020007","E01009470","E02001836",2011,370,131,0,9,31,0,0,171,9,3,16,0
"E33020008","E01009472","E02001836",2011,309,101,1,5,19,1,0,133,15,8,23,3
"E33020008","E01009135","E02001836",2011,309,101,1,5,19,1,0,133,15,8,23,3
"E33020008","E01009473","E02001836",2011,309,101,1,5,19,1,0,133,15,8,23,3
"E33020009","E01009469","E02001836",2011,263,79,0,1,5,2,1,138,17,4,16,0
"E33020009","E01009470","E02001836",2011,263,79,0,1,5,2,1,138,17,4,16,0
"E33020010","E01009474","E02001836",2011,306,96,0,5,10,1,0,144,11,4,35,0
"E33020010","E01009472","E02001836",2011,306,96,0,5,10,1,0,144,11,4,35,0
"E33020011","E01009473","E02001836",2011,1444,75,0,8,222,8,10,843,83,17,174,4
"E33020011","E01009469","E02001836",2011,1444,75,0,8,222,8,10,843,83,17,174,4
"E33020012","E01009133","E02001837",2011,654,66,0,4,73,1,0,357,45,2,100,6
"E33020012","E01009134","E02001837",2011,654,66,0,4,73,1,0,357,45,2,100,6
"E33020012","E01009131","E02001837",2011,654,66,0,4,73,1,0,357,45,2,100,6
"E33020012","E01009130","E02001837",2011,654,66,0,4,73,1,0,357,45,2,100,6
"E33020013","E01009128","E02001837",2011,357,83,0,1,38,0,0,173,33,2,25,2
"E33020013","E01009131","E02001837",2011,357,83,0,1,38,0,0,173,33,2,25,2
"E33020013","E01009127","E02001837",2011,357,83,0,1,38,0,0,173,33,2,25,2
"E33020014","E01009137","E02001837",2011,337,59,1,3,46,1,1,177,19,1,26,3
"E33020014","E01009134","E02001837",2011,337,59,1,3,46,1,1,177,19,1,26,3
"E33020015","E01009440","E02001838",2011,383,66,1,3,28,1,1,223,7,8,44,1
"E33020015","E01009436","E02001838",2011,383,66,1,3,28,1,1,223,7,8,44,1
"E33020016","E01009438","E02001838",2011,280,155,0,1,1,1,0,111,7,0,3,1
"E33020016","E01009436","E02001838",2011,280,155,0,1,1,1,0,111,7,0,3,1
"E33020017","E01009440","E02001838",2011,281,51,0,1,32,1,0,134,11,4,47,0
"E33020018","E01009450","E02001838",2011,367,153,0,3,9,0,2,162,11,0,21,6
"E33020018","E01009434","E02001838",2011,367,153,0,3,9,0,2,162,11,0,21,6
"E33020019","E01009225","E02001839",2011,365,28,0,1,28,0,1,229,16,3,59,0
"E33020019","E01009223","E02001839",2011,365,28,0,1,28,0,1,229,16,3,59,0
"E33020019","E01009228","E02001839",2011,365,28,0,1,28,0,1,229,16,3,59,0
"E33020020","E01009227","E02001839",2011,328,77,1,2,21,2,2,178,19,4,21,1
"E33020020","E01009228","E02001839",2011,328,77,1,2,21,2,2,178,19,4,21,1
"E33020021","E01009223","E02001839",2011,254,34,0,0,20,1,3,152,9,2,33,0
"E33020022","E01009228","E02001839",2011,310,68,0,5,31,2,4,151,11,2,35,1
"E33020022","E01009225","E02001839",2011,310,68,0,5,31,2,4,151,11,2,35,1
"E33020023","E01009129","E02001840",2011,305,46,0,3,22,3,3,168,26,1,31,2
"E33020023","E01009132","E02001840",2011,305,46,0,3,22,3,3,168,26,1,31,2
"E33020024","E01009121","E02001840",2011,245,35,0,1,21,2,0,152,11,1,22,0
"E33020025","E01009122","E02001840",2011,353,34,1,2,47,2,3,218,28,2,16,0
"E33020026","E01009136","E02001840",2011,376,42,0,5,65,7,2,198,10,2,44,1
"E33020026","E01009132","E02001840",2011,376,42,0,5,65,7,2,198,10,2,44,1
"E33020027","E01009121","E02001840",2011,274,35,0,3,24,1,0,166,8,0,37,0
"E33020028","E01009463","E02001841",2011,245,68,0,2,26,1,0,124,4,2,15,3
"E33020028","E01009457","E02001841",2011,245,68,0,2,26,1,0,124,4,2,15,3
"E33020029","E01009463","E02001841",2011,274,90,0,5,18,1,0,139,6,1,14,0
"E33020029","E01009459","E02001841",2011,274,90,0,5,18,1,0,139,6,1,14,0
"E33020030","E01009461","E02001841",2011,318,140,0,8,21,1,1,118,10,4,12,3
"E33020030","E01009463","E02001841",2011,318,140,0,8,21,1,1,118,10,4,12,3
"E33020031","E01009459","E02001841",2011,323,95,1,15,27,1,1,140,16,0,26,1
"E33020031","E01009457","E02001841",2011,323,95,1,15,27,1,1,140,16,0,26,1
"E33020032","E01009245","E02001842",2011,299,96,0,0,41,6,0,121,10,0,24,1
"E33020032","E01009246","E02001842",2011,299,96,0,0,41,6,0,121,10,0,24,1
"E33020032","E01009235","E02001842",2011,299,96,0,0,41,6,0,121,10,0,24,1
"E33020033","E01009247","E02001842",2011,295,61,0,4,24,1,0,161,9,2,31,2
"E33020033","E01009246","E02001842",2011,295,61,0,4,24,1,0,161,9,2,31,2
"E33020033","E01009243","E02001842",2011,295,61,0,4,24,1,0,161,9,2,31,2
"E33020034","E01009245","E02001842",2011,348,68,0,0,49,2,1,178,16,0,30,4
"E33020034","E01009243","E02001842",2011,348,68,0,0,49,2,1,178,16,0,30,4
"E33020035","E01009230","E02001843",2011,250,21,0,3,19,2,2,151,14,3,35,0
"E33020035","E01009229","E02001843",2011,250,21,0,3,19,2,2,151,14,3,35,0
"E33020036","E01009229","E02001843",2011,365,69,0,5,40,5,0,205,19,3,15,4
"E33020036","E01009231","E02001843",2011,365,69,0,5,40,5,0,205,19,3,15,4
"E33020036","E01009230","E02001843",2011,365,69,0,5,40,5,0,205,19,3,15,4
"E33020037","E01009231","E02001843",2011,322,28,0,4,23,4,1,223,6,2,31,0
"E33020038","E01009230","E02001843",2011,648,54,1,4,116,2,2,357,34,1,72,5
"E33020038","E01009226","E02001843",2011,648,54,1,4,116,2,2,357,34,1,72,5
"E33020038","E01009229","E02001843",2011,648,54,1,4,116,2,2,357,34,1,72,5
"E33020039","E01009226","E02001843",2011,317,44,0,2,40,2,0,182,15,1,30,1
"E33020040","E01009462","E02001844",2011,487,30,0,13,50,0,3,282,42,1,65,1
"E33020041","E01009003","E02001844",2011,465,37,0,9,70,11,0,283,13,3,34,5
"E33020042","E01009003","E02001844",2011,493,47,2,15,84,0,0,254,30,9,49,3
"E33020043","E01009458","E02001844",2011,284,73,2,1,23,0,0,147,13,3,22,0
"E33020043","E01009460","E02001844",2011,284,73,2,1,23,0,0,147,13,3,22,0
"E33020044","E01009456","E02001844",2011,344,107,0,11,8,1,2,183,12,3,16,1
"E33020044","E01009458","E02001844",2011,344,107,0,11,8,1,2,183,12,3,16,1
"E33020044","E01009460","E02001844",2011,344,107,0,11,8,1,2,183,12,3,16,1
"E33020045","E01009001","E02001844",2011,475,75,1,14,78,2,4,250,14,5,31,1
"E33020045","E01009460","E02001844",2011,475,75,1,14,78,2,4,250,14,5,31,1
"E33020046","E01009462","E02001844",2011,306,57,0,10,20,1,0,167,12,0,38,1
"E33020047","E01009236","E02001845",2011,304,81,1,1,27,2,0,148,12,3,29,0
"E33020047","E01009234","E02001845",2011,304,81,1,1,27,2,0,148,12,3,29,0
"E33020047","E01009244","E02001845",2011,304,81,1,1,27,2,0,148,12,3,29,0
"E33020048","E01009244","E02001845",2011,695,49,0,9,71,2,0,450,36,8,70,0
"E33020048","E01009248","E02001845",2011,695,49,0,9,71,2,0,450,36,8,70,0
"E33020049","E01009234","E02001845",2011,347,48,0,0,14,6,2,237,18,6,11,5
"E33020049","E01009248","E02001845",2011,347,48,0,0,14,6,2,237,18,6,11,5
"E33020049","E01009244","E02001845",2011,347,48,0,0,14,6,2,237,18,6,11,5
"E33020050","E01009405","E02001846",2011,297,61,3,8,32,2,0,150,18,4,18,1
"E33020050","E01009406","E02001846",2011,297,61,3,8,32,2,0,150,18,4,18,1
"E33020051","E01009407","E02001846",2011,358,58,0,11,40,4,2,193,22,5,22,1
"E33020051","E01009405","E02001846",2011,358,58,0,11,40,4,2,193,22,5,22,1
"E33020052","E01009403","E02001846",2011,387,76,0,9,46,3,0,185,18,4,44,2
"E33020052","E01009406","E02001846",2011,387,76,0,9,46,3,0,185,18,4,44,2
"E33020052","E01009404","E02001846",2011,387,76,0,9,46,3,0,185,18,4,44,2
"E33020053","E01009439","E02001847",2011,301,75,0,6,25,2,1,138,28,5,19,2
"E33020053","E01009442","E02001847",2011,301,75,0,6,25,2,1,138,28,5,19,2
"E33020054","E01009441","E02001847",2011,340,58,1,1,13,1,0,235,18,0,12,1
"E33020055","E01009443","E02001847",2011,579,77,0,2,27,4,4,426,22,3,14,0
"E33020055","E01009442","E02001847",2011,579,77,0,2,27,4,4,426,22,3,14,0
"E33020056","E01009123","E02001848",2011,449,18,0,5,58,1,2,298,23,0,40,4
"E33020057","E01009124","E02001848",2011,303,64,0,3,39,4,0,148,6,2,35,2
"E33020057","E01009125","E02001848",2011,303,64,0,3,39,4,0,148,6,2,35,2
"E33020057","E01009123","E02001848",2011,303,64,0,3,39,4,0,148,6,2,35,2
"E33020058","E01009232","E02001848",2011,549,45,0,4,94,5,0,324,29,4,40,4
"E33020059","E01033632","E02001849",2011,309,17,0,13,30,1,1,175,20,0,52,0
"E33020059","E01009007","E02001849",2011,309,17,0,13,30,1,1,175,20,0,52,0
"E33020060","E01009002","E02001849",2011,293,91,0,8,17,1,0,132,24,1,15,4
"E33020060","E01009006","E02001849",2011,293,91,0,8,17,1,0,132,24,1,15,4
"E33020060","E01009007","E02001849",2011,293,91,0,8,17,1,0,132,24,1,15,4
"E33020061","E01033632","E02001849",2011,335,53,0,11,29,3,1,193,12,4,28,1
"E33020062","E01009007","E02001849",2011,335,18,0,16,35,1,4,200,20,4,36,1
"E33020062","E01009006","E02001849",2011,335,18,0,16,35,1,4,200,20,4,36,1
"E33020063","E01009237","E02001850",2011,339,28,0,11,33,2,1,205,14,2,43,0
"E33020063","E01009240","E02001850",2011,339,28,0,11,33,2,1,205,14,2,43,0
"E33020064","E01009237","E02001850",2011,320,50,0,4,25,1,2,186,11,0,40,1
"E33020064","E01009238","E02001850",2011,320,50,0,4,25,1,2,186,11,0,40,1
"E33020065","E01009238","E02001850",2011,647,78,2,15,105,1,5,385,30,8,17,1
"E33020065","E01009241","E02001850",2011,647,78,2,15,105,1,5,385,30,8,17,1
"E33020065","E01009240","E02001850",2011,647,78,2,15,105,1,5,385,30,8,17,1
"E33020066","E01009242","E02001850",2011,483,48,0,8,68,0,4,292,28,3,29,3
"E33020066","E01009241","E02001850",2011,483,48,0,8,68,0,4,292,28,3,29,3
"E33020067","E01009100","E02001851",2011,449,83,1,3,53,1,1,248,18,2,39,0
"E33020067","E01009098","E02001851",2011,449,83,1,3,53,1,1,248,18,2,39,0
"E33020067","E01009105","E02001851",2011,449,83,1,3,53,1,1,248,18,2,39,0
"E33020068","E01009005","E02001851",2011,362,108,0,7,28,7,1,163,19,2,24,3
"E33020068","E01009009","E02001851",2011,362,108,0,7,28,7,1,163,19,2,24,3
"E33020068","E01009100","E02001851",2011,362,108,0,7,28,7,1,163,19,2,24,3
"E33020069","E01009105","E02001851",2011,495,50,0,7,86,6,6,278,32,4,26,0
"E33020070","E01009100","E02001851",2011,452,41,1,5,65,1,3,280,14,7,34,1
"E33020070","E01009098","E02001851",2011,452,41,1,5,65,1,3,280,14,7,34,1
"E33020071","E01009409","E02001852",2011,293,54,1,4,49,1,0,132,20,7,25,0
"E33020071","E01009408","E02001852",2011,293,54,1,4,49,1,0,132,20,7,25,0
"E33020072","E01009408","E02001852",2011,386,18,0,7,54,2,1,252,19,0,33,0
"E33020072","E01009410","E02001852",2011,386,18,0,7,54,2,1,252,19,0,33,0
"E33020073","E01009410","E02001852",2011,777,26,0,13,23,2,1,649,27,5,31,0
"E33020074","E01009410","E02001852",2011,463,90,2,9,59,5,0,229,22,5,36,6
"E33020074","E01009408","E02001852",2011,463,90,2,9,59,5,0,229,22,5,36,6
"E33020074","E01009126","E02001852",2011,463,90,2,9,59,5,0,229,22,5,36,6
"E33020075","E01009011","E02001854",2011,309,45,0,3,26,1,0,165,19,4,31,15
"E33020076","E01009008","E02001854",2011,310,69,0,3,25,2,1,158,20,4,26,2
"E33020076","E01009012","E02001854",2011,310,69,0,3,25,2,1,158,20,4,26,2
"E33020076","E01009011","E02001854",2011,310,69,0,3,25,2,1,158,20,4,26,2
"E33020077","E01009104","E02001854",2011,575,43,4,10,116,5,3,319,30,8,35,2
"E33020077","E01009102","E02001854",2011,575,43,4,10,116,5,3,319,30,8,35,2
"E33020078","E01009012","E02001854",2011,269,46,0,4,15,2,0,146,15,2,39,0
"E33020078","E01009102","E02001854",2011,269,46,0,4,15,2,0,146,15,2,39,0
"E33020079","E01009099","E02001855",2011,366,26,0,10,33,2,3,231,10,6,44,1
"E33020079","E01009097","E02001855",2011,366,26,0,10,33,2,3,231,10,6,44,1
"E33020080","E01009096","E02001855",2011,261,20,0,4,31,0,4,142,9,3,47,1
"E33020081","E01009103","E02001855",2011,380,29,0,3,60,2,1,163,20,6,94,2
"E33020081","E01009097","E02001855",2011,380,29,0,3,60,2,1,163,20,6,94,2
"E33020082","E01009106","E02001855",2011,929,52,0,5,95,3,7,594,61,12,100,0
"E33020082","E01009097","E02001855",2011,929,52,0,5,95,3,7,594,61,12,100,0
"E33020083","E01009101","E02001855",2011,675,22,2,8,129,2,5,331,40,11,122,3
"E33020083","E01009099","E02001855",2011,675,22,2,8,129,2,5,331,40,11,122,3
"E33020084","E01009411","E02001856",2011,675,53,1,14,67,0,4,411,45,19,58,3
"E33020084","E01009414","E02001856",2011,675,53,1,14,67,0,4,411,45,19,58,3
"E33020084","E01008915","E02001856",2011,675,53,1,14,67,0,4,411,45,19,58,3
"E33020085","E01009413","E02001856",2011,282,65,0,4,31,6,1,138,16,0,18,3
"E33020085","E01009412","E02001856",2011,282,65,0,4,31,6,1,138,16,0,18,3
"E33020085","E01009414","E02001856",2011,282,65,0,4,31,6,1,138,16,0,18,3
"E33020086","E01008915","E02001856",2011,567,33,1,5,56,4,9,398,32,10,17,2
