"wz11cd","lsoa11cd","msoa11cd","date","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value","Tenure: Owned: Total; measures: Value:value%","Tenure: Owned: Owned outright; measures: Value:value%","Tenure: Owned: Owned with a mortgage or loan; measures: Value:value%","Tenure: Shared ownership (part owned and part rented); measures: Value:value%","Tenure: Social rented: Total; measures: Value:value%","Tenure: Social rented: Rented from council (Local Authority); measures: Value:value%","Tenure: Social rented: Other social rented; measures: Value:value%","Tenure: Private rented: Total; measures: Value:value%","Tenure: Private rented: Private landlord or letting agency; measures: Value:value%","Tenure: Private rented: Employer of a household member; measures: Value:value%","Tenure: Private rented: Relative or friend of household member; measures: Value:value%","Tenure: Private rented: Other; measures: Value:value%","Tenure: Living rent free; measures: Value:value%"
"E33018112","E01008889","E02001904",2011,623,437,136,301,3,87,49,38,90,81,0,9,0,6,70.1444622792937,21.8298555377207,48.314606741573,0.481540930979133,13.9646869983949,7.86516853932584,6.09951845906902,14.446227929374,13.0016051364366,0,1.4446227929374,0,0.963081861958266
"E33018113","E01008910","E02001876",2011,481,372,96,276,4,51,26,25,50,45,0,5,0,4,77.3388773388773,19.95841995842,57.3804573804574,0.831600831600832,10.6029106029106,5.4054054054054,5.1975051975052,10.3950103950104,9.35550935550936,0,1.03950103950104,0,0.831600831600832
"E33018114","E01008910","E02001876",2011,2455,1903,546,1357,15,279,177,102,249,231,3,14,1,9,77.5152749490835,22.2403258655804,55.274949083503,0.610997963340122,11.3645621181263,7.20977596741344,4.15478615071283,10.142566191446,9.40936863543788,0.122199592668024,0.570264765784114,0.0407331975560081,0.366598778004073
"E33018115","E01033638","E02001875",2011,821,575,184,391,6,109,62,47,118,108,0,10,0,13,70.0365408038977,22.4116930572473,47.6248477466504,0.730816077953715,13.2764920828258,7.55176613885506,5.72472594397077,14.3727161997564,13.1546894031669,0,1.21802679658952,0,1.58343483556638
"E33018116","E01008913","E02001876",2011,363,258,89,169,2,69,50,19,34,29,0,4,1,0,71.0743801652893,24.5179063360882,46.5564738292011,0.550964187327824,19.0082644628099,13.7741046831956,5.23415977961433,9.366391184573,7.98898071625344,0,1.10192837465565,0.275482093663912,0
"E33018117","E01008899","E02001863",2011,383,258,67,191,1,54,34,20,69,60,2,7,0,1,67.3629242819843,17.4934725848564,49.8694516971279,0.261096605744125,14.0992167101828,8.87728459530026,5.22193211488251,18.0156657963446,15.6657963446475,0.522193211488251,1.82767624020888,0,0.261096605744125
"E33018118","E01008899","E02001863",2011,256,193,63,130,2,22,12,10,37,35,1,0,1,2,75.390625,24.609375,50.78125,0.78125,8.59375,4.6875,3.90625,14.453125,13.671875,0.390625,0,0.390625,0.78125
"E33018119","E01008899","E02001863",2011,452,283,70,213,7,68,43,25,92,88,0,3,1,2,62.6106194690266,15.4867256637168,47.1238938053097,1.54867256637168,15.0442477876106,9.51327433628319,5.53097345132743,20.353982300885,19.4690265486726,0,0.663716814159292,0.221238938053097,0.442477876106195
"E33018120","E01008899","E02001863",2011,465,364,108,256,3,50,29,21,45,45,0,0,0,3,78.2795698924731,23.2258064516129,55.0537634408602,0.645161290322581,10.752688172043,6.23655913978495,4.51612903225806,9.67741935483871,9.67741935483871,0,0,0,0.645161290322581
"E33018121","E01008901","E02001863",2011,649,428,106,322,11,99,57,42,100,97,0,2,1,11,65.9476117103236,16.3328197226502,49.6147919876733,1.69491525423729,15.2542372881356,8.78274268104777,6.47149460708783,15.4083204930663,14.9460708782743,0,0.308166409861325,0.154083204930663,1.69491525423729
"E33018122","E01008901","E02001863",2011,667,503,126,377,9,54,28,26,95,86,0,7,2,6,75.4122938530735,18.8905547226387,56.5217391304348,1.34932533733133,8.095952023988,4.19790104947526,3.89805097451274,14.2428785607196,12.8935532233883,0,1.04947526236882,0.299850074962519,0.899550224887556
"E33018123","E01008901","E02001863",2011,314,234,97,137,4,45,24,21,29,23,1,5,0,2,74.5222929936306,30.8917197452229,43.6305732484076,1.27388535031847,14.3312101910828,7.64331210191083,6.68789808917197,9.23566878980892,7.32484076433121,0.318471337579618,1.59235668789809,0,0.636942675159236
"E33018124","E01008901","E02001863",2011,508,384,99,285,3,49,26,23,68,62,0,6,0,4,75.5905511811024,19.488188976378,56.1023622047244,0.590551181102362,9.64566929133858,5.11811023622047,4.52755905511811,13.3858267716535,12.2047244094488,0,1.18110236220472,0,0.78740157480315
"E33018125","E01008901","E02001863",2011,470,365,98,267,3,30,19,11,67,63,0,4,0,5,77.6595744680851,20.8510638297872,56.8085106382979,0.638297872340425,6.38297872340426,4.04255319148936,2.34042553191489,14.2553191489362,13.4042553191489,0,0.851063829787234,0,1.06382978723404
"E33018126","E01008917","E02001928",2011,261,155,51,104,1,35,29,6,70,68,0,0,2,0,59.3869731800766,19.5402298850575,39.8467432950192,0.383141762452107,13.4099616858238,11.1111111111111,2.29885057471264,26.8199233716475,26.0536398467433,0,0,0.766283524904214,0
"E33018127","E01008961","E02001942",2011,356,216,60,156,8,64,45,19,67,60,5,2,0,1,60.6741573033708,16.8539325842697,43.8202247191011,2.24719101123596,17.9775280898876,12.6404494382022,5.33707865168539,18.8202247191011,16.8539325842697,1.40449438202247,0.561797752808989,0,0.280898876404494
"E33018128","E01008961","E02001942",2011,368,228,61,167,3,61,37,24,73,70,1,2,0,3,61.9565217391304,16.5760869565217,45.3804347826087,0.815217391304348,16.5760869565217,10.054347826087,6.52173913043478,19.8369565217391,19.0217391304348,0.271739130434783,0.543478260869565,0,0.815217391304348
"E33018129","E01008950","E02001939",2011,771,643,140,503,10,51,24,27,64,59,0,5,0,3,83.3981841763943,18.1582360570687,65.2399481193255,1.2970168612192,6.6147859922179,3.11284046692607,3.50194552529183,8.30090791180285,7.65239948119326,0,0.648508430609598,0,0.389105058365759
"E33018130","E01008991","E02001890",2011,791,584,174,410,11,77,40,37,114,106,0,8,0,5,73.8305941845765,21.9974715549937,51.8331226295828,1.39064475347661,9.73451327433628,5.05689001264223,4.67762326169406,14.4121365360303,13.4007585335019,0,1.01137800252845,0,0.632111251580278
"E33018131","E01008994","E02001900",2011,935,750,173,577,7,57,34,23,116,108,0,7,1,5,80.2139037433155,18.5026737967914,61.7112299465241,0.748663101604278,6.09625668449198,3.63636363636364,2.45989304812834,12.4064171122995,11.5508021390374,0,0.748663101604278,0.106951871657754,0.53475935828877
"E33018132","E01008994","E02001900",2011,333,243,73,170,4,26,14,12,57,54,1,2,0,3,72.972972972973,21.9219219219219,51.0510510510511,1.2012012012012,7.80780780780781,4.2042042042042,3.6036036036036,17.1171171171171,16.2162162162162,0.3003003003003,0.600600600600601,0,0.900900900900901
"E33018133","E01008994","E02001900",2011,739,598,181,417,10,68,41,27,63,58,0,5,0,0,80.9201623815968,24.4925575101488,56.4276048714479,1.3531799729364,9.20162381596752,5.54803788903924,3.65358592692828,8.52503382949932,7.84844384303112,0,0.6765899864682,0,0
"E33018134","E01008994","E02001900",2011,198,85,24,61,4,42,24,18,67,63,1,2,1,0,42.9292929292929,12.1212121212121,30.8080808080808,2.02020202020202,21.2121212121212,12.1212121212121,9.09090909090909,33.8383838383838,31.8181818181818,0.505050505050505,1.01010101010101,0.505050505050505,0
"E33018135","E01008994","E02001900",2011,308,231,74,157,2,14,12,2,60,54,3,3,0,1,75,24.025974025974,50.974025974026,0.649350649350649,4.54545454545455,3.8961038961039,0.649350649350649,19.4805194805195,17.5324675324675,0.974025974025974,0.974025974025974,0,0.324675324675325
"E33018136","E01008990","E02001890",2011,740,572,112,460,14,34,20,14,113,102,1,9,1,7,77.2972972972973,15.1351351351351,62.1621621621622,1.89189189189189,4.5945945945946,2.7027027027027,1.89189189189189,15.2702702702703,13.7837837837838,0.135135135135135,1.21621621621622,0.135135135135135,0.945945945945946
"E33018137","E01008990","E02001890",2011,251,190,70,120,2,21,15,6,36,35,0,1,0,2,75.6972111553785,27.8884462151394,47.808764940239,0.796812749003984,8.36653386454183,5.97609561752988,2.39043824701195,14.3426294820717,13.9442231075697,0,0.398406374501992,0,0.796812749003984
