"Geographic_location","lsoa11cd","msoa11cd","date","EthnicGroup_total","Ethnic Group:White:English/Welsh/Scottish/Northern Irish/British","EthnicGroup:White:Irish;measures:Value","Ethnic Group:White:GypsyorIrishTraveller;measures: Value","EthnicGroup:White:Other White;measures:Value","Ethnic Group:Mixed/multipleethnic group:White and BlackCaribbean;measures:Value","Ethnic Group:Mixed/multipleethnicgroup:WhiteandBlack African;measures:Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value","Ethnic Group:White:English/Welsh/Scottish/Northern Irish/British:value%","EthnicGroup:White:Irish;measures:Value:value%","Ethnic Group:White:GypsyorIrishTraveller;measures: Value:value%","EthnicGroup:White:Other White;measures:Value:value%","Ethnic Group:Mixed/multipleethnic group:White and BlackCaribbean;measures:Value:value%","Ethnic Group:Mixed/multipleethnicgroup:WhiteandBlack African;measures:Value:value%","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value:value%","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value:value%","Ethnic Group: Asian/Asian British: Indian; measures: Value:value%","Ethnic Group: Asian/Asian British: Pakistani; measures: Value:value%","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value:value%","Ethnic Group: Asian/Asian British: Chinese; measures: Value:value%","Ethnic Group: Asian/Asian British: Other Asian; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value:value%","Ethnic Group: Other ethnic group: Arab; measures: Value:value%","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value:value%"
"E33018102","E01008884","E02001904",2011,735,536,14,0,12,7,2,0,0,18,66,34,1,12,5,17,3,4,4,72.9251700680272,1.9047619047619,0,1.63265306122449,0.952380952380952,0.272108843537415,0,0,2.44897959183673,8.97959183673469,4.62585034013605,0.136054421768707,1.63265306122449,0.680272108843537,2.31292517006803,0.408163265306122,0.54421768707483,0.54421768707483
"E33018103","E01008884","E02001904",2011,324,246,2,0,3,4,1,2,0,24,23,7,0,2,3,4,3,0,0,75.9259259259259,0.617283950617284,0,0.925925925925926,1.23456790123457,0.308641975308642,0.617283950617284,0,7.40740740740741,7.09876543209876,2.16049382716049,0,0.617283950617284,0.925925925925926,1.23456790123457,0.925925925925926,0,0
"E33018104","E01008884","E02001904",2011,704,513,27,0,24,6,0,1,2,27,64,6,1,9,4,12,3,1,4,72.8693181818182,3.83522727272727,0,3.40909090909091,0.852272727272727,0,0.142045454545455,0.284090909090909,3.83522727272727,9.09090909090909,0.852272727272727,0.142045454545455,1.27840909090909,0.568181818181818,1.70454545454545,0.426136363636364,0.142045454545455,0.568181818181818
"E33018105","E01008884","E02001904",2011,413,268,16,0,5,3,0,4,1,13,64,4,1,6,1,20,5,0,2,64.8910411622276,3.87409200968523,0,1.21065375302663,0.726392251815981,0,0.968523002421308,0.242130750605327,3.14769975786925,15.4963680387409,0.968523002421308,0.242130750605327,1.45278450363196,0.242130750605327,4.84261501210654,1.21065375302663,0,0.484261501210654
"E33018106","E01008889","E02001904",2011,498,297,17,0,9,9,2,3,0,22,97,8,3,8,2,11,4,3,3,59.6385542168675,3.4136546184739,0,1.80722891566265,1.80722891566265,0.401606425702811,0.602409638554217,0,4.41767068273092,19.4779116465863,1.60642570281124,0.602409638554217,1.60642570281124,0.401606425702811,2.20883534136546,0.803212851405622,0.602409638554217,0.602409638554217
"E33018107","E01008889","E02001904",2011,228,128,1,0,27,4,2,0,1,12,34,2,0,9,1,2,3,0,2,56.140350877193,0.43859649122807,0,11.8421052631579,1.75438596491228,0.87719298245614,0,0.43859649122807,5.26315789473684,14.9122807017544,0.87719298245614,0,3.94736842105263,0.43859649122807,0.87719298245614,1.31578947368421,0,0.87719298245614
"E33018108","E01008887","E02001904",2011,522,389,8,0,21,3,3,0,3,25,25,3,1,9,8,16,3,1,4,74.5210727969349,1.53256704980843,0,4.02298850574713,0.574712643678161,0.574712643678161,0,0.574712643678161,4.78927203065134,4.78927203065134,0.574712643678161,0.191570881226054,1.72413793103448,1.53256704980843,3.06513409961686,0.574712643678161,0.191570881226054,0.766283524904214
"E33018109","E01008889","E02001904",2011,179,146,2,0,5,2,0,0,1,11,4,1,0,0,1,6,0,0,0,81.5642458100559,1.11731843575419,0,2.79329608938547,1.11731843575419,0,0,0.558659217877095,6.14525139664804,2.23463687150838,0.558659217877095,0,0,0.558659217877095,3.35195530726257,0,0,0
"E33018110","E01008889","E02001904",2011,490,381,19,0,8,3,0,1,0,13,14,4,2,8,7,14,9,1,6,77.7551020408163,3.87755102040816,0,1.63265306122449,0.612244897959184,0,0.204081632653061,0,2.6530612244898,2.85714285714286,0.816326530612245,0.408163265306122,1.63265306122449,1.42857142857143,2.85714285714286,1.83673469387755,0.204081632653061,1.22448979591837
"E33018111","E01008889","E02001904",2011,473,373,8,0,16,2,0,1,1,14,21,4,4,6,4,5,8,1,5,78.8583509513742,1.69133192389006,0,3.38266384778013,0.422832980972516,0,0.211416490486258,0.211416490486258,2.95983086680761,4.43974630021142,0.845665961945032,0.845665961945032,1.26849894291755,0.845665961945032,1.05708245243129,1.69133192389006,0.211416490486258,1.05708245243129
